"Status","Year","Disability","Region_ITL1","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","East Midlands (England)","Asian","200","180","26320","24000"
"In post","2021","Declared disabled","East Midlands (England)","Black","60","60","25950","26520"
"In post","2021","Declared disabled","East Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Mixed","60","60","30080","27570"
"In post","2021","Declared disabled","East Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Undeclared","110","100","27910","27370"
"In post","2021","Declared disabled","East Midlands (England)","Unknown","60","50","29490","27570"
"In post","2021","Declared disabled","East Midlands (England)","White","2170","1980","28670","27570"
"In post","2021","Declared disabled","East of England","Asian","130","110","29430","27570"
"In post","2021","Declared disabled","East of England","Black","70","70","29380","29290"
"In post","2021","Declared disabled","East of England","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Mixed","70","60","29580","27570"
"In post","2021","Declared disabled","East of England","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Undeclared","100","90","30840","29050"
"In post","2021","Declared disabled","East of England","Unknown","40","40","[c]","[c]"
"In post","2021","Declared disabled","East of England","White","2150","1960","29870","27570"
"In post","2021","Declared disabled","London","Asian","1280","1180","35810","31520"
"In post","2021","Declared disabled","London","Black","1210","1150","33460","31060"
"In post","2021","Declared disabled","London","Chinese","30","30","[c]","[c]"
"In post","2021","Declared disabled","London","Mixed","420","400","39090","33640"
"In post","2021","Declared disabled","London","Other ethnicity","160","150","39730","34650"
"In post","2021","Declared disabled","London","Undeclared","400","380","38050","31880"
"In post","2021","Declared disabled","London","Unknown","250","240","39450","35630"
"In post","2021","Declared disabled","London","White","5450","5210","43590","37920"
"In post","2021","Declared disabled","North East (England)","Asian","30","30","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Mixed","30","30","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Undeclared","100","90","28050","25560"
"In post","2021","Declared disabled","North East (England)","Unknown","90","80","25120","21440"
"In post","2021","Declared disabled","North East (England)","White","3130","2740","26950","25560"
"In post","2021","Declared disabled","North West (England)","Asian","250","230","27140","25410"
"In post","2021","Declared disabled","North West (England)","Black","60","60","29600","27570"
"In post","2021","Declared disabled","North West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Mixed","150","130","27900","26470"
"In post","2021","Declared disabled","North West (England)","Other ethnicity","40","30","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Undeclared","260","230","28050","27570"
"In post","2021","Declared disabled","North West (England)","Unknown","140","120","27360","26000"
"In post","2021","Declared disabled","North West (England)","White","6110","5480","28300","27370"
"In post","2021","Declared disabled","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","White","310","280","27280","25560"
"In post","2021","Declared disabled","Overseas","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","White","170","170","49400","52430"
"In post","2021","Declared disabled","Scotland","Asian","40","40","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Mixed","40","30","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Undeclared","150","140","30480","27570"
"In post","2021","Declared disabled","Scotland","Unknown","250","220","31960","33430"
"In post","2021","Declared disabled","Scotland","White","3960","3610","30300","27570"
"In post","2021","Declared disabled","South East (England)","Asian","110","100","30130","27980"
"In post","2021","Declared disabled","South East (England)","Black","80","70","30990","27630"
"In post","2021","Declared disabled","South East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South East (England)","Mixed","100","90","31890","29290"
"In post","2021","Declared disabled","South East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South East (England)","Undeclared","220","190","29530","27570"
"In post","2021","Declared disabled","South East (England)","Unknown","110","100","28500","26700"
"In post","2021","Declared disabled","South East (England)","White","3930","3610","30270","27570"
"In post","2021","Declared disabled","South West (England)","Asian","70","60","31300","27570"
"In post","2021","Declared disabled","South West (England)","Black","50","50","31440","28650"
"In post","2021","Declared disabled","South West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South West (England)","Mixed","90","80","32630","27570"
"In post","2021","Declared disabled","South West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South West (England)","Undeclared","270","250","33490","29360"
"In post","2021","Declared disabled","South West (England)","Unknown","100","90","33370","28430"
"In post","2021","Declared disabled","South West (England)","White","4180","3860","32170","28200"
"In post","2021","Declared disabled","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","White","140","130","31450","27570"
"In post","2021","Declared disabled","Wales","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales","Mixed","60","50","28850","27570"
"In post","2021","Declared disabled","Wales","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales","Undeclared","110","100","29200","27570"
"In post","2021","Declared disabled","Wales","Unknown","60","50","28100","25890"
"In post","2021","Declared disabled","Wales","White","3260","2910","28640","26780"
"In post","2021","Declared disabled","West Midlands (England)","Asian","400","370","27150","27570"
"In post","2021","Declared disabled","West Midlands (England)","Black","160","150","28180","27570"
"In post","2021","Declared disabled","West Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","West Midlands (England)","Mixed","80","70","27670","27470"
"In post","2021","Declared disabled","West Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","West Midlands (England)","Undeclared","140","120","29230","27570"
"In post","2021","Declared disabled","West Midlands (England)","Unknown","80","70","29500","27570"
"In post","2021","Declared disabled","West Midlands (England)","White","2710","2470","29220","27570"
"In post","2021","Declared disabled","Yorkshire and The Humber","Asian","190","170","27640","27570"
"In post","2021","Declared disabled","Yorkshire and The Humber","Black","60","60","29750","27570"
"In post","2021","Declared disabled","Yorkshire and The Humber","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Yorkshire and The Humber","Mixed","90","80","29770","27570"
"In post","2021","Declared disabled","Yorkshire and The Humber","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Yorkshire and The Humber","Undeclared","150","140","29660","27570"
"In post","2021","Declared disabled","Yorkshire and The Humber","Unknown","70","60","27830","26000"
"In post","2021","Declared disabled","Yorkshire and The Humber","White","3410","3060","30230","27570"
"In post","2021","Declared non-disabled","East Midlands (England)","Asian","1310","1190","27010","25560"
"In post","2021","Declared non-disabled","East Midlands (England)","Black","390","360","27080","26090"
"In post","2021","Declared non-disabled","East Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","East Midlands (England)","Mixed","250","230","30120","27570"
"In post","2021","Declared non-disabled","East Midlands (England)","Other ethnicity","50","40","[c]","[c]"
"In post","2021","Declared non-disabled","East Midlands (England)","Undeclared","400","360","29160","27570"
"In post","2021","Declared non-disabled","East Midlands (England)","Unknown","470","420","30050","27570"
"In post","2021","Declared non-disabled","East Midlands (England)","White","11370","10520","30550","27570"
"In post","2021","Declared non-disabled","East of England","Asian","890","800","29530","27570"
"In post","2021","Declared non-disabled","East of England","Black","470","450","30370","29290"
"In post","2021","Declared non-disabled","East of England","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","East of England","Mixed","300","280","30160","28080"
"In post","2021","Declared non-disabled","East of England","Other ethnicity","80","80","32250","27670"
"In post","2021","Declared non-disabled","East of England","Undeclared","460","420","29290","27680"
"In post","2021","Declared non-disabled","East of England","Unknown","460","420","30440","28220"
"In post","2021","Declared non-disabled","East of England","White","12820","11900","30770","27920"
"In post","2021","Declared non-disabled","London","Asian","10670","10080","36860","31800"
"In post","2021","Declared non-disabled","London","Black","7680","7430","34570","31060"
"In post","2021","Declared non-disabled","London","Chinese","480","460","43440","39830"
"In post","2021","Declared non-disabled","London","Mixed","2560","2480","40960","35700"
"In post","2021","Declared non-disabled","London","Other ethnicity","910","870","40750","34940"
"In post","2021","Declared non-disabled","London","Undeclared","2150","2030","40330","35050"
"In post","2021","Declared non-disabled","London","Unknown","1750","1650","43290","36580"
"In post","2021","Declared non-disabled","London","White","41100","39510","47710","42410"
"In post","2021","Declared non-disabled","North East (England)","Asian","320","290","27380","23140"
"In post","2021","Declared non-disabled","North East (England)","Black","120","110","27290","25560"
"In post","2021","Declared non-disabled","North East (England)","Chinese","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","North East (England)","Mixed","160","150","28670","25560"
"In post","2021","Declared non-disabled","North East (England)","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","North East (England)","Undeclared","420","380","27810","25560"
"In post","2021","Declared non-disabled","North East (England)","Unknown","690","610","27890","25190"
"In post","2021","Declared non-disabled","North East (England)","White","18550","16660","28810","26290"
"In post","2021","Declared non-disabled","North West (England)","Asian","2020","1860","27410","25560"
"In post","2021","Declared non-disabled","North West (England)","Black","580","550","28110","26550"
"In post","2021","Declared non-disabled","North West (England)","Chinese","120","110","28690","25190"
"In post","2021","Declared non-disabled","North West (England)","Mixed","530","500","29840","26470"
"In post","2021","Declared non-disabled","North West (England)","Other ethnicity","120","110","30800","27570"
"In post","2021","Declared non-disabled","North West (England)","Undeclared","1000","900","29170","27570"
"In post","2021","Declared non-disabled","North West (England)","Unknown","1500","1370","28070","26610"
"In post","2021","Declared non-disabled","North West (England)","White","34410","31670","29940","27570"
"In post","2021","Declared non-disabled","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","White","2240","2100","28610","25560"
"In post","2021","Declared non-disabled","Overseas","Asian","130","130","45880","39980"
"In post","2021","Declared non-disabled","Overseas","Black","50","50","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Mixed","90","90","48410","50940"
"In post","2021","Declared non-disabled","Overseas","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Undeclared","90","80","47400","41760"
"In post","2021","Declared non-disabled","Overseas","Unknown","50","50","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","White","2130","2130","49920","49870"
"In post","2021","Declared non-disabled","Scotland","Asian","380","350","31870","27260"
"In post","2021","Declared non-disabled","Scotland","Black","180","170","31180","27570"
"In post","2021","Declared non-disabled","Scotland","Chinese","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Scotland","Mixed","180","180","34940","27570"
"In post","2021","Declared non-disabled","Scotland","Other ethnicity","60","60","33930","27570"
"In post","2021","Declared non-disabled","Scotland","Undeclared","650","590","31360","27570"
"In post","2021","Declared non-disabled","Scotland","Unknown","670","610","28710","24500"
"In post","2021","Declared non-disabled","Scotland","White","24800","23020","32650","27570"
"In post","2021","Declared non-disabled","South East (England)","Asian","1080","1000","30270","27850"
"In post","2021","Declared non-disabled","South East (England)","Black","670","650","30530","29290"
"In post","2021","Declared non-disabled","South East (England)","Chinese","80","70","31350","28750"
"In post","2021","Declared non-disabled","South East (England)","Mixed","480","460","31290","28650"
"In post","2021","Declared non-disabled","South East (England)","Other ethnicity","160","150","29870","27570"
"In post","2021","Declared non-disabled","South East (England)","Undeclared","910","830","31670","28550"
"In post","2021","Declared non-disabled","South East (England)","Unknown","700","630","30440","28270"
"In post","2021","Declared non-disabled","South East (England)","White","23870","22230","31720","28540"
"In post","2021","Declared non-disabled","South West (England)","Asian","620","590","34400","31600"
"In post","2021","Declared non-disabled","South West (England)","Black","420","410","32380","31020"
"In post","2021","Declared non-disabled","South West (England)","Chinese","50","40","[c]","[c]"
"In post","2021","Declared non-disabled","South West (England)","Mixed","460","440","32810","29000"
"In post","2021","Declared non-disabled","South West (England)","Other ethnicity","130","120","31020","27620"
"In post","2021","Declared non-disabled","South West (England)","Undeclared","970","900","35220","33000"
"In post","2021","Declared non-disabled","South West (England)","Unknown","1000","920","32300","28570"
"In post","2021","Declared non-disabled","South West (England)","White","28020","26320","34630","31640"
"In post","2021","Declared non-disabled","Unknown","Asian","130","120","28880","27570"
"In post","2021","Declared non-disabled","Unknown","Black","50","50","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","White","750","710","33510","27570"
