"Status","Year","Sexual_orientation","Region_ITL3","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Declared disabled","90","80","32860","27570"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Declared non-disabled","770","720","39560","31720"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Unknown","190","180","34530","33650"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Declared disabled","200","180","24650","21150"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Declared non-disabled","870","800","27260","24430"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Undeclared","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Unknown","90","90","32180","26160"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","Declared non-disabled","110","110","24150","20310"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ards and North Down","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ards and North Down","Declared non-disabled","130","120","27220","21250"
"In post","2021","Heterosexual / straight","Ards and North Down","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ards and North Down","Unknown","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Armagh City, Banbridge and Craigavon","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Armagh City, Banbridge and Craigavon","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Armagh City, Banbridge and Craigavon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","Declared disabled","80","70","30460","31060"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","Declared non-disabled","300","280","30520","31060"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnet","Declared disabled","90","90","35360","31060"
"In post","2021","Heterosexual / straight","Barnet","Declared non-disabled","890","840","36830","32330"
"In post","2021","Heterosexual / straight","Barnet","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnet","Unknown","120","120","45910","41310"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Declared disabled","320","280","27130","27470"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Declared non-disabled","1580","1410","27280","27150"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Undeclared","130","120","28900","27570"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","1020","980","36570","33440"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","8200","7890","37900","34250"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","340","320","38700","36980"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","740","710","38820","36740"
"In post","2021","Heterosexual / straight","Bedford","Declared disabled","80","80","30480","28500"
"In post","2021","Heterosexual / straight","Bedford","Declared non-disabled","450","430","30650","28340"
"In post","2021","Heterosexual / straight","Bedford","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedford","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Belfast","Declared disabled","180","160","28520","26520"
"In post","2021","Heterosexual / straight","Belfast","Declared non-disabled","1420","1330","29900","25560"
"In post","2021","Heterosexual / straight","Belfast","Undeclared","80","70","31450","30580"
"In post","2021","Heterosexual / straight","Belfast","Unknown","120","110","33680","31960"
"In post","2021","Heterosexual / straight","Berkshire","Declared disabled","240","230","33430","31810"
"In post","2021","Heterosexual / straight","Berkshire","Declared non-disabled","1470","1410","34570","30200"
"In post","2021","Heterosexual / straight","Berkshire","Undeclared","70","70","32610","29290"
"In post","2021","Heterosexual / straight","Berkshire","Unknown","180","170","36140","37950"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","Declared disabled","130","130","30090","30780"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","Declared non-disabled","900","860","32240","31060"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","Undeclared","80","80","33500","33180"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Birmingham","Declared disabled","940","860","29730","27570"
"In post","2021","Heterosexual / straight","Birmingham","Declared non-disabled","5620","5260","31880","27570"
"In post","2021","Heterosexual / straight","Birmingham","Undeclared","280","270","29570","27570"
"In post","2021","Heterosexual / straight","Birmingham","Unknown","520","490","34310","31820"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","Declared disabled","50","50","27370","27570"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","Declared non-disabled","270","240","27080","27570"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackpool","Declared disabled","550","490","27600","27570"
"In post","2021","Heterosexual / straight","Blackpool","Declared non-disabled","2570","2370","29540","27570"
"In post","2021","Heterosexual / straight","Blackpool","Undeclared","140","130","28490","27570"
"In post","2021","Heterosexual / straight","Blackpool","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","Declared disabled","80","80","25980","27370"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","Declared non-disabled","400","360","26900","27370"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bradford","Declared disabled","250","210","26500","25560"
"In post","2021","Heterosexual / straight","Bradford","Declared non-disabled","1430","1280","28750","27230"
"In post","2021","Heterosexual / straight","Bradford","Undeclared","60","50","24640","21010"
"In post","2021","Heterosexual / straight","Bradford","Unknown","70","60","28420","25560"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","Declared disabled","40","40","[c]","[c]"
