"Status","Year","Ethnicity","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","60","50","27980","26530"
"In post","2021","Asian","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Cabinet Office","470","460","45860","40600"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","110","100","46180","37680"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Other Cabinet Office Agencies","30","30","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","40","40","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Attorney General's Departments","600","550","39420","34220"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Ministry of Defence","330","320","33820","31950"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","60","60","41920","37530"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","450","440","43970","40050"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","130","120","46630","42110"
"In post","2021","Asian","Department for Education (excl. agencies)","Department for Education","460","450","40190","36500"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","250","240","39120","35260"
"In post","2021","Asian","Department for International Trade","Department for International Trade","210","210","42710","38540"
"In post","2021","Asian","Department for Transport (excl. agencies)","Department for Transport","290","290","44820","42470"
"In post","2021","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","7340","6620","27750","27570"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","170","160","42090","36820"
"In post","2021","Asian","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Licensing Agency","Department for Transport","50","40","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Standards Agency","Department for Transport","110","110","29400","30470"
"In post","2021","Asian","Education and Skills Funding Agency","Department for Education","200","200","39390","36960"
"In post","2021","Asian","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","FCDO Services","Foreign, Commonwealth and Development Office","60","60","34010","29260"
"In post","2021","Asian","Food Standards Agency","Food Standards Agency","50","50","38640","32830"
"In post","2021","Asian","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","420","410","43910","38230"
"In post","2021","Asian","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Internal Audit Agency","HM Treasury","60","50","47770","49430"
"In post","2021","Asian","Government Legal Department","Attorney General's Departments","260","240","49460","51250"
"In post","2021","Asian","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Health and Safety Executive","Department for Work and Pensions","60","50","49050","43770"
"In post","2021","Asian","HM Courts and Tribunals Service","Ministry of Justice","1480","1340","24900","22570"
"In post","2021","Asian","HM Land Registry","HM Land Registry","210","190","30840","27130"
"In post","2021","Asian","HM Prison and Probation Service","Ministry of Justice","1510","1420","31090","30110"
"In post","2021","Asian","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","4200","3930","30870","29570"
"In post","2021","Asian","HM Treasury (excl. agencies)","HM Treasury","190","190","43470","37900"
"In post","2021","Asian","Home Office (incl. agencies)","Home Office","4500","4160","31280","28810"
"In post","2021","Asian","Insolvency Service","Department for Business, Energy and Industrial Strategy","140","130","28880","25060"
"In post","2021","Asian","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal Aid Agency","Ministry of Justice","70","60","27360","22570"
"In post","2021","Asian","Maritime and Coastguard Agency","Department for Transport","60","60","48570","50930"
"In post","2021","Asian","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","270","260","41320","33320"
"In post","2021","Asian","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence (excl. agencies)","Ministry of Defence","900","870","33860","30750"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","210","210","40910","36340"
"In post","2021","Asian","Ministry of Justice (excl. agencies)","Ministry of Justice","470","450","38710","34380"
"In post","2021","Asian","National Crime Agency","National Crime Agency","240","230","36250","36200"
"In post","2021","Asian","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","100","100","40850","35010"
"In post","2021","Asian","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","100","100","44120","39050"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of the Public Guardian","Ministry of Justice","420","390","21180","19930"
"In post","2021","Asian","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectorate","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Public Health England","Department of Health and Social Care","720","670","42570","33100"
"In post","2021","Asian","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Royal Fleet Auxiliary","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Rural Payments Agency","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"In post","2021","Asian","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Government (excl. agencies)","Scottish Government","70","70","39690","38540"
