"Status","Year","Organisation","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scotland","Southern Scotland","110","100","31650","29190"
"In post","2021","Accountant in Bankruptcy","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Derbyshire and Nottinghamshire","100","90","29690","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","East Anglia","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Inner London - West","200","190","42390","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Northumberland and Tyne and Wear","140","130","29960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester","140","130","29840","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","West Central Scotland","100","100","30430","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","Hampshire and Isle of Wight","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","60","50","33460","30970"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","East Wales","90","90","30920","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","West Midlands","90","80","30970","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","West Yorkshire","70","60","31800","30950"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Derbyshire and Nottinghamshire","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","East Anglia","90","80","31270","29180"
"In post","2021","Animal and Plant Health Agency","East of England","Essex","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","Outer London - West and North West","80","80","33930","31800"
"In post","2021","Animal and Plant Health Agency","North East (England)","Northumberland and Tyne and Wear","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North West (England)","Cheshire","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North West (England)","Cumbria","160","150","25630","21050"
"In post","2021","Animal and Plant Health Agency","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North West (England)","Lancashire","70","60","30790","26520"
"In post","2021","Animal and Plant Health Agency","Scotland","Eastern Scotland","50","50","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","Southern Scotland","50","50","30950","26520"
