"Status","Year","Ethnicity","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Commercial","160","150","38560","36500"
"In post","2021","Asian","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","No function","40","40","[c]","[c]"
"In post","2021","Asian","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Communications","150","150","39860","35270"
"In post","2021","Asian","Communications","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Counter Fraud","30","30","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Digital, Data & Technology","610","600","40620","36800"
"In post","2021","Asian","Digital, Data and Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Unknown","190","190","47800","45110"
"In post","2021","Asian","Economics","Analysis","110","110","44960","42020"
"In post","2021","Asian","Economics","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","No function","40","40","[c]","[c]"
"In post","2021","Asian","Economics","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Finance","590","570","39450","36200"
"In post","2021","Asian","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","No function","60","50","43250","40050"
"In post","2021","Asian","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Unknown","70","70","40410","35700"
"In post","2021","Asian","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Human Resources","330","320","37400","33300"
"In post","2021","Asian","Human Resources","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","70","70","38250","35070"
"In post","2021","Asian","Inspector of Education and Training","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Unknown","150","140","30530","29080"
"In post","2021","Asian","Internal Audit","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Internal Audit","80","70","46610","44310"
"In post","2021","Asian","Internal Audit","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","No function","110","110","42870","38160"
"In post","2021","Asian","International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","No function","70","70","34760","32430"
"In post","2021","Asian","Knowledge and Information Management","Project Delivery","[c]","[c]","[c]","[c]"
