"Status","Year","Parent_department","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Communications","80","80","42430","39750"
"In post","2021","Attorney General's Departments","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Counter Fraud","250","240","45590","40000"
"In post","2021","Attorney General's Departments","Counter Fraud","No function","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Digital, Data & Technology","160","160","40320","38180"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Finance","140","130","36050","31010"
"In post","2021","Attorney General's Departments","Human Resources","Human Resources","220","210","39830","33930"
"In post","2021","Attorney General's Departments","Human Resources","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Legal","5260","4880","57020","55610"
"In post","2021","Attorney General's Departments","Legal","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","Legal","3050","2820","27290","25480"
"In post","2021","Attorney General's Departments","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","Legal","360","350","31000","27580"
"In post","2021","Attorney General's Departments","Other","No function","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","Project Delivery","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","Legal","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","Unknown","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Intelligence Analysis","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Commercial","1400","1380","70770","64500"
"In post","2021","Cabinet Office","Unknown","Communications","340","340","47180","42190"
"In post","2021","Cabinet Office","Unknown","Counter Fraud","90","90","47100","49700"
"In post","2021","Cabinet Office","Unknown","Digital, Data & Technology","970","950","51310","54700"
"In post","2021","Cabinet Office","Unknown","Finance","90","90","46670","41820"
"In post","2021","Cabinet Office","Unknown","Human Resources","1090","1040","39230","35590"
"In post","2021","Cabinet Office","Unknown","Legal","60","50","79760","79760"
"In post","2021","Cabinet Office","Unknown","No function","4120","4080","40640","32000"
"In post","2021","Cabinet Office","Unknown","Project Delivery","190","190","69400","62550"
"In post","2021","Cabinet Office","Unknown","Property","100","100","50780","52720"
"In post","2021","Cabinet Office","Unknown","Security","870","840","33080","33300"
"In post","2021","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","No function","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","No function","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Counter Fraud","No function","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","No function","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","Finance","40","40","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","No function","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Knowledge and Information Management","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other","Analysis","180","160","69320","65470"
"In post","2021","Chancellor's other departments","Other","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other","No function","80","80","53670","44000"
"In post","2021","Chancellor's other departments","Other","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","No function","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Social Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","International Trade","Communications","[c]","[c]","[c]","[c]"
