"Status","Year","Region_ITL3","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy","Female","70","60","44440","36740"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy","Male","70","60","49920","43700"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Transport","Female","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Transport","Male","50","50","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Work and Pensions","Female","200","170","29890","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Work and Pensions","Male","170","170","53970","27570"
"In post","2021","Aberdeen City and Aberdeenshire","HM Revenue and Customs","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","HM Revenue and Customs","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Home Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Home Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence","Male","90","90","40200","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","Female","590","540","32080","29190"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","Male","530","510","35110","33370"
"In post","2021","Angus and Dundee City","Department for Transport","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Department for Transport","Male","[c]","[c]","[c]","[c]"
