"Status","Year","Region_ITL1","Sex","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Female","Derby","650","540","24990","21530"
"In post","2021","East Midlands (England)","Female","East Derbyshire","280","240","26270","27570"
"In post","2021","East Midlands (England)","Female","Leicester","1560","1350","26630","24470"
"In post","2021","East Midlands (England)","Female","Leicestershire CC and Rutland","1050","950","27880","25550"
"In post","2021","East Midlands (England)","Female","Lincolnshire","1450","1320","26730","25600"
"In post","2021","East Midlands (England)","Female","North Northamptonshire","360","310","25110","26780"
"In post","2021","East Midlands (England)","Female","North Nottinghamshire","520","480","28780","27570"
"In post","2021","East Midlands (England)","Female","Nottingham","4430","4020","31160","27570"
"In post","2021","East Midlands (England)","Female","South and West Derbyshire","670","590","31280","27570"
"In post","2021","East Midlands (England)","Female","South Nottinghamshire","380","350","29780","27380"
"In post","2021","East Midlands (England)","Female","West Northamptonshire","680","600","25800","23530"
"In post","2021","East Midlands (England)","Male","Derby","370","350","29020","27570"
"In post","2021","East Midlands (England)","Male","East Derbyshire","110","100","28250","27570"
"In post","2021","East Midlands (England)","Male","Leicester","1060","1010","27190","26440"
"In post","2021","East Midlands (England)","Male","Leicestershire CC and Rutland","970","950","30410","27380"
"In post","2021","East Midlands (England)","Male","Lincolnshire","1380","1340","29580","27570"
"In post","2021","East Midlands (England)","Male","North Northamptonshire","150","150","26800","27570"
"In post","2021","East Midlands (England)","Male","North Nottinghamshire","470","450","29060","27380"
"In post","2021","East Midlands (England)","Male","Nottingham","3530","3410","32550","28130"
"In post","2021","East Midlands (England)","Male","South and West Derbyshire","490","460","35010","31650"
"In post","2021","East Midlands (England)","Male","South Nottinghamshire","400","380","31190","28220"
"In post","2021","East Midlands (England)","Male","West Northamptonshire","420","410","27550","25400"
"In post","2021","East of England","Female","Bedford","460","420","28930","27570"
"In post","2021","East of England","Female","Breckland and South Norfolk","220","200","27910","26300"
"In post","2021","East of England","Female","Cambridgeshire CC","1620","1500","32990","29180"
"In post","2021","East of England","Female","Central Bedfordshire","190","170","28630","26670"
"In post","2021","East of England","Female","Essex Haven Gateway","570","530","29460","29290"
"In post","2021","East of England","Female","Essex Thames Gateway","690","600","27500","28200"
"In post","2021","East of England","Female","Heart of Essex","640","590","31120","29290"
"In post","2021","East of England","Female","Hertfordshire","1600","1460","33730","30110"
"In post","2021","East of England","Female","Luton","330","300","25600","25260"
"In post","2021","East of England","Female","North and West Norfolk","410","360","26210","25790"
"In post","2021","East of England","Female","Norwich and East Norfolk","950","820","28480","27570"
"In post","2021","East of England","Female","Peterborough","1030","900","27450","25040"
"In post","2021","East of England","Female","Southend-on-Sea","800","700","30560","29290"
"In post","2021","East of England","Female","Suffolk","2150","1940","27440","26670"
"In post","2021","East of England","Female","Thurrock","170","150","26650","26830"
"In post","2021","East of England","Female","West Essex","360","320","30530","29290"
"In post","2021","East of England","Male","Bedford","370","360","31830","30060"
"In post","2021","East of England","Male","Breckland and South Norfolk","310","300","29020","26810"
"In post","2021","East of England","Male","Cambridgeshire CC","1760","1700","34900","31650"
"In post","2021","East of England","Male","Central Bedfordshire","250","240","31440","29750"
"In post","2021","East of England","Male","Essex Haven Gateway","560","540","35250","29670"
"In post","2021","East of England","Male","Essex Thames Gateway","250","240","28100","29290"
"In post","2021","East of England","Male","Heart of Essex","480","460","33150","30680"
"In post","2021","East of England","Male","Hertfordshire","1120","1100","36280","31880"
"In post","2021","East of England","Male","Luton","220","190","27310","27370"
"In post","2021","East of England","Male","North and West Norfolk","520","500","29450","27570"
"In post","2021","East of England","Male","Norwich and East Norfolk","840","810","30800","27570"
"In post","2021","East of England","Male","Peterborough","640","600","29350","27130"
"In post","2021","East of England","Male","Southend-on-Sea","540","510","34350","31810"
"In post","2021","East of England","Male","Suffolk","2020","1970","30040","27830"
"In post","2021","East of England","Male","Thurrock","200","190","26160","25310"
"In post","2021","East of England","Male","West Essex","340","300","30260","27370"
"In post","2021","London","Female","Barking & Dagenham and Havering","390","340","30120","31060"
"In post","2021","London","Female","Barnet","1060","980","38310","32330"
"In post","2021","London","Female","Bexley and Greenwich","920","860","30500","31060"
"In post","2021","London","Female","Brent","400","360","30470","31050"
"In post","2021","London","Female","Bromley","330","300","29460","31060"
"In post","2021","London","Female","Camden and City of London","1780","1670","35800","30920"
"In post","2021","London","Female","Croydon","5350","4950","36810","32090"
"In post","2021","London","Female","Ealing","340","310","31640","31060"
"In post","2021","London","Female","Enfield","240","220","30180","31060"
"In post","2021","London","Female","Hackney and Newham","1820","1650","33280","31060"
"In post","2021","London","Female","Haringey and Islington","840","780","30160","31060"
"In post","2021","London","Female","Harrow and Hillingdon","1670","1490","30880","29170"
"In post","2021","London","Female","Hounslow and Richmond upon Thames","1480","1370","31680","30250"
"In post","2021","London","Female","Kensington & Chelsea and Hammersmith & Fulham","430","410","31850","31060"
"In post","2021","London","Female","Lambeth","2590","2410","42350","37460"
"In post","2021","London","Female","Lewisham and Southwark","810","770","34040","31060"
"In post","2021","London","Female","Merton, Kingston upon Thames and Sutton","400","370","30020","31060"
