"Status","Year","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Commercial","2860","2710","38760","36340"
"In post","2021","Female","Communications","2330","2210","41430","38540"
"In post","2021","Female","Corporate Finance","90","90","44370","42120"
"In post","2021","Female","Counter Fraud","410","380","35230","33100"
"In post","2021","Female","Digital, Data and Technology","4630","4400","40630","37640"
"In post","2021","Female","Economics","800","770","46710","44150"
"In post","2021","Female","Finance","5130","4760","38000","33570"
"In post","2021","Female","Human Resources","5560","5200","38200","33350"
"In post","2021","Female","Inspector of Education and Training","600","590","63550","64500"
"In post","2021","Female","Intelligence Analysis","1560","1460","33750","30100"
"In post","2021","Female","Internal Audit","400","380","43790","41340"
"In post","2021","Female","International Trade","650","630","45810","39520"
"In post","2021","Female","Knowledge and Information Management","1290","1200","35600","32850"
"In post","2021","Female","Legal","7040","6400","48710","50550"
"In post","2021","Female","Medicine","1740","1540","51900","38490"
"In post","2021","Female","Operational Delivery","96900","86300","27650","25220"
"In post","2021","Female","Operational Research","430","400","43150","40420"
"In post","2021","Female","Other","10760","10120","30030","25860"
"In post","2021","Female","Planning","100","90","45060","40720"
"In post","2021","Female","Planning Inspectors","130","110","57850","58810"
"In post","2021","Female","Policy","15720","15080","45940","41000"
"In post","2021","Female","Project Delivery","8060","7700","40570","37660"
"In post","2021","Female","Property","2780","2580","34430","32100"
"In post","2021","Female","Psychology","1240","1180","35540","31180"
"In post","2021","Female","Science and Engineering","4480","4150","38340","36710"
"In post","2021","Female","Security","1740","1680","32150","29030"
"In post","2021","Female","Social Research","800","760","42690","40480"
"In post","2021","Female","Statistics","950","890","42920","39100"
"In post","2021","Female","Tax","8430","7780","32100","31810"
"In post","2021","Female","Unknown","74850","65850","29860","27570"
"In post","2021","Female","Veterinarian","260","240","44990","40450"
"In post","2021","Male","Commercial","2500","2470","42320","39750"
"In post","2021","Male","Communications","1630","1620","41740","38290"
"In post","2021","Male","Corporate Finance","80","80","51800","47140"
"In post","2021","Male","Counter Fraud","490","480","40490","38450"
"In post","2021","Male","Digital, Data and Technology","8660","8550","42380","38630"
"In post","2021","Male","Economics","1370","1350","47360","42780"
"In post","2021","Male","Finance","4030","3960","43360","39370"
"In post","2021","Male","Human Resources","2310","2260","39720","35230"
"In post","2021","Male","Inspector of Education and Training","260","250","73380","75500"
"In post","2021","Male","Intelligence Analysis","1840","1800","36310","32850"
"In post","2021","Male","Internal Audit","380","370","47930","45390"
"In post","2021","Male","International Trade","820","820","47790","42470"
"In post","2021","Male","Knowledge and Information Management","1100","1080","38240","35700"
"In post","2021","Male","Legal","5110","4950","47210","46530"
"In post","2021","Male","Medicine","760","700","66310","66580"
"In post","2021","Male","Operational Delivery","79200","75720","29940","27130"
"In post","2021","Male","Operational Research","760","740","44920","46080"
"In post","2021","Male","Other","11910","11650","33510","29220"
"In post","2021","Male","Planning","110","100","46810","40720"
"In post","2021","Male","Planning Inspectors","220","190","57960","58810"
"In post","2021","Male","Policy","13360","13220","49080","47550"
"In post","2021","Male","Project Delivery","7960","7840","44350","40580"
"In post","2021","Male","Property","4190","4080","37650","33350"
"In post","2021","Male","Psychology","180","170","36630","30450"
"In post","2021","Male","Science and Engineering","9610","9370","38960","37320"
"In post","2021","Male","Security","6570","6470","31320","27680"
"In post","2021","Male","Social Research","350","340","42670","38010"
"In post","2021","Male","Statistics","1070","1050","43730","39850"
"In post","2021","Male","Tax","9370","9020","34460","31810"
"In post","2021","Male","Unknown","45790","44290","32610","27570"
"In post","2021","Male","Veterinarian","190","190","47240","47550"
"In post","2021","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Female","Commercial","3400","3220","38520","36500"
"In post","2022","Female","Communications","2490","2370","42290","38760"
"In post","2022","Female","Corporate Finance","80","80","42580","38590"
"In post","2022","Female","Counter Fraud","3910","3410","28350","27570"
