"Status","Year","Function_of_post","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Female","50","50","30150","29270"
"In post","2021","Analysis","Dorset and Somerset","Male","70","60","35240","29990"
"In post","2021","Analysis","East Anglia","Female","160","140","31770","29270"
"In post","2021","Analysis","East Anglia","Male","200","200","36570","35900"
"In post","2021","Analysis","East Wales","Female","550","510","35250","33020"
"In post","2021","Analysis","East Wales","Male","490","480","37920","36030"
"In post","2021","Analysis","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Yorkshire and Northern Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Yorkshire and Northern Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Female","160","150","38950","37320"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Male","160","160","39000","37320"
"In post","2021","Analysis","Greater Manchester","Female","100","90","38060","33190"
"In post","2021","Analysis","Greater Manchester","Male","130","130","38170","38630"
"In post","2021","Analysis","Hampshire and Isle of Wight","Female","350","320","37300","37020"
"In post","2021","Analysis","Hampshire and Isle of Wight","Male","460","450","39970","37320"
"In post","2021","Analysis","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Herefordshire, Worcestershire and Warwickshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Herefordshire, Worcestershire and Warwickshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Highlands and Islands","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Highlands and Islands","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - East","Female","300","280","49880","45730"
"In post","2021","Analysis","Inner London - East","Male","390","390","51390","46890"
"In post","2021","Analysis","Inner London - West","Female","1170","1120","48040","44300"
"In post","2021","Analysis","Inner London - West","Male","1540","1520","48850","45010"
"In post","2021","Analysis","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Kent","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Kent","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire, Rutland and Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire, Rutland and Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","Female","70","60","39690","38630"
"In post","2021","Analysis","Merseyside","Male","50","50","41030","38630"
"In post","2021","Analysis","North Yorkshire","Female","40","30","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","Male","30","30","[c]","[c]"
"In post","2021","Analysis","Northumberland and Tyne and Wear","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Northumberland and Tyne and Wear","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outer London - South","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outer London - South","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Shropshire and Staffordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Shropshire and Staffordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South Yorkshire","Female","60","50","42340","42220"
"In post","2021","Analysis","South Yorkshire","Male","60","60","45660","45620"
"In post","2021","Analysis","Surrey, East and West Sussex","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Surrey, East and West Sussex","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tees Valley and Durham","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tees Valley and Durham","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Central Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Central Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Wales and The Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Wales and The Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Yorkshire","Female","80","80","39650","38280"
"In post","2021","Analysis","West Yorkshire","Male","70","70","43370","48350"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Female","110","110","39260","35300"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Male","100","100","42370","40330"
"In post","2021","Commercial","Cheshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Female","60","60","37500","37970"
