"Status","Year","Sex","Disability","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Declared disabled","Bedfordshire and Hertfordshire","330","300","30360","29290"
"In post","2021","Female","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","560","510","30960","28200"
"In post","2021","Female","Declared disabled","Cheshire","270","240","28350","27570"
"In post","2021","Female","Declared disabled","Cornwall and Isles of Scilly","130","110","26430","27570"
"In post","2021","Female","Declared disabled","Cumbria","140","120","26970","24920"
"In post","2021","Female","Declared disabled","Derbyshire and Nottinghamshire","950","840","29660","27570"
"In post","2021","Female","Declared disabled","Devon","530","450","27430","26670"
"In post","2021","Female","Declared disabled","Dorset and Somerset","330","290","27710","27150"
"In post","2021","Female","Declared disabled","East Anglia","760","680","28220","27570"
"In post","2021","Female","Declared disabled","East Wales","1060","950","30430","27570"
"In post","2021","Female","Declared disabled","East Yorkshire and Northern Lincolnshire","280","240","26580","27570"
"In post","2021","Female","Declared disabled","Eastern Scotland","1100","1000","31990","27570"
"In post","2021","Female","Declared disabled","Essex","470","410","29320","29290"
"In post","2021","Female","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","1540","1400","32670","28880"
"In post","2021","Female","Declared disabled","Greater Manchester","1250","1120","29130","27570"
"In post","2021","Female","Declared disabled","Hampshire and Isle of Wight","920","810","29680","27570"
"In post","2021","Female","Declared disabled","Herefordshire, Worcestershire and Warwickshire","290","260","26970","26300"
"In post","2021","Female","Declared disabled","Highlands and Islands","90","80","27970","27570"
"In post","2021","Female","Declared disabled","Inner London - East","980","910","36590","31090"
"In post","2021","Female","Declared disabled","Inner London - West","2910","2780","43940","39190"
"In post","2021","Female","Declared disabled","Kent","530","480","28800","27380"
"In post","2021","Female","Declared disabled","Lancashire","1230","1060","26680","27130"
"In post","2021","Female","Declared disabled","Leicestershire, Rutland and Northamptonshire","460","400","25770","24000"
"In post","2021","Female","Declared disabled","Lincolnshire","240","210","27230","26810"
"In post","2021","Female","Declared disabled","Merseyside","1460","1240","27420","25560"
"In post","2021","Female","Declared disabled","North Eastern Scotland","80","70","29420","27570"
"In post","2021","Female","Declared disabled","North Yorkshire","280","260","33090","27570"
"In post","2021","Female","Declared disabled","Northern Ireland","170","160","28530","25560"
"In post","2021","Female","Declared disabled","Northumberland and Tyne and Wear","1440","1220","26640","25560"
"In post","2021","Female","Declared disabled","Outer London - East and North East","340","310","30020","31060"
"In post","2021","Female","Declared disabled","Outer London - South","660","590","34560","31060"
"In post","2021","Female","Declared disabled","Outer London - West and North West","500","450","31340","31060"
"In post","2021","Female","Declared disabled","Overseas","90","90","47880","51500"
"In post","2021","Female","Declared disabled","Shropshire and Staffordshire","620","560","28920","27570"
"In post","2021","Female","Declared disabled","South Yorkshire","760","650","29430","27570"
"In post","2021","Female","Declared disabled","Southern Scotland","320","280","28650","26160"
"In post","2021","Female","Declared disabled","Surrey, East and West Sussex","560","490","28350","27570"
"In post","2021","Female","Declared disabled","Tees Valley and Durham","680","580","26920","27130"
"In post","2021","Female","Declared disabled","Unknown","120","110","30860","27570"
"In post","2021","Female","Declared disabled","West Central Scotland","1030","880","27710","26120"
"In post","2021","Female","Declared disabled","West Midlands","1360","1200","28440","27570"
"In post","2021","Female","Declared disabled","West Wales and The Valleys","1190","990","25230","21710"
"In post","2021","Female","Declared disabled","West Yorkshire","1130","990","29490","27570"
"In post","2021","Female","Declared non-disabled","Bedfordshire and Hertfordshire","1790","1620","31390","29290"
"In post","2021","Female","Declared non-disabled","Berkshire, Buckinghamshire and Oxfordshire","3290","3040","31270","28350"
"In post","2021","Female","Declared non-disabled","Cheshire","1310","1190","29870","27570"
"In post","2021","Female","Declared non-disabled","Cornwall and Isles of Scilly","670","590","25830","26590"
"In post","2021","Female","Declared non-disabled","Cumbria","1010","870","26320","24920"
"In post","2021","Female","Declared non-disabled","Derbyshire and Nottinghamshire","4630","4130","30650","27570"
"In post","2021","Female","Declared non-disabled","Devon","3220","2800","30120","27570"
"In post","2021","Female","Declared non-disabled","Dorset and Somerset","1760","1550","28320","27570"
"In post","2021","Female","Declared non-disabled","East Anglia","4500","4030","28700","27130"
"In post","2021","Female","Declared non-disabled","East Wales","7460","6760","32450","27570"
"In post","2021","Female","Declared non-disabled","East Yorkshire and Northern Lincolnshire","1730","1500","26780","26750"
"In post","2021","Female","Declared non-disabled","Eastern Scotland","5790","5280","34280","27570"
"In post","2021","Female","Declared non-disabled","Essex","2220","1980","29640","29290"
"In post","2021","Female","Declared non-disabled","Gloucestershire, Wiltshire and Bath/Bristol area","9630","8840","34010","30620"
"In post","2021","Female","Declared non-disabled","Greater Manchester","7330","6680","30640","27570"
"In post","2021","Female","Declared non-disabled","Hampshire and Isle of Wight","4960","4460","30620","27570"
"In post","2021","Female","Declared non-disabled","Herefordshire, Worcestershire and Warwickshire","1570","1410","27240","25400"
"In post","2021","Female","Declared non-disabled","Highlands and Islands","730","670","28070","27570"
"In post","2021","Female","Declared non-disabled","Inner London - East","6250","5830","40560","34100"
"In post","2021","Female","Declared non-disabled","Inner London - West","20790","19850","46750","41970"
"In post","2021","Female","Declared non-disabled","Kent","2990","2710","28760","27370"
"In post","2021","Female","Declared non-disabled","Lancashire","5850","5130","28090","27570"
"In post","2021","Female","Declared non-disabled","Leicestershire, Rutland and Northamptonshire","2510","2190","27170","25560"
"In post","2021","Female","Declared non-disabled","Lincolnshire","1020","930","26570","25560"
"In post","2021","Female","Declared non-disabled","Merseyside","8180","7190","27890","25310"
"In post","2021","Female","Declared non-disabled","North Eastern Scotland","530","480","33730","28170"
"In post","2021","Female","Declared non-disabled","North Yorkshire","1740","1610","33610","29180"
"In post","2021","Female","Declared non-disabled","Northern Ireland","1090","980","29000","25560"
"In post","2021","Female","Declared non-disabled","Northumberland and Tyne and Wear","8470","7230","27860","25560"
"In post","2021","Female","Declared non-disabled","Outer London - East and North East","1580","1420","30110","31060"
"In post","2021","Female","Declared non-disabled","Outer London - South","4410","4060","36360","31160"
"In post","2021","Female","Declared non-disabled","Outer London - West and North West","3570","3250","32030","31060"
"In post","2021","Female","Declared non-disabled","Overseas","980","970","48630","47000"
"In post","2021","Female","Declared non-disabled","Shropshire and Staffordshire","3120","2810","28860","27570"
"In post","2021","Female","Declared non-disabled","South Yorkshire","4260","3700","30370","27570"
"In post","2021","Female","Declared non-disabled","Southern Scotland","2040","1770","29500","27570"
"In post","2021","Female","Declared non-disabled","Surrey, East and West Sussex","3390","3010","29890","27570"
"In post","2021","Female","Declared non-disabled","Tees Valley and Durham","3820","3330","27490","25790"
"In post","2021","Female","Declared non-disabled","Unknown","580","530","32300","27570"
"In post","2021","Female","Declared non-disabled","West Central Scotland","6170","5480","29570","26570"
"In post","2021","Female","Declared non-disabled","West Midlands","7450","6590","30050","27570"
"In post","2021","Female","Declared non-disabled","West Wales and The Valleys","7140","6210","28040","26130"
"In post","2021","Female","Declared non-disabled","West Yorkshire","6220","5510","30830","27570"
"In post","2021","Female","Undeclared","Bedfordshire and Hertfordshire","120","110","30860","28900"
"In post","2021","Female","Undeclared","Berkshire, Buckinghamshire and Oxfordshire","320","290","31140","28670"
"In post","2021","Female","Undeclared","Cheshire","130","120","28810","27570"
"In post","2021","Female","Undeclared","Cornwall and Isles of Scilly","50","40","[c]","[c]"
"In post","2021","Female","Undeclared","Cumbria","50","40","26770","25420"
"In post","2021","Female","Undeclared","Derbyshire and Nottinghamshire","390","350","29560","27570"
"In post","2021","Female","Undeclared","Devon","170","150","27450","26000"
"In post","2021","Female","Undeclared","Dorset and Somerset","150","130","29780","27570"
"In post","2021","Female","Undeclared","East Anglia","460","410","29500","27380"
"In post","2021","Female","Undeclared","East Wales","410","370","30850","27570"
"In post","2021","Female","Undeclared","East Yorkshire and Northern Lincolnshire","140","120","28270","27570"
"In post","2021","Female","Undeclared","Eastern Scotland","290","260","31150","27570"
"In post","2021","Female","Undeclared","Essex","190","170","29640","29050"
"In post","2021","Female","Undeclared","Gloucestershire, Wiltshire and Bath/Bristol area","720","660","34680","31990"
"In post","2021","Female","Undeclared","Greater Manchester","580","530","29810","27570"
"In post","2021","Female","Undeclared","Hampshire and Isle of Wight","440","400","30360","27380"
"In post","2021","Female","Undeclared","Herefordshire, Worcestershire and Warwickshire","170","160","28350","26330"
"In post","2021","Female","Undeclared","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Inner London - East","540","490","39370","33930"
"In post","2021","Female","Undeclared","Inner London - West","1690","1630","43780","39460"
"In post","2021","Female","Undeclared","Kent","340","300","28900","27370"
"In post","2021","Female","Undeclared","Lancashire","490","440","27650","27130"
"In post","2021","Female","Undeclared","Leicestershire, Rutland and Northamptonshire","220","200","26050","25830"
"In post","2021","Female","Undeclared","Lincolnshire","100","90","27070","23240"
"In post","2021","Female","Undeclared","Merseyside","410","360","28810","26670"
"In post","2021","Female","Undeclared","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","North Yorkshire","140","130","32750","30810"
"In post","2021","Female","Undeclared","Northern Ireland","100","90","28810","26750"
