"Status","Year","Profession_of_post","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Heterosexual / straight","2810","2720","40840","37540"
"In post","2021","Commercial","Commercial","LGBO","130","120","38090","34490"
"In post","2021","Commercial","Commercial","Undeclared","360","340","38760","36460"
"In post","2021","Commercial","Commercial","Unknown","800","770","40350","38480"
"In post","2021","Commercial","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","No function","Heterosexual / straight","200","190","44500","37280"
"In post","2021","Commercial","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","No function","Unknown","60","60","43070","39070"
"In post","2021","Commercial","Project Delivery","Heterosexual / straight","620","600","38510","34770"
"In post","2021","Commercial","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Undeclared","100","90","42290","39040"
