"Status","Year","Age","Sexual_orientation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Heterosexual / straight","East Midlands (England)","30","30","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","East of England","40","40","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","London","100","100","25560","25170"
"In post","2021","16-19","Heterosexual / straight","North East (England)","50","50","21100","21010"
"In post","2021","16-19","Heterosexual / straight","North West (England)","90","80","21340","21010"
"In post","2021","16-19","Heterosexual / straight","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Scotland","80","80","21280","21150"
"In post","2021","16-19","Heterosexual / straight","South East (England)","60","60","21940","21550"
"In post","2021","16-19","Heterosexual / straight","South West (England)","120","120","19320","19040"
"In post","2021","16-19","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Wales","70","70","20450","20500"
"In post","2021","16-19","Heterosexual / straight","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Yorkshire and The Humber","50","50","[c]","[c]"
"In post","2021","16-19","LGBO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","London","40","40","[c]","[c]"
"In post","2021","16-19","Unknown","North East (England)","40","40","[c]","[c]"
"In post","2021","16-19","Unknown","North West (England)","50","50","[c]","[c]"
