"Status","Year","Sexual_orientation","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Asian","Attorney General's Departments","750","700","42240","40800"
"In post","2021","Heterosexual / straight","Asian","Cabinet Office","420","410","45750","40600"
"In post","2021","Heterosexual / straight","Asian","Chancellor's other departments","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Competition and Markets Authority","100","90","45380","36990"
"In post","2021","Heterosexual / straight","Asian","Department for Business, Energy and Industrial Strategy","580","560","40160","36120"
"In post","2021","Heterosexual / straight","Asian","Department for Digital, Culture, Media and Sport","110","110","46790","42020"
"In post","2021","Heterosexual / straight","Asian","Department for Education","600","580","39350","36500"
"In post","2021","Heterosexual / straight","Asian","Department for Environment, Food and Rural Affairs","300","300","37110","33120"
"In post","2021","Heterosexual / straight","Asian","Department for International Trade","190","190","41790","38300"
"In post","2021","Heterosexual / straight","Asian","Department for Transport","450","440","40890","35430"
"In post","2021","Heterosexual / straight","Asian","Department for Work and Pensions","5480","5050","28260","27570"
"In post","2021","Heterosexual / straight","Asian","Department of Health and Social Care","880","830","40730","33090"
"In post","2021","Heterosexual / straight","Asian","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Foreign, Commonwealth and Development Office","420","400","42260","36900"
"In post","2021","Heterosexual / straight","Asian","HM Land Registry","150","140","31390","27130"
"In post","2021","Heterosexual / straight","Asian","HM Revenue and Customs","3240","3060","31510","29570"
"In post","2021","Heterosexual / straight","Asian","HM Treasury","220","220","44600","40890"
"In post","2021","Heterosexual / straight","Asian","Home Office","4070","3780","31470","28810"
"In post","2021","Heterosexual / straight","Asian","Ministry of Defence","1180","1150","34510","32570"
"In post","2021","Heterosexual / straight","Asian","Ministry of Housing, Communities and Local Government","200","190","40530","36170"
"In post","2021","Heterosexual / straight","Asian","Ministry of Justice","3470","3230","28460","24440"
"In post","2021","Heterosexual / straight","Asian","National Crime Agency","220","220","36420","36200"
"In post","2021","Heterosexual / straight","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Office for Standards in Education","90","90","40250","35010"
"In post","2021","Heterosexual / straight","Asian","Office of Gas and Electricity Markets","50","50","42120","38850"
"In post","2021","Heterosexual / straight","Asian","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Scottish Government","160","150","36560","33100"
"In post","2021","Heterosexual / straight","Asian","The National Archives","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","UK Export Finance","60","60","48980","41130"
"In post","2021","Heterosexual / straight","Asian","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","United Kingdom Statistics Authority","110","100","30650","29540"
"In post","2021","Heterosexual / straight","Asian","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Welsh Government","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Attorney General's Departments","450","430","39900","31710"
"In post","2021","Heterosexual / straight","Black","Cabinet Office","230","230","42050","35590"
"In post","2021","Heterosexual / straight","Black","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Department for Business, Energy and Industrial Strategy","340","340","38740","35090"
"In post","2021","Heterosexual / straight","Black","Department for Digital, Culture, Media and Sport","80","80","40260","34020"
"In post","2021","Heterosexual / straight","Black","Department for Education","240","240","39760","36780"
"In post","2021","Heterosexual / straight","Black","Department for Environment, Food and Rural Affairs","180","180","35480","32560"
"In post","2021","Heterosexual / straight","Black","Department for International Trade","110","110","38500","36860"
"In post","2021","Heterosexual / straight","Black","Department for Transport","210","200","38060","35430"
"In post","2021","Heterosexual / straight","Black","Department for Work and Pensions","2970","2840","29350","30070"
"In post","2021","Heterosexual / straight","Black","Department of Health and Social Care","550","520","38380","32960"
"In post","2021","Heterosexual / straight","Black","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Food Standards Agency","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Foreign, Commonwealth and Development Office","230","230","38420","34770"
"In post","2021","Heterosexual / straight","Black","HM Land Registry","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","HM Revenue and Customs","1160","1120","32230","30700"
"In post","2021","Heterosexual / straight","Black","HM Treasury","80","80","38810","33000"
"In post","2021","Heterosexual / straight","Black","Home Office","1740","1640","32590","29080"
"In post","2021","Heterosexual / straight","Black","Ministry of Defence","700","690","32780","30750"
"In post","2021","Heterosexual / straight","Black","Ministry of Housing, Communities and Local Government","140","140","41060","38140"
"In post","2021","Heterosexual / straight","Black","Ministry of Justice","3050","2950","30000","27480"
"In post","2021","Heterosexual / straight","Black","National Crime Agency","80","80","36790","36320"
"In post","2021","Heterosexual / straight","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Office for Standards in Education","50","50","44320","44610"
"In post","2021","Heterosexual / straight","Black","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Scottish Government","60","50","37060","31150"
"In post","2021","Heterosexual / straight","Black","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","United Kingdom Statistics Authority","60","50","30170","29540"
"In post","2021","Heterosexual / straight","Black","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Attorney General's Departments","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Department for Transport","30","30","[c]","[c]"
