"Status","Year","Ethnicity","Sex","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Female","Attorney General's Departments","620","560","42160","41490"
"In post","2021","Asian","Female","Cabinet Office","280","270","44200","38560"
"In post","2021","Asian","Female","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Competition and Markets Authority","60","60","42590","35270"
"In post","2021","Asian","Female","Department for Business, Energy and Industrial Strategy","410","390","39490","35300"
"In post","2021","Asian","Female","Department for Digital, Culture, Media and Sport","70","70","46090","50860"
"In post","2021","Asian","Female","Department for Education","410","390","39370","36570"
"In post","2021","Asian","Female","Department for Environment, Food and Rural Affairs","200","190","35160","32560"
"In post","2021","Asian","Female","Department for International Trade","100","100","41680","38160"
"In post","2021","Asian","Female","Department for Transport","220","210","38720","35060"
"In post","2021","Asian","Female","Department for Work and Pensions","4420","3780","27730","27570"
"In post","2021","Asian","Female","Department of Health and Social Care","770","710","41160","32980"
"In post","2021","Asian","Female","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Foreign, Commonwealth and Development Office","260","250","40810","36360"
"In post","2021","Asian","Female","HM Land Registry","110","100","30340","27130"
"In post","2021","Asian","Female","HM Revenue and Customs","2080","1870","30580","28130"
"In post","2021","Asian","Female","HM Treasury","150","150","44290","40680"
"In post","2021","Asian","Female","Home Office","2600","2340","31130","28850"
"In post","2021","Asian","Female","Ministry of Defence","560","530","33590","30420"
"In post","2021","Asian","Female","Ministry of Housing, Communities and Local Government","130","130","40730","36340"
"In post","2021","Asian","Female","Ministry of Justice","2250","2030","27810","23500"
"In post","2021","Asian","Female","National Crime Agency","140","140","35210","33910"
"In post","2021","Asian","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Office for Standards in Education","70","60","39700","39660"
"In post","2021","Asian","Female","Office of Gas and Electricity Markets","60","50","42830","38750"
"In post","2021","Asian","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Scottish Government","90","90","35560","32140"
"In post","2021","Asian","Female","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","United Kingdom Statistics Authority","70","60","30890","29540"
"In post","2021","Asian","Female","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Attorney General's Departments","280","270","43160","40000"
"In post","2021","Asian","Male","Cabinet Office","190","190","48330","42040"
"In post","2021","Asian","Male","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Competition and Markets Authority","50","50","[c]","[c]"
"In post","2021","Asian","Male","Department for Business, Energy and Industrial Strategy","310","300","39140","35150"
