"Status","Year","Sexual_orientation","Age","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","16-19","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Finance","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","No function","240","230","21430","20600"
"In post","2021","Heterosexual / straight","16-19","Project Delivery","70","70","18940","17780"
"In post","2021","Heterosexual / straight","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Unknown","250","250","22470","21010"
"In post","2021","Heterosexual / straight","20-29","Analysis","1560","1550","36660","34090"
"In post","2021","Heterosexual / straight","20-29","Commercial","570","570","31390","29720"
"In post","2021","Heterosexual / straight","20-29","Communications","1010","1000","30650","27500"
"In post","2021","Heterosexual / straight","20-29","Counter Fraud","570","570","30190","27910"
"In post","2021","Heterosexual / straight","20-29","Debt","350","340","21580","20140"
"In post","2021","Heterosexual / straight","20-29","Digital, Data & Technology","1030","1020","33940","31810"
"In post","2021","Heterosexual / straight","20-29","Finance","800","790","32910","30420"
"In post","2021","Heterosexual / straight","20-29","Grants Management","50","50","22800","21050"
"In post","2021","Heterosexual / straight","20-29","Human Resources","970","960","30710","28420"
"In post","2021","Heterosexual / straight","20-29","Internal Audit","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Legal","1180","1170","31320","27050"
"In post","2021","Heterosexual / straight","20-29","No function","20660","20340","29090","26880"
"In post","2021","Heterosexual / straight","20-29","Project Delivery","2920","2900","30520","29350"
"In post","2021","Heterosexual / straight","20-29","Property","500","480","27920","26410"
"In post","2021","Heterosexual / straight","20-29","Security","730","730","26990","25680"
"In post","2021","Heterosexual / straight","20-29","Unknown","14160","13900","27560","27570"
"In post","2021","Heterosexual / straight","30-39","Analysis","1330","1270","46490","43890"
"In post","2021","Heterosexual / straight","30-39","Commercial","940","900","39330","36830"
"In post","2021","Heterosexual / straight","30-39","Communications","1410","1360","36090","31810"
"In post","2021","Heterosexual / straight","30-39","Counter Fraud","1290","1250","33410","31810"
"In post","2021","Heterosexual / straight","30-39","Debt","410","360","22600","20140"
"In post","2021","Heterosexual / straight","30-39","Digital, Data & Technology","1970","1930","41290","38630"
"In post","2021","Heterosexual / straight","30-39","Finance","1350","1290","40900","37020"
"In post","2021","Heterosexual / straight","30-39","Grants Management","140","120","25320","24920"
"In post","2021","Heterosexual / straight","30-39","Human Resources","1660","1570","36350","32330"
"In post","2021","Heterosexual / straight","30-39","Internal Audit","110","110","42510","39980"
"In post","2021","Heterosexual / straight","30-39","Legal","2150","2020","45800","49930"
"In post","2021","Heterosexual / straight","30-39","No function","27510","26020","33720","30810"
"In post","2021","Heterosexual / straight","30-39","Project Delivery","4480","4340","40370","38620"
"In post","2021","Heterosexual / straight","30-39","Property","920","880","34780","33020"
"In post","2021","Heterosexual / straight","30-39","Security","1000","990","32630","30890"
"In post","2021","Heterosexual / straight","30-39","Unknown","22360","20930","31240","27570"
"In post","2021","Heterosexual / straight","40-49","Analysis","940","880","50170","48380"
"In post","2021","Heterosexual / straight","40-49","Commercial","1060","1020","45820","40290"
"In post","2021","Heterosexual / straight","40-49","Communications","1150","1100","38870","33300"
"In post","2021","Heterosexual / straight","40-49","Counter Fraud","1420","1360","34660","31810"
"In post","2021","Heterosexual / straight","40-49","Debt","420","380","24870","21440"
"In post","2021","Heterosexual / straight","40-49","Digital, Data & Technology","2330","2280","45500","41090"
"In post","2021","Heterosexual / straight","40-49","Finance","1750","1670","43250","38630"
"In post","2021","Heterosexual / straight","40-49","Grants Management","270","240","26480","25220"
"In post","2021","Heterosexual / straight","40-49","Human Resources","1820","1720","41550","37910"
"In post","2021","Heterosexual / straight","40-49","Internal Audit","150","140","48860","46350"
"In post","2021","Heterosexual / straight","40-49","Legal","2420","2210","48630","50630"
"In post","2021","Heterosexual / straight","40-49","No function","26010","24370","36060","31810"
"In post","2021","Heterosexual / straight","40-49","Project Delivery","4880","4720","44950","40650"
"In post","2021","Heterosexual / straight","40-49","Property","1330","1280","36720","33300"
