"Status","Year","Age","Organisation","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Accountant in Bankruptcy","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Accountant in Bankruptcy","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Accountant in Bankruptcy","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Accountant in Bankruptcy","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Accountant in Bankruptcy","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","White","70","70","18740","19040"
"In post","2021","16-19","Defence Science and Technology Laboratory","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
