"Status","Year","Organisation","Sex","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Female","Scotland","80","70","30250","29190"
"In post","2021","Accountant in Bankruptcy","Male","Scotland","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","East Midlands (England)","60","60","29660","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","London","110","110","40100","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","North East (England)","90","80","29580","26380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","North West (England)","80","70","29720","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Scotland","50","50","28900","28660"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","South West (England)","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Wales","60","50","30560","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","West Midlands (England)","60","50","30520","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","East Midlands (England)","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","London","90","90","45330","43750"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","North East (England)","50","50","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","North West (England)","60","60","30000","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Scotland","50","50","31960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Wales","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Yorkshire and The Humber","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","East Midlands (England)","50","50","32490","29180"
"In post","2021","Animal and Plant Health Agency","Female","East of England","70","70","31020","28710"
"In post","2021","Animal and Plant Health Agency","Female","London","50","50","36390","31800"
"In post","2021","Animal and Plant Health Agency","Female","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","North West (England)","180","170","27860","24920"
