"Status","Year","Disability","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","Heterosexual / straight","710","650","44050","40050"
"In post","2021","Declared disabled","Attorney General's Departments","LGBO","70","70","47040","51050"
"In post","2021","Declared disabled","Attorney General's Departments","Undeclared","50","50","48080","50680"
"In post","2021","Declared disabled","Attorney General's Departments","Unknown","100","90","43320","42770"
"In post","2021","Declared disabled","Cabinet Office","Heterosexual / straight","530","500","43730","37300"
"In post","2021","Declared disabled","Cabinet Office","LGBO","90","90","44810","40600"
"In post","2021","Declared disabled","Cabinet Office","Undeclared","80","80","44900","40580"
"In post","2021","Declared disabled","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","660","620","41430","37820"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","LGBO","120","120","40070","33640"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Undeclared","70","60","40430","35840"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Unknown","190","170","34340","32730"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Heterosexual / straight","80","80","48390","39360"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Heterosexual / straight","530","500","41480","37100"
"In post","2021","Declared disabled","Department for Education","LGBO","70","70","39650","33510"
"In post","2021","Declared disabled","Department for Education","Undeclared","60","60","41770","37100"
"In post","2021","Declared disabled","Department for Education","Unknown","60","50","44600","40940"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Heterosexual / straight","840","790","34700","30730"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","LGBO","120","110","35110","31740"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Undeclared","110","100","34540","31760"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","100","90","29190","25190"
"In post","2021","Declared disabled","Department for International Trade","Heterosexual / straight","120","120","45620","41640"
"In post","2021","Declared disabled","Department for International Trade","LGBO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Heterosexual / straight","880","790","30420","26780"
"In post","2021","Declared disabled","Department for Transport","LGBO","80","80","35530","30420"
"In post","2021","Declared disabled","Department for Transport","Undeclared","380","310","25860","21590"
"In post","2021","Declared disabled","Department for Transport","Unknown","40","40","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Heterosexual / straight","11260","9890","27450","27570"
"In post","2021","Declared disabled","Department for Work and Pensions","LGBO","1120","1050","27830","27570"
"In post","2021","Declared disabled","Department for Work and Pensions","Undeclared","1650","1430","26860","27570"
"In post","2021","Declared disabled","Department for Work and Pensions","Unknown","1520","1280","26260","27570"
"In post","2021","Declared disabled","Department of Health and Social Care","Heterosexual / straight","360","340","40750","36330"
"In post","2021","Declared disabled","Department of Health and Social Care","LGBO","70","70","38600","32480"
"In post","2021","Declared disabled","Department of Health and Social Care","Undeclared","50","40","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Unknown","50","40","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Heterosexual / straight","620","610","43530","38600"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","LGBO","80","80","44120","41810"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Undeclared","60","60","44770","38910"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Unknown","40","40","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Heterosexual / straight","350","300","30630","27130"
"In post","2021","Declared disabled","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Undeclared","70","60","31130","27130"
"In post","2021","Declared disabled","HM Land Registry","Unknown","50","40","[c]","[c]"
"In post","2021","Declared disabled","HM Revenue and Customs","Heterosexual / straight","4080","3660","31450","28130"
"In post","2021","Declared disabled","HM Revenue and Customs","LGBO","430","400","31630","31810"
"In post","2021","Declared disabled","HM Revenue and Customs","Undeclared","500","450","31530","28130"
"In post","2021","Declared disabled","HM Revenue and Customs","Unknown","730","630","27970","25560"
"In post","2021","Declared disabled","HM Treasury","Heterosexual / straight","180","180","45430","41840"
"In post","2021","Declared disabled","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Home Office","Heterosexual / straight","2400","2200","31020","27370"
"In post","2021","Declared disabled","Home Office","LGBO","230","220","33680","30010"
"In post","2021","Declared disabled","Home Office","Undeclared","420","380","31840","28650"
"In post","2021","Declared disabled","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Defence","Heterosexual / straight","4140","3980","33160","31170"
"In post","2021","Declared disabled","Ministry of Defence","LGBO","270","260","32770","30060"
"In post","2021","Declared disabled","Ministry of Defence","Undeclared","690","660","34600","33300"
"In post","2021","Declared disabled","Ministry of Defence","Unknown","180","170","33010","31600"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","Heterosexual / straight","260","250","41430","36340"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","LGBO","50","50","41400","34860"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Justice","Heterosexual / straight","7070","6570","29290","26640"
"In post","2021","Declared disabled","Ministry of Justice","LGBO","790","760","29220","26810"
"In post","2021","Declared disabled","Ministry of Justice","Undeclared","830","770","30230","27730"
"In post","2021","Declared disabled","Ministry of Justice","Unknown","270","240","28690","28980"
"In post","2021","Declared disabled","National Crime Agency","Heterosexual / straight","160","150","38240","36630"
"In post","2021","Declared disabled","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","Heterosexual / straight","110","110","45660","51360"
"In post","2021","Declared disabled","Office for Standards in Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","Unknown","[c]","[c]","[c]","[c]"
