"Status","Year","Profession_of_post","Responsibility_level","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","AA/AO","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Eastern Scotland","40","40","[c]","[c]"
"In post","2021","Commercial","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","West Wales and The Valleys","40","30","[c]","[c]"
"In post","2021","Commercial","AA/AO","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","East Wales","40","30","[c]","[c]"
"In post","2021","Commercial","EO","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Gloucestershire, Wiltshire and Bath/Bristol area","200","190","24040","23520"
"In post","2021","Commercial","EO","Greater Manchester","30","30","[c]","[c]"
"In post","2021","Commercial","EO","Hampshire and Isle of Wight","50","50","26490","26670"
"In post","2021","Commercial","EO","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Inner London - West","60","60","28780","29240"
"In post","2021","Commercial","EO","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Merseyside","30","30","[c]","[c]"
"In post","2021","Commercial","EO","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","West Wales and The Valleys","40","30","[c]","[c]"
"In post","2021","Commercial","EO","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Devon","90","90","52010","48350"
"In post","2021","Commercial","G6/G7","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Gloucestershire, Wiltshire and Bath/Bristol area","240","230","57870","54960"
"In post","2021","Commercial","G6/G7","Greater Manchester","50","40","[c]","[c]"
"In post","2021","Commercial","G6/G7","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Inner London - West","180","180","63550","61590"
"In post","2021","Commercial","G6/G7","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Merseyside","40","40","[c]","[c]"
"In post","2021","Commercial","G6/G7","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","West Yorkshire","50","40","[c]","[c]"
"In post","2021","Commercial","SCS","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Inner London - West","50","50","[c]","[c]"
"In post","2021","Commercial","SCS","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Berkshire, Buckinghamshire and Oxfordshire","110","110","38870","39580"
"In post","2021","Commercial","SEO/HEO","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Derbyshire and Nottinghamshire","30","30","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Devon","100","100","36660","37420"
"In post","2021","Commercial","SEO/HEO","Dorset and Somerset","40","40","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","East Anglia","160","150","37050","35830"
"In post","2021","Commercial","SEO/HEO","East Wales","90","90","35080","34800"
"In post","2021","Commercial","SEO/HEO","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Gloucestershire, Wiltshire and Bath/Bristol area","810","770","36040","35130"
"In post","2021","Commercial","SEO/HEO","Greater Manchester","130","130","37150","36960"
"In post","2021","Commercial","SEO/HEO","Hampshire and Isle of Wight","140","130","37790","37320"
"In post","2021","Commercial","SEO/HEO","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Inner London - East","50","50","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Inner London - West","270","260","40750","40650"
"In post","2021","Commercial","SEO/HEO","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Lancashire","[c]","[c]","[c]","[c]"
