"Status","Year","Parent_department","Region_ITL2","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","East of England","170","150","42490","40000"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","140","130","43310","40000"
"In post","2021","Attorney General's Departments","Cheshire","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","North West (England)","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","East Midlands (England)","270","260","37450","30370"
"In post","2021","Attorney General's Departments","Devon","South West (England)","100","90","39950","36240"
"In post","2021","Attorney General's Departments","East Anglia","East of England","120","110","36490","28430"
"In post","2021","Attorney General's Departments","East Wales","Wales","290","270","41190","38760"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","70","70","38580","28430"
"In post","2021","Attorney General's Departments","Essex","East of England","190","170","41150","35020"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","200","190","43320","48080"
"In post","2021","Attorney General's Departments","Greater Manchester","North West (England)","370","340","41260","38000"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","South East (England)","260","240","42870","39750"
"In post","2021","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - West","London","4510","4250","50510","51250"
"In post","2021","Attorney General's Departments","Kent","South East (England)","130","120","39410","30110"
"In post","2021","Attorney General's Departments","Lancashire","North West (England)","180","170","40040","38000"
"In post","2021","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","160","140","39390","38470"
"In post","2021","Attorney General's Departments","Lincolnshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Merseyside","North West (England)","360","350","37570","30930"
"In post","2021","Attorney General's Departments","North Eastern Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North Yorkshire","Yorkshire and The Humber","320","290","47160","53350"
"In post","2021","Attorney General's Departments","Northumberland and Tyne and Wear","North East (England)","240","220","37990","32370"
"In post","2021","Attorney General's Departments","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Outer London - South","London","100","90","38650","31180"
"In post","2021","Attorney General's Departments","Outer London - West and North West","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Shropshire and Staffordshire","West Midlands (England)","70","60","41790","48080"
"In post","2021","Attorney General's Departments","South Yorkshire","Yorkshire and The Humber","140","120","35940","28430"
"In post","2021","Attorney General's Departments","Surrey, East and West Sussex","South East (England)","170","160","42360","36240"
"In post","2021","Attorney General's Departments","Tees Valley and Durham","North East (England)","100","90","38060","32370"
"In post","2021","Attorney General's Departments","West Midlands","West Midlands (England)","490","460","39800","38000"
"In post","2021","Attorney General's Departments","West Wales and The Valleys","Wales","70","70","41350","38180"
