"Status","Year","Region_ITL3","Function_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","Unknown","80","70","24570","22820"
"In post","2021","Aberdeen City and Aberdeenshire","No function","Declared disabled","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","No function","Declared non-disabled","320","300","49050","36620"
"In post","2021","Aberdeen City and Aberdeenshire","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","No function","Unknown","290","280","30810","28410"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","Declared non-disabled","70","60","30900","30160"
"In post","2021","Aberdeen City and Aberdeenshire","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Security","Declared non-disabled","50","50","41170","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Security","Unknown","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Declared disabled","80","80","30110","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Declared non-disabled","560","520","33080","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Unknown","200","190","35910","32140"
"In post","2021","Angus and Dundee City","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Debt","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Debt","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Finance","Declared disabled","[c]","[c]","[c]","[c]"
