"Status","Year","Disability","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","60","60","38740","34910"
"In post","2021","Declared disabled","Asian","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","50","50","38990","36650"
"In post","2021","Declared disabled","Asian","Human Resources","50","40","[c]","[c]"
"In post","2021","Declared disabled","Asian","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","70","60","50620","50130"
"In post","2021","Declared disabled","Asian","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Delivery","880","800","27910","25630"
"In post","2021","Declared disabled","Asian","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Other","50","50","28390","26270"
"In post","2021","Declared disabled","Asian","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Policy","170","160","41540","36300"
"In post","2021","Declared disabled","Asian","Project Delivery","80","70","40480","38600"
"In post","2021","Declared disabled","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Tax","100","100","34580","31880"
"In post","2021","Declared disabled","Asian","Unknown","1090","980","28680","27570"
"In post","2021","Declared disabled","Asian","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Declared disabled","Black","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Human Resources","40","40","[c]","[c]"
"In post","2021","Declared disabled","Black","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Legal","40","40","[c]","[c]"
"In post","2021","Declared disabled","Black","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Operational Delivery","650","610","29480","27490"
"In post","2021","Declared disabled","Black","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Other","60","50","30710","28880"
"In post","2021","Declared disabled","Black","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Policy","130","130","37110","34080"
"In post","2021","Declared disabled","Black","Project Delivery","40","40","[c]","[c]"
"In post","2021","Declared disabled","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Tax","50","40","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","630","590","30050","30330"
"In post","2021","Declared disabled","Black","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
