"Status","Year","Ethnicity","Sexual_orientation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Heterosexual / straight","Declared disabled","2290","2110","32020","29080"
"In post","2021","Asian","Heterosexual / straight","Declared non-disabled","19260","18140","32810","29080"
"In post","2021","Asian","Heterosexual / straight","Undeclared","850","800","32000","28850"
"In post","2021","Asian","Heterosexual / straight","Unknown","1330","1280","36340","32520"
"In post","2021","Asian","LGBO","Declared disabled","100","90","32610","29290"
"In post","2021","Asian","LGBO","Declared non-disabled","410","380","33380","29290"
"In post","2021","Asian","LGBO","Undeclared","40","30","[c]","[c]"
"In post","2021","Asian","LGBO","Unknown","40","40","[c]","[c]"
"In post","2021","Asian","Undeclared","Declared disabled","180","160","28730","27570"
"In post","2021","Asian","Undeclared","Declared non-disabled","1210","1090","30190","27570"
"In post","2021","Asian","Undeclared","Undeclared","190","180","34120","29570"
"In post","2021","Asian","Undeclared","Unknown","70","70","38490","32260"
"In post","2021","Asian","Unknown","Declared disabled","200","170","28490","27570"
"In post","2021","Asian","Unknown","Declared non-disabled","2130","1850","30170","27570"
"In post","2021","Asian","Unknown","Undeclared","150","130","31590","27570"
"In post","2021","Asian","Unknown","Unknown","720","670","36730","31810"
"In post","2021","Black","Heterosexual / straight","Declared disabled","1500","1420","32110","30330"
"In post","2021","Black","Heterosexual / straight","Declared non-disabled","10340","10000","32770","30620"
"In post","2021","Black","Heterosexual / straight","Undeclared","500","480","31990","30920"
"In post","2021","Black","Heterosexual / straight","Unknown","600","580","36270","32790"
"In post","2021","Black","LGBO","Declared disabled","90","80","34390","29880"
"In post","2021","Black","LGBO","Declared non-disabled","210","200","32750","29570"
"In post","2021","Black","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Declared disabled","120","110","30980","30330"
"In post","2021","Black","Undeclared","Declared non-disabled","530","500","32310","29500"
"In post","2021","Black","Undeclared","Undeclared","100","90","31860","30040"
"In post","2021","Black","Undeclared","Unknown","30","30","[c]","[c]"
"In post","2021","Black","Unknown","Declared disabled","110","100","30430","30530"
"In post","2021","Black","Unknown","Declared non-disabled","980","900","31600","30550"
"In post","2021","Black","Unknown","Undeclared","160","140","31120","31530"
"In post","2021","Black","Unknown","Unknown","290","270","35990","30320"
"In post","2021","Chinese","Heterosexual / straight","Declared disabled","50","50","31480","29330"
"In post","2021","Chinese","Heterosexual / straight","Declared non-disabled","790","760","36500","32180"
"In post","2021","Chinese","Heterosexual / straight","Undeclared","40","30","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Unknown","60","60","42070","39220"
"In post","2021","Chinese","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Chinese","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Declared non-disabled","70","70","38220","35200"
"In post","2021","Chinese","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Declared non-disabled","80","80","37170","31870"
"In post","2021","Chinese","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Unknown","50","50","43780","40450"
"In post","2021","Mixed","Heterosexual / straight","Declared disabled","840","790","33360","29270"
"In post","2021","Mixed","Heterosexual / straight","Declared non-disabled","4910","4700","35330","31060"
"In post","2021","Mixed","Heterosexual / straight","Undeclared","240","230","35690","31550"
"In post","2021","Mixed","Heterosexual / straight","Unknown","390","380","37450","32960"
"In post","2021","Mixed","LGBO","Declared disabled","160","160","33360","29290"
"In post","2021","Mixed","LGBO","Declared non-disabled","440","430","36190","31650"
"In post","2021","Mixed","LGBO","Undeclared","40","40","[c]","[c]"
"In post","2021","Mixed","LGBO","Unknown","50","50","[c]","[c]"
"In post","2021","Mixed","Undeclared","Declared disabled","120","110","33350","29530"
"In post","2021","Mixed","Undeclared","Declared non-disabled","350","330","35540","30960"
"In post","2021","Mixed","Undeclared","Undeclared","80","80","31640","28650"
"In post","2021","Mixed","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Declared disabled","70","60","31990","30100"
"In post","2021","Mixed","Unknown","Declared non-disabled","350","320","35380","31060"
"In post","2021","Mixed","Unknown","Undeclared","40","40","[c]","[c]"
"In post","2021","Mixed","Unknown","Unknown","150","140","38140","33450"
"In post","2021","Other ethnicity","Heterosexual / straight","Declared disabled","230","220","35200","31060"
"In post","2021","Other ethnicity","Heterosexual / straight","Declared non-disabled","1410","1340","35920","31060"
"In post","2021","Other ethnicity","Heterosexual / straight","Undeclared","70","60","32960","31060"
"In post","2021","Other ethnicity","Heterosexual / straight","Unknown","120","110","41690","36200"
"In post","2021","Other ethnicity","LGBO","Declared disabled","50","40","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Declared non-disabled","100","90","37330","31230"
"In post","2021","Other ethnicity","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Declared disabled","50","50","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Declared non-disabled","160","150","40120","33700"
"In post","2021","Other ethnicity","Undeclared","Undeclared","70","60","47050","41490"
"In post","2021","Other ethnicity","Undeclared","Unknown","40","30","[c]","[c]"
