"Status","Year","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Declared disabled","500","480","39730","37930"
"In post","2021","Commercial","Declared non-disabled","3520","3400","40820","37540"
"In post","2021","Commercial","Undeclared","350","340","42530","40270"
"In post","2021","Commercial","Unknown","980","950","38620","36140"
"In post","2021","Communications","Declared disabled","260","250","37360","34250"
"In post","2021","Communications","Declared non-disabled","2550","2460","41850","38630"
"In post","2021","Communications","Undeclared","200","190","41960","38630"
"In post","2021","Communications","Unknown","960","930","41820","38600"
"In post","2021","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","130","130","47170","46080"
"In post","2021","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","70","70","34320","31810"
"In post","2021","Counter Fraud","Declared non-disabled","610","580","37990","36060"
"In post","2021","Counter Fraud","Undeclared","70","70","37480","33730"
"In post","2021","Counter Fraud","Unknown","140","130","40870","35070"
"In post","2021","Digital, Data and Technology","Declared disabled","1040","1000","39250","36030"
"In post","2021","Digital, Data and Technology","Declared non-disabled","8380","8150","42480","38750"
"In post","2021","Digital, Data and Technology","Undeclared","720","700","41110","38560"
"In post","2021","Digital, Data and Technology","Unknown","3160","3100","40850","37790"
"In post","2021","Economics","Declared disabled","100","100","47130","47660"
"In post","2021","Economics","Declared non-disabled","1400","1370","49030","50430"
"In post","2021","Economics","Undeclared","120","120","44730","37090"
"In post","2021","Economics","Unknown","540","530","42690","36030"
"In post","2021","Finance","Declared disabled","770","720","37880","33780"
"In post","2021","Finance","Declared non-disabled","6460","6150","41170","37320"
"In post","2021","Finance","Undeclared","520","500","39760","36500"
"In post","2021","Finance","Unknown","1420","1350","38210","33590"
"In post","2021","Human Resources","Declared disabled","980","930","39950","35560"
"In post","2021","Human Resources","Declared non-disabled","5310","5030","39240","35000"
"In post","2021","Human Resources","Undeclared","410","390","38420","34710"
"In post","2021","Human Resources","Unknown","1170","1110","34960","31180"
"In post","2021","Inspector of Education and Training","Declared disabled","60","60","62000","64500"
"In post","2021","Inspector of Education and Training","Declared non-disabled","720","700","67650","74730"
"In post","2021","Inspector of Education and Training","Unknown","80","70","58960","51360"
"In post","2021","Intelligence Analysis","Declared disabled","310","290","33460","30830"
"In post","2021","Intelligence Analysis","Declared non-disabled","2400","2290","33950","30830"
"In post","2021","Intelligence Analysis","Undeclared","290","270","34080","31810"
"In post","2021","Intelligence Analysis","Unknown","410","400","44130","40650"
"In post","2021","Internal Audit","Declared disabled","90","90","43680","39980"
"In post","2021","Internal Audit","Declared non-disabled","580","550","46070","43230"
"In post","2021","Internal Audit","Undeclared","60","60","49490","49400"
"In post","2021","Internal Audit","Unknown","50","40","[c]","[c]"
"In post","2021","International Trade","Declared disabled","100","100","46130","40840"
"In post","2021","International Trade","Declared non-disabled","780","770","47810","44030"
"In post","2021","International Trade","Undeclared","50","50","[c]","[c]"
"In post","2021","International Trade","Unknown","540","540","45700","38630"
"In post","2021","Knowledge and Information Management","Declared disabled","270","260","34620","33000"
"In post","2021","Knowledge and Information Management","Declared non-disabled","1600","1540","36560","33300"
"In post","2021","Knowledge and Information Management","Undeclared","170","160","38440","35390"
"In post","2021","Knowledge and Information Management","Unknown","350","320","38900","36330"
"In post","2021","Legal","Declared disabled","970","890","48520","50520"
"In post","2021","Legal","Declared non-disabled","8150","7600","49510","51250"
"In post","2021","Legal","Undeclared","530","500","45550","40820"
"In post","2021","Legal","Unknown","2490","2360","43760","39800"
