"Status","Year","Parent_department","Region_ITL1","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","East Midlands (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","20-29","60","60","25320","21950"
"In post","2021","Attorney General's Departments","East Midlands (England)","30-39","90","90","39050","44740"
"In post","2021","Attorney General's Departments","East Midlands (England)","40-49","120","110","41220","48080"
"In post","2021","Attorney General's Departments","East Midlands (England)","50-59","140","120","41570","34480"
"In post","2021","Attorney General's Departments","East Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","20-29","60","60","28270","25480"
"In post","2021","Attorney General's Departments","East of England","30-39","100","90","37800","36240"
"In post","2021","Attorney General's Departments","East of England","40-49","140","130","42070","35360"
"In post","2021","Attorney General's Departments","East of England","50-59","140","130","45160","41460"
"In post","2021","Attorney General's Departments","East of England","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","20-29","680","670","33000","29280"
"In post","2021","Attorney General's Departments","London","30-39","1260","1200","49310","51250"
"In post","2021","Attorney General's Departments","London","40-49","1270","1160","54650","56740"
"In post","2021","Attorney General's Departments","London","50-59","1170","1110","55350","59880"
"In post","2021","Attorney General's Departments","London","60-64","230","200","53280","58840"
"In post","2021","Attorney General's Departments","London","65+","80","60","45670","33230"
"In post","2021","Attorney General's Departments","North East (England)","20-29","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","30-39","70","70","36500","33610"
"In post","2021","Attorney General's Departments","North East (England)","40-49","100","90","38350","34480"
"In post","2021","Attorney General's Departments","North East (England)","50-59","110","100","41130","33900"
"In post","2021","Attorney General's Departments","North East (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","20-29","120","120","27160","25480"
"In post","2021","Attorney General's Departments","North West (England)","30-39","170","160","38220","38000"
"In post","2021","Attorney General's Departments","North West (England)","40-49","300","280","41830","39020"
