"Status","Year","Parent_department","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Communications","70","70","42770","39750"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Counter Fraud","180","180","45850","40140"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Digital, Data and Technology","140","140","40910","38180"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Finance","120","110","35170","30970"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Human Resources","180","170","40540","34040"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Legal","3480","3250","55990","53670"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Operational Delivery","2180","2030","27630","25480"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Other","290","280","32490","27580"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Policy","60","60","52310","54760"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Legal","230","220","57450","55610"
"In post","2021","Attorney General's Departments","LGBO","Operational Delivery","140","130","28400","25820"
"In post","2021","Attorney General's Departments","LGBO","Other","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Legal","230","220","58390","55610"
"In post","2021","Attorney General's Departments","Undeclared","Operational Delivery","80","80","25920","24060"
"In post","2021","Attorney General's Departments","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Counter Fraud","80","70","45450","40270"
"In post","2021","Attorney General's Departments","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Legal","1320","1190","59410","58970"
"In post","2021","Attorney General's Departments","Unknown","Operational Delivery","660","590","26310","25820"
"In post","2021","Attorney General's Departments","Unknown","Other","100","90","33190","28660"
"In post","2021","Attorney General's Departments","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
