"Status","Year","Profession_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Female","Heterosexual / straight","2070","1960","38920","36300"
"In post","2021","Commercial","Female","LGBO","60","60","35350","32850"
"In post","2021","Commercial","Female","Undeclared","250","230","38420","36290"
"In post","2021","Commercial","Female","Unknown","480","460","38680","37300"
"In post","2021","Commercial","Male","Heterosexual / straight","1700","1680","42790","40080"
"In post","2021","Commercial","Male","LGBO","110","100","38190","34710"
"In post","2021","Commercial","Male","Undeclared","240","240","41620","39750"
"In post","2021","Commercial","Male","Unknown","450","440","41890","39620"
"In post","2021","Communications","Female","Heterosexual / straight","1580","1500","41540","38540"
"In post","2021","Communications","Female","LGBO","80","70","39570","36780"
"In post","2021","Communications","Female","Undeclared","170","150","38970","37390"
"In post","2021","Communications","Female","Unknown","510","490","42160","38640"
"In post","2021","Communications","Male","Heterosexual / straight","1000","990","41560","37660"
"In post","2021","Communications","Male","LGBO","130","130","43110","40960"
"In post","2021","Communications","Male","Undeclared","140","140","38520","36660"
"In post","2021","Communications","Male","Unknown","370","360","42990","38970"
"In post","2021","Corporate Finance","Female","Heterosexual / straight","60","60","45090","41600"
"In post","2021","Corporate Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Heterosexual / straight","60","60","52090","47140"
"In post","2021","Corporate Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Heterosexual / straight","280","250","34210","31070"
"In post","2021","Counter Fraud","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Unknown","90","80","38890","35240"
"In post","2021","Counter Fraud","Male","Heterosexual / straight","320","310","40380","37910"
"In post","2021","Counter Fraud","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Undeclared","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Male","Unknown","120","110","42130","39740"
"In post","2021","Digital, Data and Technology","Female","Heterosexual / straight","2990","2830","40910","38000"
"In post","2021","Digital, Data and Technology","Female","LGBO","210","210","40070","37130"
"In post","2021","Digital, Data and Technology","Female","Undeclared","440","420","39980","37410"
"In post","2021","Digital, Data and Technology","Female","Unknown","980","940","40200","36890"
"In post","2021","Digital, Data and Technology","Male","Heterosexual / straight","5290","5230","43090","39310"
"In post","2021","Digital, Data and Technology","Male","LGBO","280","270","42290","38040"
"In post","2021","Digital, Data and Technology","Male","Undeclared","890","870","41570","38980"
"In post","2021","Digital, Data and Technology","Male","Unknown","2210","2180","41030","38160"
"In post","2021","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","Heterosexual / straight","530","510","47690","49100"
"In post","2021","Economics","Female","LGBO","50","50","43250","36150"
"In post","2021","Economics","Female","Undeclared","50","50","[c]","[c]"
"In post","2021","Economics","Female","Unknown","170","160","45120","40170"
"In post","2021","Economics","Male","Heterosexual / straight","870","860","47940","46240"
"In post","2021","Economics","Male","LGBO","70","70","47610","40050"
"In post","2021","Economics","Male","Undeclared","110","110","48310","48180"
"In post","2021","Economics","Male","Unknown","320","310","45390","37890"
"In post","2021","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Heterosexual / straight","3720","3450","38490","33930"
"In post","2021","Finance","Female","LGBO","100","100","39000","33930"
"In post","2021","Finance","Female","Undeclared","520","470","37710","33300"
"In post","2021","Finance","Female","Unknown","790","730","35740","32790"
"In post","2021","Finance","Male","Heterosexual / straight","2860","2820","43830","39910"
"In post","2021","Finance","Male","LGBO","140","140","47040","45070"
"In post","2021","Finance","Male","Undeclared","380","380","44010","41800"
"In post","2021","Finance","Male","Unknown","640","620","40030","36180"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","Heterosexual / straight","4400","4110","38700","33900"
"In post","2021","Human Resources","Female","LGBO","150","140","38280","32870"
"In post","2021","Human Resources","Female","Undeclared","400","370","35880","32890"
"In post","2021","Human Resources","Female","Unknown","610","580","36090","32140"
"In post","2021","Human Resources","Male","Heterosexual / straight","1610","1580","40000","35760"
"In post","2021","Human Resources","Male","LGBO","200","200","42860","39580"
"In post","2021","Human Resources","Male","Undeclared","210","200","37890","35130"
"In post","2021","Human Resources","Male","Unknown","290","280","37230","33300"
"In post","2021","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Female","Heterosexual / straight","520","500","63490","64500"
"In post","2021","Inspector of Education and Training","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Female","Undeclared","30","30","[c]","[c]"
"In post","2021","Inspector of Education and Training","Female","Unknown","30","30","[c]","[c]"
"In post","2021","Inspector of Education and Training","Male","Heterosexual / straight","210","200","73650","75500"
"In post","2021","Inspector of Education and Training","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Female","Heterosexual / straight","1150","1070","32900","29250"
"In post","2021","Intelligence Analysis","Female","LGBO","60","60","32100","29280"
"In post","2021","Intelligence Analysis","Female","Undeclared","190","180","32790","30100"
"In post","2021","Intelligence Analysis","Female","Unknown","160","150","41640","36290"
"In post","2021","Intelligence Analysis","Male","Heterosexual / straight","1320","1290","35380","31920"
"In post","2021","Intelligence Analysis","Male","LGBO","60","60","39640","33900"
"In post","2021","Intelligence Analysis","Male","Undeclared","240","230","35480","32670"
"In post","2021","Intelligence Analysis","Male","Unknown","220","220","41770","37400"
"In post","2021","Internal Audit","Female","Heterosexual / straight","300","290","43320","41340"
"In post","2021","Internal Audit","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Female","Undeclared","50","50","45460","42140"
"In post","2021","Internal Audit","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Male","Heterosexual / straight","300","290","48820","46500"
"In post","2021","Internal Audit","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Male","Undeclared","30","30","[c]","[c]"
"In post","2021","Internal Audit","Male","Unknown","30","30","[c]","[c]"
"In post","2021","International Trade","Female","Heterosexual / straight","370","370","46960","41290"
"In post","2021","International Trade","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Female","Undeclared","50","40","[c]","[c]"
"In post","2021","International Trade","Female","Unknown","210","210","43580","38540"
"In post","2021","International Trade","Male","Heterosexual / straight","460","460","48430","50010"
"In post","2021","International Trade","Male","LGBO","60","60","51900","51970"
"In post","2021","International Trade","Male","Undeclared","50","50","[c]","[c]"
"In post","2021","International Trade","Male","Unknown","250","250","46290","39110"
"In post","2021","Knowledge and Information Management","Female","Heterosexual / straight","900","840","35810","33050"
"In post","2021","Knowledge and Information Management","Female","LGBO","40","40","[c]","[c]"
"In post","2021","Knowledge and Information Management","Female","Undeclared","160","150","34910","32440"
"In post","2021","Knowledge and Information Management","Female","Unknown","190","170","36200","33280"
"In post","2021","Knowledge and Information Management","Male","Heterosexual / straight","740","730","37940","35070"
"In post","2021","Knowledge and Information Management","Male","LGBO","50","50","[c]","[c]"
"In post","2021","Knowledge and Information Management","Male","Undeclared","170","160","40210","37410"
"In post","2021","Knowledge and Information Management","Male","Unknown","140","140","37920","35370"
