"Status","Year","Region_ITL3","Region_ITL1","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Undeclared","80","70","41810","33650"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Unknown","420","400","32600","29190"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","White","1300","1230","36360","30650"
"In post","2021","Angus and Dundee City","Scotland","Asian","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scotland","Undeclared","60","50","23360","21010"
"In post","2021","Angus and Dundee City","Scotland","Unknown","320","300","24510","21010"
"In post","2021","Angus and Dundee City","Scotland","White","1460","1340","26740","22230"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","White","180","170","24160","20310"
"In post","2021","Ards and North Down","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","White","200","200","25970","20920"
"In post","2021","Armagh City, Banbridge and Craigavon","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Northern Ireland","Black","[c]","[c]","[c]","[c]"
