"Status","Year","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Female","6380","5800","43720","43920"
"In post","2021","Attorney General's Departments","Male","3460","3380","47590","50500"
"In post","2021","Cabinet Office","Female","5040","4890","44370","35590"
"In post","2021","Cabinet Office","Male","4420","4380","49300","40600"
"In post","2021","Chancellor's other departments","Female","180","170","53350","47140"
"In post","2021","Chancellor's other departments","Male","230","220","62910","52250"
"In post","2021","Charity Commission","Female","250","230","34360","29160"
"In post","2021","Charity Commission","Male","190","180","35510","29550"
"In post","2021","Competition and Markets Authority","Female","430","410","58550","55860"
"In post","2021","Competition and Markets Authority","Male","410","400","62650","59140"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","6480","6080","39070","35120"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","6680","6540","43190","40050"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","960","930","48180","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","820","810","50260","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Female","4640","4400","43120","38400"
"In post","2021","Department for Education","Male","3290","3260","44760","40510"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","6190","5720","34880","30730"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","4850","4760","37450","33120"
"In post","2021","Department for International Trade","Female","1270","1250","44620","38690"
"In post","2021","Department for International Trade","Male","1420","1420","46910","41180"
"In post","2021","Department for Transport","Female","7280","6400","30310","26470"
"In post","2021","Department for Transport","Male","8700","8410","35080","30580"
"In post","2021","Department for Work and Pensions","Female","60840","52460","27470","27570"
"In post","2021","Department for Work and Pensions","Male","32690","31370","29220","27570"
"In post","2021","Department of Health and Social Care","Female","7680","7090","43370","38220"
"In post","2021","Department of Health and Social Care","Male","4070","3950","48700","41950"
"In post","2021","ESTYN","Female","70","60","53760","63880"
"In post","2021","ESTYN","Male","50","50","[c]","[c]"
"In post","2021","Food Standards Agency","Female","530","510","39290","37910"
"In post","2021","Food Standards Agency","Male","780","760","35880","30810"
"In post","2021","Foreign, Commonwealth and Development Office","Female","4220","4080","46170","40420"
"In post","2021","Foreign, Commonwealth and Development Office","Male","4420","4370","48600","44880"
"In post","2021","HM Land Registry","Female","3810","3360","30140","27130"
"In post","2021","HM Land Registry","Male","2540","2410","32510","27130"
"In post","2021","HM Revenue and Customs","Female","35050","30910","30180","25560"
"In post","2021","HM Revenue and Customs","Male","31430","30180","32580","29570"
"In post","2021","HM Treasury","Female","1300","1240","46020","42100"
"In post","2021","HM Treasury","Male","1370","1360","50120","52500"
"In post","2021","Home Office","Female","18320","16540","31370","27370"
"In post","2021","Home Office","Male","17060","16340","32630","28060"
"In post","2021","Ministry of Defence","Female","22810","21510","32230","28650"
"In post","2021","Ministry of Defence","Male","34870","34280","35290","33300"
"In post","2021","Ministry of Housing, Communities and Local Government","Female","1690","1600","44110","39690"
"In post","2021","Ministry of Housing, Communities and Local Government","Male","1710","1660","46440","44180"
"In post","2021","Ministry of Justice","Female","43430","39830","28690","25350"
"In post","2021","Ministry of Justice","Male","35470","34130","30890","29120"
"In post","2021","National Crime Agency","Female","2450","2340","37450","36410"
"In post","2021","National Crime Agency","Male","3040","3010","42180","40170"
"In post","2021","Northern Ireland Office","Female","90","90","42530","36800"
"In post","2021","Northern Ireland Office","Male","70","70","45720","38870"
"In post","2021","Office for Standards in Education","Female","1190","1130","48570","51360"
"In post","2021","Office for Standards in Education","Male","590","590","50840","42850"
"In post","2021","Office of Gas and Electricity Markets","Female","540","520","43060","37300"
"In post","2021","Office of Gas and Electricity Markets","Male","640","640","46290","39550"
"In post","2021","Office of Qualifications and Examinations Regulation","Female","150","150","43160","39250"
"In post","2021","Office of Qualifications and Examinations Regulation","Male","110","100","48970","46660"
"In post","2021","Office of Rail and Road","Female","140","130","49310","49580"
"In post","2021","Office of Rail and Road","Male","190","190","57610","58450"
"In post","2021","Other Cabinet Office Agencies","Female","500","470","38200","34800"
"In post","2021","Other Cabinet Office Agencies","Male","500","500","42130","35760"
"In post","2021","Scotland Office","Female","70","70","48330","48930"
"In post","2021","Scotland Office","Male","40","40","[c]","[c]"
"In post","2021","Scottish Government","Female","11560","10750","36180","30650"
"In post","2021","Scottish Government","Male","10670","10290","37010","33650"
"In post","2021","The National Archives","Female","290","270","35110","32290"
"In post","2021","The National Archives","Male","250","250","36130","34260"
"In post","2021","UK Export Finance","Female","150","150","49040","43000"
"In post","2021","UK Export Finance","Male","250","240","56280","50530"
"In post","2021","UK Supreme Court","Female","30","30","[c]","[c]"
"In post","2021","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Female","3110","2730","31370","29540"
"In post","2021","United Kingdom Statistics Authority","Male","2380","2170","33990","30130"
"In post","2021","United Kingdom Statistics Authority","Unknown","50","50","35520","32540"
"In post","2021","Wales Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Female","130","120","55630","48850"
"In post","2021","Water Services Regulation Authority","Male","120","120","56660","51630"
"In post","2021","Welsh Government","Female","3420","3160","39810","37410"
"In post","2021","Welsh Government","Male","2360","2300","42840","37410"
"In post","2022","Attorney General's Departments","Female","6690","6100","43670","43920"
"In post","2022","Attorney General's Departments","Male","3520","3440","47690","50500"
