"Status","Year","Parent_department","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Heterosexual / straight","70","70","42770","39750"
"In post","2021","Attorney General's Departments","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Heterosexual / straight","180","180","45850","40140"
"In post","2021","Attorney General's Departments","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Unknown","80","70","45450","40270"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Heterosexual / straight","140","140","40910","38180"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Heterosexual / straight","120","110","35170","30970"
"In post","2021","Attorney General's Departments","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Heterosexual / straight","180","170","40540","34040"
"In post","2021","Attorney General's Departments","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Heterosexual / straight","3480","3250","55990","53670"
"In post","2021","Attorney General's Departments","Legal","LGBO","230","220","57450","55610"
"In post","2021","Attorney General's Departments","Legal","Undeclared","230","220","58390","55610"
"In post","2021","Attorney General's Departments","Legal","Unknown","1320","1190","59410","58970"
"In post","2021","Attorney General's Departments","Operational Delivery","Heterosexual / straight","2180","2030","27630","25480"
"In post","2021","Attorney General's Departments","Operational Delivery","LGBO","140","130","28400","25820"
"In post","2021","Attorney General's Departments","Operational Delivery","Undeclared","80","80","25920","24060"
"In post","2021","Attorney General's Departments","Operational Delivery","Unknown","660","590","26310","25820"
"In post","2021","Attorney General's Departments","Other","Heterosexual / straight","290","280","32490","27580"
"In post","2021","Attorney General's Departments","Other","LGBO","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","Unknown","100","90","33190","28660"
"In post","2021","Attorney General's Departments","Policy","Heterosexual / straight","60","60","52310","54760"
"In post","2021","Attorney General's Departments","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
