"Status","Year","Function_of_post","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Midlands (England)","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Nottingham","30","30","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Suffolk","350","330","34350","30220"
"In post","2021","Analysis","London","Camden and City of London","230","220","67630","60780"
"In post","2021","Analysis","London","Croydon","40","40","[c]","[c]"
"In post","2021","Analysis","London","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Tower Hamlets","680","660","50780","46850"
"In post","2021","Analysis","London","Westminster","2490","2430","46680","42980"
"In post","2021","Analysis","North East (England)","Darlington","30","30","[c]","[c]"
"In post","2021","Analysis","North East (England)","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Liverpool","80","70","39950","38630"
"In post","2021","Analysis","North West (England)","Manchester","220","210","38190","33600"
"In post","2021","Analysis","North West (England)","Mid Lancashire","[c]","[c]","[c]","[c]"
