"Status","Year","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","International Trade","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","International Trade","G6/G7","60","60","55140","53490"
"Leaver Dept.","2021","International Trade","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","International Trade","SEO/HEO","60","60","35320","35630"
"Leaver Dept.","2021","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","G6/G7","80","80","59230","58490"
"Leaver Dept.","2021","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicine","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicine","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicine","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","AA/AO","820","780","20790","20880"
"Leaver Dept.","2021","Operational Delivery","EO","490","480","25460","24890"
"Leaver Dept.","2021","Operational Delivery","G6/G7","140","140","56150","53760"
"Leaver Dept.","2021","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","SEO/HEO","440","430","34350","33210"
"Leaver Dept.","2021","Operational Delivery","Unknown","70","60","[c]","[c]"
"Leaver Dept.","2021","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","AA/AO","40","40","[c]","[c]"
"Leaver Dept.","2021","Other","EO","90","90","26010","26960"
"Leaver Dept.","2021","Other","G6/G7","50","50","[c]","[c]"
"Leaver Dept.","2021","Other","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","SEO/HEO","120","110","33880","33080"
"Leaver Dept.","2021","Other","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning Inspectors","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","AA/AO","30","30","[c]","[c]"
"Leaver Dept.","2021","Policy","EO","190","180","27760","27440"
"Leaver Dept.","2021","Policy","G6/G7","550","530","56130","53870"
"Leaver Dept.","2021","Policy","SCS","90","80","85990","76550"
"Leaver Dept.","2021","Policy","SEO/HEO","820","800","36200","35070"
"Leaver Dept.","2021","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","EO","60","60","24590","25370"
"Leaver Dept.","2021","Project Delivery","G6/G7","110","110","58320","57460"
"Leaver Dept.","2021","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","SEO/HEO","220","220","34620","33540"
"Leaver Dept.","2021","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","G6/G7","30","30","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","SEO/HEO","70","70","33250","32370"
"Leaver Dept.","2021","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","SEO/HEO","60","50","36250","35110"
"Leaver Dept.","2021","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","AA/AO","1170","1090","21250","21010"
"Leaver Dept.","2021","Unknown","EO","1300","1200","27760","27570"
"Leaver Dept.","2021","Unknown","G6/G7","830","690","57510","55650"
"Leaver Dept.","2021","Unknown","SCS","140","110","84800","78070"
"Leaver Dept.","2021","Unknown","SEO/HEO","1940","1720","34180","32910"
"Leaver Dept.","2021","Unknown","Unknown","110","110","[c]","[c]"
"Leaver Dept.","2022","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","EO","50","40","[c]","[c]"
"Leaver Dept.","2022","Commercial","G6/G7","100","80","57040","54540"
"Leaver Dept.","2022","Commercial","SCS","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","SEO/HEO","310","190","36010","36500"
"Leaver Dept.","2022","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","EO","60","30","[c]","[c]"
"Leaver Dept.","2022","Communications","G6/G7","130","60","59950","57440"
"Leaver Dept.","2022","Communications","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","SEO/HEO","190","180","36660","36530"
"Leaver Dept.","2022","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","EO","50","50","27790","27570"
"Leaver Dept.","2022","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","SEO/HEO","40","40","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","EO","90","90","27600","27520"
"Leaver Dept.","2022","Digital, Data and Technology","G6/G7","180","160","57860","55740"
"Leaver Dept.","2022","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","SEO/HEO","460","370","37250","36780"
"Leaver Dept.","2022","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","G6/G7","60","50","[c]","[c]"
"Leaver Dept.","2022","Economics","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","SEO/HEO","90","70","33520","33640"
"Leaver Dept.","2022","Economics","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","AA/AO","30","30","[c]","[c]"
"Leaver Dept.","2022","Finance","EO","100","70","25940","26240"
"Leaver Dept.","2022","Finance","G6/G7","150","120","58040","56480"
"Leaver Dept.","2022","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","SEO/HEO","320","230","36970","36330"
"Leaver Dept.","2022","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Geography","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Geography","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Geography","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","AA/AO","50","50","22080","21580"
"Leaver Dept.","2022","Human Resources","EO","140","110","26970","26880"
"Leaver Dept.","2022","Human Resources","G6/G7","140","130","57660","55430"
"Leaver Dept.","2022","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","SEO/HEO","260","250","34800","33550"
"Leaver Dept.","2022","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Inspector of Education and Training","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","EO","40","40","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","SEO/HEO","40","40","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","International Trade","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","International Trade","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","International Trade","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","International Trade","SEO/HEO","60","60","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","EO","30","30","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","G6/G7","130","110","56430","54230"
"Leaver Dept.","2022","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","SEO/HEO","120","110","36460","36970"
"Leaver Dept.","2022","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","G6/G7","90","90","60280","59160"
"Leaver Dept.","2022","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Medicine","G6/G7","90","80","68940","60830"
"Leaver Dept.","2022","Medicine","SCS","240","200","112660","109710"
"Leaver Dept.","2022","Medicine","SEO/HEO","60","60","38070","39870"
"Leaver Dept.","2022","Operational Delivery","AA/AO","2090","1930","21360","21260"
"Leaver Dept.","2022","Operational Delivery","EO","2990","2840","27110","27570"
"Leaver Dept.","2022","Operational Delivery","G6/G7","1030","980","57420","54270"
"Leaver Dept.","2022","Operational Delivery","SCS","140","110","96180","93040"
"Leaver Dept.","2022","Operational Delivery","SEO/HEO","2160","2050","35420","34550"
"Leaver Dept.","2022","Operational Delivery","Unknown","120","110","[c]","[c]"
"Leaver Dept.","2022","Operational Research","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Research","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Research","SEO/HEO","30","30","[c]","[c]"
"Leaver Dept.","2022","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","AA/AO","160","150","21510","21260"
"Leaver Dept.","2022","Other","EO","340","330","26990","27570"
"Leaver Dept.","2022","Other","G6/G7","70","70","57690","56500"
"Leaver Dept.","2022","Other","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","SEO/HEO","210","210","34640","34970"
"Leaver Dept.","2022","Other","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning Inspectors","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning Inspectors","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning Inspectors","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning Inspectors","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","EO","250","200","27450","27690"
"Leaver Dept.","2022","Policy","G6/G7","800","610","57170","54270"
"Leaver Dept.","2022","Policy","SCS","140","100","84580","77880"
"Leaver Dept.","2022","Policy","SEO/HEO","1200","1000","36790","36340"
"Leaver Dept.","2022","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","EO","80","70","26320","26350"
"Leaver Dept.","2022","Project Delivery","G6/G7","120","120","58130","57450"
"Leaver Dept.","2022","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","SEO/HEO","300","290","36850","36840"
"Leaver Dept.","2022","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","EO","30","30","[c]","[c]"
"Leaver Dept.","2022","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","SEO/HEO","50","50","[c]","[c]"
"Leaver Dept.","2022","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Psychology","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Psychology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","AA/AO","170","160","21540","21510"
"Leaver Dept.","2022","Science and Engineering","EO","310","300","25450","25800"
"Leaver Dept.","2022","Science and Engineering","G6/G7","570","540","57460","53550"
"Leaver Dept.","2022","Science and Engineering","SCS","30","20","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","SEO/HEO","1190","1090","36200","36330"
"Leaver Dept.","2022","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","SEO/HEO","40","40","[c]","[c]"
"Leaver Dept.","2022","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","SEO/HEO","40","40","[c]","[c]"
"Leaver Dept.","2022","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","G6/G7","30","30","[c]","[c]"
"Leaver Dept.","2022","Statistics","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","SEO/HEO","80","80","37390","38020"
"Leaver Dept.","2022","Tax","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Tax","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Tax","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","AA/AO","700","660","22070","21260"
"Leaver Dept.","2022","Unknown","EO","610","570","27880","27570"
"Leaver Dept.","2022","Unknown","G6/G7","970","750","58240","54760"
"Leaver Dept.","2022","Unknown","SCS","150","130","86600","77720"
"Leaver Dept.","2022","Unknown","SEO/HEO","1780","1620","34400","33250"
"Leaver Dept.","2022","Unknown","Unknown","190","100","[c]","[c]"
"Leaver Dept.","2022","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Veterinarian","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","AA/AO","40","40","[c]","[c]"
"New entrant CS","2021","Commercial","EO","90","90","25080","25380"
"New entrant CS","2021","Commercial","G6/G7","60","60","55400","54110"
"New entrant CS","2021","Commercial","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","240","240","36550","36500"
"New entrant CS","2021","Commercial","Unknown","40","40","[c]","[c]"
"New entrant CS","2021","Communications","AA/AO","50","50","[c]","[c]"
"New entrant CS","2021","Communications","EO","140","140","26480","27200"
"New entrant CS","2021","Communications","G6/G7","80","70","58020","57060"
"New entrant CS","2021","Communications","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","200","200","36610","36000"
"New entrant CS","2021","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","SEO/HEO","30","30","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","AA/AO","90","90","21360","20920"
"New entrant CS","2021","Digital, Data and Technology","EO","370","370","26270","25560"
"New entrant CS","2021","Digital, Data and Technology","G6/G7","490","490","58290","57050"
"New entrant CS","2021","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","SEO/HEO","860","850","37150","36500"
"New entrant CS","2021","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","AA/AO","80","80","21890","22500"
"New entrant CS","2021","Economics","EO","60","60","26370","26250"
"New entrant CS","2021","Economics","G6/G7","30","30","[c]","[c]"
"New entrant CS","2021","Economics","SEO/HEO","300","300","33330","32790"
"New entrant CS","2021","Finance","AA/AO","100","80","20580","20500"
"New entrant CS","2021","Finance","EO","180","170","24780","25000"
"New entrant CS","2021","Finance","G6/G7","100","100","58490","57800"
"New entrant CS","2021","Finance","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SEO/HEO","320","320","36540","35900"
"New entrant CS","2021","Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","AA/AO","160","160","20920","20920"
"New entrant CS","2021","Human Resources","EO","180","170","25900","26350"
"New entrant CS","2021","Human Resources","G6/G7","110","100","57590","55250"
"New entrant CS","2021","Human Resources","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","250","250","34560","34000"
"New entrant CS","2021","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Inspector of Education and Training","G6/G7","60","60","73310","75500"
"New entrant CS","2021","Inspector of Education and Training","SEO/HEO","40","40","[c]","[c]"
"New entrant CS","2021","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Intelligence Analysis","EO","70","70","26370","26350"
"New entrant CS","2021","Intelligence Analysis","G6/G7","50","50","58080","53360"
"New entrant CS","2021","Intelligence Analysis","SEO/HEO","30","30","[c]","[c]"
"New entrant CS","2021","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","SEO/HEO","30","30","[c]","[c]"
"New entrant CS","2021","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","International Trade","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","International Trade","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","International Trade","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","International Trade","SEO/HEO","90","80","33300","31800"
"New entrant CS","2021","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","EO","40","40","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","SEO/HEO","90","90","35490","33000"
"New entrant CS","2021","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","EO","150","150","26800","25560"
"New entrant CS","2021","Legal","G6/G7","420","400","53610","51210"
"New entrant CS","2021","Legal","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","SEO/HEO","350","350","34800","36800"
"New entrant CS","2021","Medicine","AA/AO","50","40","[c]","[c]"
"New entrant CS","2021","Medicine","EO","60","50","29740","30620"
"New entrant CS","2021","Medicine","G6/G7","110","80","72530","75330"
"New entrant CS","2021","Medicine","SCS","60","40","92780","84460"
"New entrant CS","2021","Medicine","SEO/HEO","120","110","36720","37890"
"New entrant CS","2021","Operational Delivery","AA/AO","9430","9150","21850","21300"
"New entrant CS","2021","Operational Delivery","EO","2730","2670","26730","25410"
"New entrant CS","2021","Operational Delivery","G6/G7","400","380","56170","53380"
"New entrant CS","2021","Operational Delivery","SCS","40","30","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SEO/HEO","1980","1870","35110","33950"
"New entrant CS","2021","Operational Delivery","Unknown","1450","1320","23000","22920"
"New entrant CS","2021","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","SEO/HEO","80","80","35080","35640"
"New entrant CS","2021","Other","AA/AO","700","680","20740","20920"
"New entrant CS","2021","Other","EO","640","630","25560","26350"
"New entrant CS","2021","Other","G6/G7","100","100","61200","57430"
"New entrant CS","2021","Other","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","SEO/HEO","360","360","34930","35000"
"New entrant CS","2021","Other","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Planning","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Planning","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Planning","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Planning","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Planning Inspectors","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Policy","AA/AO","100","100","21450","20920"
"New entrant CS","2021","Policy","EO","600","600","26440","27270"
"New entrant CS","2021","Policy","G6/G7","590","580","55970","53380"
"New entrant CS","2021","Policy","SCS","60","60","92750","84070"
"New entrant CS","2021","Policy","SEO/HEO","1980","1950","34230","33570"
"New entrant CS","2021","Policy","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","AA/AO","50","50","21740","20920"
"New entrant CS","2021","Project Delivery","EO","240","230","25050","26180"
"New entrant CS","2021","Project Delivery","G6/G7","190","190","56330","54120"
"New entrant CS","2021","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","SEO/HEO","630","620","36080","35050"
"New entrant CS","2021","Project Delivery","Unknown","60","50","40080","40000"
"New entrant CS","2021","Property","AA/AO","70","70","19040","18760"
"New entrant CS","2021","Property","EO","130","130","25550","24960"
"New entrant CS","2021","Property","G6/G7","70","60","56980","53500"
"New entrant CS","2021","Property","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","SEO/HEO","210","210","34740","33150"
"New entrant CS","2021","Property","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Psychology","EO","60","60","24940","24620"
"New entrant CS","2021","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Psychology","SEO/HEO","50","40","[c]","[c]"
"New entrant CS","2021","Science and Engineering","AA/AO","240","230","21080","20660"
"New entrant CS","2021","Science and Engineering","EO","300","300","24960","26370"
"New entrant CS","2021","Science and Engineering","G6/G7","80","80","55380","52640"
"New entrant CS","2021","Science and Engineering","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Science and Engineering","SEO/HEO","600","550","34770","33000"
"New entrant CS","2021","Science and Engineering","Unknown","90","90","31640","27540"
"New entrant CS","2021","Security","AA/AO","550","550","24990","23540"
"New entrant CS","2021","Security","EO","90","90","27400","24810"
"New entrant CS","2021","Security","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","SEO/HEO","90","90","35150","34710"
"New entrant CS","2021","Security","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Social Research","EO","[c]","[c]","[c]","[c]"
