"Status","Year","Sex","Region_ITL1","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","East Midlands (England)","Commercial","70","60","40050","39040"
"In post","2021","Female","East Midlands (England)","Communications","70","70","36170","33960"
"In post","2021","Female","East Midlands (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Digital, Data and Technology","110","100","36210","32180"
"In post","2021","Female","East Midlands (England)","Finance","120","110","33760","30370"
"In post","2021","Female","East Midlands (England)","Human Resources","260","250","37800","33840"
"In post","2021","Female","East Midlands (England)","Inspector of Education and Training","50","50","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Intelligence Analysis","60","50","28190","26850"
"In post","2021","Female","East Midlands (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Knowledge and Information Management","40","30","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Legal","270","240","43150","45700"
"In post","2021","Female","East Midlands (England)","Medicine","140","130","42730","37890"
"In post","2021","Female","East Midlands (England)","Operational Delivery","5540","4960","26420","23910"
"In post","2021","Female","East Midlands (England)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Other","480","450","23470","21130"
"In post","2021","Female","East Midlands (England)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Policy","170","150","40170","36780"
"In post","2021","Female","East Midlands (England)","Project Delivery","200","190","37970","34120"
"In post","2021","Female","East Midlands (England)","Property","230","210","31760","28660"
"In post","2021","Female","East Midlands (England)","Psychology","150","150","34650","30450"
"In post","2021","Female","East Midlands (England)","Science and Engineering","170","160","39160","37890"
"In post","2021","Female","East Midlands (England)","Security","40","40","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Tax","620","570","32560","31810"
"In post","2021","Female","East Midlands (England)","Unknown","3180","2730","26190","27570"
"In post","2021","Female","East Midlands (England)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","East of England","Commercial","140","130","36900","35630"
"In post","2021","Female","East of England","Communications","50","40","[c]","[c]"
"In post","2021","Female","East of England","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","East of England","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","East of England","Digital, Data and Technology","160","140","35850","33000"
"In post","2021","Female","East of England","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","East of England","Finance","240","220","34950","31810"
"In post","2021","Female","East of England","Human Resources","140","130","34570","31180"
"In post","2021","Female","East of England","Inspector of Education and Training","60","60","61880","51360"
"In post","2021","Female","East of England","Intelligence Analysis","160","150","31730","30450"
"In post","2021","Female","East of England","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","East of England","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","East of England","Knowledge and Information Management","90","90","34840","30610"
"In post","2021","Female","East of England","Legal","410","360","38150","33840"
"In post","2021","Female","East of England","Medicine","110","100","49180","37890"
"In post","2021","Female","East of England","Operational Delivery","5260","4730","27030","24920"
"In post","2021","Female","East of England","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","East of England","Other","620","590","23460","21130"
"In post","2021","Female","East of England","Policy","110","100","42590","38630"
"In post","2021","Female","East of England","Project Delivery","310","300","37920","34800"
"In post","2021","Female","East of England","Property","220","210","31630","31100"
"In post","2021","Female","East of England","Psychology","150","140","35180","30450"
"In post","2021","Female","East of England","Science and Engineering","380","350","37430","35900"
"In post","2021","Female","East of England","Security","150","140","29040","24620"
"In post","2021","Female","East of England","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","East of England","Tax","150","130","32220","29570"
"In post","2021","Female","East of England","Unknown","3220","2790","28450","27570"
"In post","2021","Female","East of England","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","London","Commercial","460","450","45900","41330"
"In post","2021","Female","London","Communications","1240","1190","45780","42200"
