"Status","Year","Ethnicity","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","EO","50","50","27690","27680"
"In post","2021","Asian","Analysis","G6/G7","130","130","59230","58820"
"In post","2021","Asian","Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","SEO/HEO","220","210","37000","36160"
"In post","2021","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","EO","50","50","28100","28080"
"In post","2021","Asian","Commercial","G6/G7","40","40","[c]","[c]"
"In post","2021","Asian","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","SEO/HEO","140","140","38190","37590"
"In post","2021","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","EO","250","240","25250","25560"
"In post","2021","Asian","Communications","G6/G7","40","30","[c]","[c]"
"In post","2021","Asian","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","SEO/HEO","210","210","35090","32280"
"In post","2021","Asian","Counter Fraud","AA/AO","70","60","22420","21440"
"In post","2021","Asian","Counter Fraud","EO","250","240","27770","27700"
"In post","2021","Asian","Counter Fraud","G6/G7","50","50","[c]","[c]"
"In post","2021","Asian","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","SEO/HEO","240","240","35180","36160"
"In post","2021","Asian","Debt","AA/AO","280","240","22270","20430"
"In post","2021","Asian","Debt","EO","60","60","28050","26470"
"In post","2021","Asian","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","EO","160","160","27780","27130"
"In post","2021","Asian","Digital, Data & Technology","G6/G7","210","210","58370","55480"
"In post","2021","Asian","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","SEO/HEO","390","380","36810","36500"
"In post","2021","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","AA/AO","100","90","21490","20140"
"In post","2021","Asian","Finance","EO","150","140","27150","26490"
"In post","2021","Asian","Finance","G6/G7","140","130","59200","59120"
"In post","2021","Asian","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","SEO/HEO","350","340","37810","36890"
"In post","2021","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","AA/AO","60","50","21730","20920"
"In post","2021","Asian","Human Resources","EO","110","110","27280","27380"
"In post","2021","Asian","Human Resources","G6/G7","80","80","58370","56730"
"In post","2021","Asian","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","SEO/HEO","210","210","36710","36160"
"In post","2021","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","AA/AO","180","170","22760","23520"
"In post","2021","Asian","Legal","EO","200","190","27670","27580"
"In post","2021","Asian","Legal","G6/G7","470","430","57410","54770"
"In post","2021","Asian","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","SEO/HEO","280","260","37960","38300"
"In post","2021","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","AA/AO","3330","2990","22010","20520"
"In post","2021","Asian","No function","EO","1660","1570","27400","26880"
"In post","2021","Asian","No function","G6/G7","980","960","57510","54700"
"In post","2021","Asian","No function","SCS","170","160","93890","91370"
"In post","2021","Asian","No function","SEO/HEO","2670","2570","36540","35700"
"In post","2021","Asian","No function","Unknown","520","480","29180","28200"
"In post","2021","Asian","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","EO","180","180","26300","26550"
"In post","2021","Asian","Project Delivery","G6/G7","290","290","59030","58460"
"In post","2021","Asian","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","SEO/HEO","580","570","36800","36790"
"In post","2021","Asian","Project Delivery","Unknown","30","30","[c]","[c]"
"In post","2021","Asian","Property","AA/AO","60","50","22770","21250"
"In post","2021","Asian","Property","EO","100","100","27980","27500"
"In post","2021","Asian","Property","G6/G7","30","30","[c]","[c]"
"In post","2021","Asian","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","SEO/HEO","110","110","37990","37380"
"In post","2021","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","AA/AO","110","110","24610","21150"
"In post","2021","Asian","Security","EO","30","30","[c]","[c]"
"In post","2021","Asian","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","SEO/HEO","60","60","39270","38230"
"In post","2021","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","AA/AO","3700","3180","22330","21430"
"In post","2021","Asian","Unknown","EO","6550","6050","28730","28650"
"In post","2021","Asian","Unknown","G6/G7","510","500","60880","57680"
"In post","2021","Asian","Unknown","SCS","40","40","[c]","[c]"
"In post","2021","Asian","Unknown","SEO/HEO","1890","1830","37340","36500"
"In post","2021","Asian","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Black","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","G6/G7","30","30","[c]","[c]"
"In post","2021","Black","Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","SEO/HEO","110","110","37580","36800"
"In post","2021","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","SEO/HEO","100","100","39700","39440"
"In post","2021","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","EO","100","100","25860","25560"
"In post","2021","Black","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","SEO/HEO","80","80","35770","34970"
"In post","2021","Black","Counter Fraud","AA/AO","40","30","[c]","[c]"
"In post","2021","Black","Counter Fraud","EO","110","110","28870","29570"
"In post","2021","Black","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","SEO/HEO","100","90","35860","36160"
"In post","2021","Black","Debt","AA/AO","110","100","22900","24120"
"In post","2021","Black","Debt","EO","30","30","[c]","[c]"
"In post","2021","Black","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Debt","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","EO","80","80","28250","28170"
"In post","2021","Black","Digital, Data & Technology","G6/G7","80","80","56210","54700"
"In post","2021","Black","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","SEO/HEO","200","190","36840","36160"
"In post","2021","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","AA/AO","30","30","[c]","[c]"
"In post","2021","Black","Finance","EO","60","60","28420","28670"
"In post","2021","Black","Finance","G6/G7","60","60","58230","57380"
"In post","2021","Black","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","SEO/HEO","190","190","38450","37510"
"In post","2021","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","EO","80","80","28050","27710"
"In post","2021","Black","Human Resources","G6/G7","40","40","[c]","[c]"
"In post","2021","Black","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","SEO/HEO","150","150","37250","36390"
