"Status","Year","Age","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Declared non-disabled","190","170","21480","21430"
"In post","2021","16-19","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Unknown","210","200","20930","20880"
"In post","2021","16-19","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Unknown","60","60","18880","16780"
"In post","2021","16-19","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","Declared non-disabled","70","70","18090","17780"
"In post","2021","16-19","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","Unknown","50","50","[c]","[c]"
"In post","2021","16-19","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Declared non-disabled","50","50","20440","20140"
"In post","2021","16-19","Tax","Unknown","100","90","20310","20140"
"In post","2021","16-19","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Declared non-disabled","230","220","22430","21010"
"In post","2021","16-19","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","70","70","21590","21010"
"In post","2021","20-29","Commercial","Declared disabled","40","40","[c]","[c]"
"In post","2021","20-29","Commercial","Declared non-disabled","540","530","30240","29550"
"In post","2021","20-29","Commercial","Undeclared","40","40","[c]","[c]"
"In post","2021","20-29","Commercial","Unknown","240","230","31680","28970"
"In post","2021","20-29","Communications","Declared disabled","40","40","[c]","[c]"
"In post","2021","20-29","Communications","Declared non-disabled","460","460","34560","33210"
"In post","2021","20-29","Communications","Undeclared","40","30","[c]","[c]"
"In post","2021","20-29","Communications","Unknown","300","300","33660","32120"
"In post","2021","20-29","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","Declared disabled","100","100","30970","29760"
"In post","2021","20-29","Digital, Data and Technology","Declared non-disabled","1010","1010","33970","31810"
"In post","2021","20-29","Digital, Data and Technology","Undeclared","60","60","32550","31420"
"In post","2021","20-29","Digital, Data and Technology","Unknown","760","760","32690","31810"
"In post","2021","20-29","Economics","Declared disabled","50","50","[c]","[c]"
"In post","2021","20-29","Economics","Declared non-disabled","730","720","38280","34340"
"In post","2021","20-29","Economics","Undeclared","70","70","36920","33880"
"In post","2021","20-29","Economics","Unknown","340","340","35240","32970"
"In post","2021","20-29","Finance","Declared disabled","60","50","32430","30120"
"In post","2021","20-29","Finance","Declared non-disabled","770","760","33020","30420"
"In post","2021","20-29","Finance","Undeclared","50","50","[c]","[c]"
"In post","2021","20-29","Finance","Unknown","340","330","31320","29380"
"In post","2021","20-29","Human Resources","Declared disabled","90","90","32460","29870"
"In post","2021","20-29","Human Resources","Declared non-disabled","690","680","31490","29250"
"In post","2021","20-29","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Unknown","270","270","29660","27680"
"In post","2021","20-29","Intelligence Analysis","Declared disabled","40","40","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","Declared non-disabled","360","360","32040","29250"
"In post","2021","20-29","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","Unknown","120","120","39960","36160"
"In post","2021","20-29","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","20-29","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","20-29","International Trade","Declared non-disabled","200","200","37400","33640"
"In post","2021","20-29","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","International Trade","Unknown","220","220","38160","35860"
"In post","2021","20-29","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","Declared non-disabled","220","220","28460","27650"
"In post","2021","20-29","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","Unknown","30","30","[c]","[c]"
"In post","2021","20-29","Legal","Declared disabled","50","50","[c]","[c]"
"In post","2021","20-29","Legal","Declared non-disabled","740","730","34820","31810"
"In post","2021","20-29","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","Unknown","430","430","31410","28600"
"In post","2021","20-29","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","Declared non-disabled","90","90","28860","27190"
"In post","2021","20-29","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","Unknown","50","50","30470","30620"
