"Status","Year","Region_ITL3","Responsibility_level","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Breckland and South Norfolk","G6/G7","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","SCS","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","SEO/HEO","East Anglia","70","70","38300","36670"
"In post","2021","Breckland and South Norfolk","Unknown","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Brent","AA/AO","Outer London - West and North West","160","140","23490","23500"
"In post","2021","Brent","EO","Outer London - West and North West","270","260","30670","31060"
"In post","2021","Brent","G6/G7","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Brent","SEO/HEO","Outer London - West and North West","90","90","40700","37380"
"In post","2021","Brent","Unknown","Outer London - West and North West","60","60","32640","29210"
"In post","2021","Bridgend and Neath Port Talbot","AA/AO","West Wales and The Valleys","270","230","20500","21010"
"In post","2021","Bridgend and Neath Port Talbot","EO","West Wales and The Valleys","290","260","27980","27570"
"In post","2021","Bridgend and Neath Port Talbot","G6/G7","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","SEO/HEO","West Wales and The Valleys","80","80","36560","34290"
"In post","2021","Bridgend and Neath Port Talbot","Unknown","West Wales and The Valleys","60","60","33630","31420"
"In post","2021","Brighton and Hove","AA/AO","Surrey, East and West Sussex","160","140","20510","20650"
"In post","2021","Brighton and Hove","EO","Surrey, East and West Sussex","270","240","27590","27570"
"In post","2021","Brighton and Hove","G6/G7","Surrey, East and West Sussex","70","60","59430","60350"
"In post","2021","Brighton and Hove","SCS","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","SEO/HEO","Surrey, East and West Sussex","70","70","36430","35290"
"In post","2021","Brighton and Hove","Unknown","Surrey, East and West Sussex","90","80","28790","25340"
"In post","2021","Bristol, City of","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","1330","1220","21520","21010"
"In post","2021","Bristol, City of","EO","Gloucestershire, Wiltshire and Bath/Bristol area","1430","1310","26650","27250"
"In post","2021","Bristol, City of","G6/G7","Gloucestershire, Wiltshire and Bath/Bristol area","1430","1340","56600","53830"
"In post","2021","Bristol, City of","SCS","Gloucestershire, Wiltshire and Bath/Bristol area","90","80","92100","84000"
"In post","2021","Bristol, City of","SEO/HEO","Gloucestershire, Wiltshire and Bath/Bristol area","2170","2040","35400","34390"
"In post","2021","Bristol, City of","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","160","150","28840","28200"
"In post","2021","Bromley","AA/AO","Outer London - South","140","130","22290","22120"
"In post","2021","Bromley","EO","Outer London - South","240","220","31060","31060"
"In post","2021","Bromley","G6/G7","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Bromley","SEO/HEO","Outer London - South","50","50","39600","38450"
"In post","2021","Bromley","Unknown","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","570","540","25280","23130"
"In post","2021","Buckinghamshire CC","EO","Berkshire, Buckinghamshire and Oxfordshire","490","470","28760","28350"
"In post","2021","Buckinghamshire CC","G6/G7","Berkshire, Buckinghamshire and Oxfordshire","70","70","64150","59540"
"In post","2021","Buckinghamshire CC","SCS","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","SEO/HEO","Berkshire, Buckinghamshire and Oxfordshire","450","430","38730","36800"
"In post","2021","Buckinghamshire CC","Unknown","Berkshire, Buckinghamshire and Oxfordshire","90","90","29700","31310"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","AA/AO","Highlands and Islands","80","70","23780","22920"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","EO","Highlands and Islands","90","90","29660","28120"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","G6/G7","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","SEO/HEO","Highlands and Islands","30","30","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Unknown","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Calderdale and Kirklees","AA/AO","West Yorkshire","230","190","20570","21010"
"In post","2021","Calderdale and Kirklees","EO","West Yorkshire","610","550","27310","27570"
"In post","2021","Calderdale and Kirklees","G6/G7","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Calderdale and Kirklees","SCS","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Calderdale and Kirklees","SEO/HEO","West Yorkshire","90","80","34150","32850"
"In post","2021","Calderdale and Kirklees","Unknown","West Yorkshire","110","100","28530","28200"
"In post","2021","Cambridgeshire CC","AA/AO","East Anglia","1140","1060","25360","23490"
"In post","2021","Cambridgeshire CC","EO","East Anglia","710","670","27980","27570"
"In post","2021","Cambridgeshire CC","G6/G7","East Anglia","310","290","60520","57110"
"In post","2021","Cambridgeshire CC","SCS","East Anglia","40","40","[c]","[c]"
"In post","2021","Cambridgeshire CC","SEO/HEO","East Anglia","1080","1040","37200","35480"
"In post","2021","Cambridgeshire CC","Unknown","East Anglia","100","90","30530","30210"
"In post","2021","Camden and City of London","AA/AO","Inner London - West","860","810","23580","23270"
"In post","2021","Camden and City of London","EO","Inner London - West","930","880","29720","29570"
"In post","2021","Camden and City of London","G6/G7","Inner London - West","600","570","67710","60070"
"In post","2021","Camden and City of London","SCS","Inner London - West","40","40","[c]","[c]"
"In post","2021","Camden and City of London","SEO/HEO","Inner London - West","1190","1160","38710","36750"
"In post","2021","Camden and City of London","Unknown","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Cardiff and Vale of Glamorgan","AA/AO","East Wales","3400","3050","21330","20880"
"In post","2021","Cardiff and Vale of Glamorgan","EO","East Wales","3320","3110","26860","26930"
"In post","2021","Cardiff and Vale of Glamorgan","G6/G7","East Wales","1350","1290","59620","60830"
"In post","2021","Cardiff and Vale of Glamorgan","SCS","East Wales","190","180","90280","82200"
"In post","2021","Cardiff and Vale of Glamorgan","SEO/HEO","East Wales","3520","3350","36750","37410"
"In post","2021","Cardiff and Vale of Glamorgan","Unknown","East Wales","290","270","31110","30210"
"In post","2021","Causeway Coast and Glens","AA/AO","Northern Ireland","70","70","20410","20310"
"In post","2021","Causeway Coast and Glens","EO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Central Bedfordshire","AA/AO","Bedfordshire and Hertfordshire","140","140","20780","20920"
"In post","2021","Central Bedfordshire","EO","Bedfordshire and Hertfordshire","130","120","28060","27390"
"In post","2021","Central Bedfordshire","G6/G7","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Central Bedfordshire","SEO/HEO","Bedfordshire and Hertfordshire","140","140","37110","36300"
"In post","2021","Central Bedfordshire","Unknown","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Central Hampshire","AA/AO","Hampshire and Isle of Wight","810","780","23220","20920"
"In post","2021","Central Hampshire","EO","Hampshire and Isle of Wight","720","680","27210","26670"
"In post","2021","Central Hampshire","G6/G7","Hampshire and Isle of Wight","950","910","53350","53500"
"In post","2021","Central Hampshire","SCS","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Central Hampshire","SEO/HEO","Hampshire and Isle of Wight","1650","1600","35810","35390"
"In post","2021","Central Hampshire","Unknown","Hampshire and Isle of Wight","40","40","[c]","[c]"
"In post","2021","Central Valleys","AA/AO","West Wales and The Valleys","360","320","21620","21010"
"In post","2021","Central Valleys","EO","West Wales and The Valleys","550","500","27760","27570"
"In post","2021","Central Valleys","G6/G7","West Wales and The Valleys","170","170","62270","60830"
"In post","2021","Central Valleys","SCS","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Central Valleys","SEO/HEO","West Wales and The Valleys","520","500","40030","37410"
"In post","2021","Central Valleys","Unknown","West Wales and The Valleys","90","80","29500","28750"
"In post","2021","Cheshire East","AA/AO","Cheshire","290","260","23870","21710"
"In post","2021","Cheshire East","EO","Cheshire","240","220","27510","27570"
"In post","2021","Cheshire East","G6/G7","Cheshire","40","40","[c]","[c]"
"In post","2021","Cheshire East","SCS","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire East","SEO/HEO","Cheshire","130","120","38860","37410"
"In post","2021","Cheshire East","Unknown","Cheshire","50","50","29630","30150"
"In post","2021","Cheshire West and Chester","AA/AO","Cheshire","160","150","20670","21010"
"In post","2021","Cheshire West and Chester","EO","Cheshire","180","160","27190","27570"
"In post","2021","Cheshire West and Chester","G6/G7","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire West and Chester","SEO/HEO","Cheshire","30","30","[c]","[c]"
"In post","2021","Cheshire West and Chester","Unknown","Cheshire","80","70","28740","28200"
"In post","2021","Chorley and West Lancashire","AA/AO","Lancashire","730","670","25550","25300"
"In post","2021","Chorley and West Lancashire","EO","Lancashire","320","290","29650","27570"
"In post","2021","Chorley and West Lancashire","G6/G7","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Chorley and West Lancashire","SCS","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Chorley and West Lancashire","SEO/HEO","Lancashire","210","200","39500","38160"
"In post","2021","Chorley and West Lancashire","Unknown","Lancashire","50","50","32280","33360"
"In post","2021","City of Edinburgh","AA/AO","Eastern Scotland","3150","2980","22180","21480"
"In post","2021","City of Edinburgh","EO","Eastern Scotland","2630","2500","28470","28130"
"In post","2021","City of Edinburgh","G6/G7","Eastern Scotland","2290","2190","61730","61010"
"In post","2021","City of Edinburgh","SCS","Eastern Scotland","210","200","90920","83230"
"In post","2021","City of Edinburgh","SEO/HEO","Eastern Scotland","4520","4320","38400","37580"
"In post","2021","City of Edinburgh","Unknown","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Clackmannanshire and Fife","AA/AO","Eastern Scotland","470","430","22350","21010"
"In post","2021","Clackmannanshire and Fife","EO","Eastern Scotland","550","510","29470","27570"
"In post","2021","Clackmannanshire and Fife","G6/G7","Eastern Scotland","40","40","[c]","[c]"
"In post","2021","Clackmannanshire and Fife","SCS","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Clackmannanshire and Fife","SEO/HEO","Eastern Scotland","260","250","38090","37730"
"In post","2021","Clackmannanshire and Fife","Unknown","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Conwy and Denbighshire","AA/AO","West Wales and The Valleys","130","110","22020","23250"
"In post","2021","Conwy and Denbighshire","EO","West Wales and The Valleys","170","160","27720","27570"
"In post","2021","Conwy and Denbighshire","G6/G7","West Wales and The Valleys","70","70","61550","60830"
"In post","2021","Conwy and Denbighshire","SCS","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Conwy and Denbighshire","SEO/HEO","West Wales and The Valleys","240","230","40300","37410"
"In post","2021","Conwy and Denbighshire","Unknown","West Wales and The Valleys","70","70","30100","28200"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","Cornwall and Isles of Scilly","710","640","20860","21010"
"In post","2021","Cornwall and Isles of Scilly","EO","Cornwall and Isles of Scilly","620","570","27220","27570"
"In post","2021","Cornwall and Isles of Scilly","G6/G7","Cornwall and Isles of Scilly","50","40","58500","54990"
"In post","2021","Cornwall and Isles of Scilly","SEO/HEO","Cornwall and Isles of Scilly","210","200","35630","34160"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Cornwall and Isles of Scilly","50","40","29330","28200"
"In post","2021","Coventry","AA/AO","West Midlands","290","260","20920","21010"
"In post","2021","Coventry","EO","West Midlands","580","540","27010","27130"
"In post","2021","Coventry","G6/G7","West Midlands","540","530","54700","50630"
"In post","2021","Coventry","SCS","West Midlands","50","50","90900","85180"
"In post","2021","Coventry","SEO/HEO","West Midlands","900","860","35060","36370"
"In post","2021","Coventry","Unknown","West Midlands","60","60","29850","30210"
"In post","2021","Croydon","AA/AO","Outer London - South","1740","1580","24510","25630"
"In post","2021","Croydon","EO","Outer London - South","2600","2450","29660","29370"
"In post","2021","Croydon","G6/G7","Outer London - South","1590","1540","63460","61000"
"In post","2021","Croydon","SCS","Outer London - South","80","70","91460","82690"
"In post","2021","Croydon","SEO/HEO","Outer London - South","3520","3400","39250","37380"
"In post","2021","Croydon","Unknown","Outer London - South","100","90","35410","34100"
"In post","2021","Darlington","AA/AO","Tees Valley and Durham","100","90","21000","21000"
"In post","2021","Darlington","EO","Tees Valley and Durham","190","170","26370","26000"
"In post","2021","Darlington","G6/G7","Tees Valley and Durham","190","190","54080","50630"
"In post","2021","Darlington","SCS","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","SEO/HEO","Tees Valley and Durham","430","410","34540","36500"
"In post","2021","Darlington","Unknown","Tees Valley and Durham","50","50","[c]","[c]"
"In post","2021","Derby","AA/AO","Derbyshire and Nottinghamshire","490","420","21470","21010"
"In post","2021","Derby","EO","Derbyshire and Nottinghamshire","300","270","27480","27570"
"In post","2021","Derby","G6/G7","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Derby","SCS","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Derby","SEO/HEO","Derbyshire and Nottinghamshire","60","50","35330","34290"
"In post","2021","Derby","Unknown","Derbyshire and Nottinghamshire","140","130","30130","29930"
"In post","2021","Derry City and Strabane","AA/AO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Derry City and Strabane","SEO/HEO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","AA/AO","Devon","1950","1720","22200","21010"
"In post","2021","Devon CC","EO","Devon","1330","1210","26930","27570"
"In post","2021","Devon CC","G6/G7","Devon","680","640","53650","49960"
"In post","2021","Devon CC","SCS","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","SEO/HEO","Devon","1520","1440","37130","37420"
"In post","2021","Devon CC","Unknown","Devon","80","80","32470","31420"
"In post","2021","Dorset CC","AA/AO","Dorset and Somerset","990","940","23860","22350"
"In post","2021","Dorset CC","EO","Dorset and Somerset","560","520","28090","27130"
"In post","2021","Dorset CC","G6/G7","Dorset and Somerset","60","60","61970","60520"
"In post","2021","Dorset CC","SCS","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Dorset CC","SEO/HEO","Dorset and Somerset","460","440","37100","35950"
"In post","2021","Dorset CC","Unknown","Dorset and Somerset","60","50","28640","30210"
"In post","2021","Dudley","AA/AO","West Midlands","530","440","20750","21010"
"In post","2021","Dudley","EO","West Midlands","480","420","27300","27570"
"In post","2021","Dudley","G6/G7","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Dudley","SEO/HEO","West Midlands","80","70","34500","34290"
"In post","2021","Dudley","Unknown","West Midlands","50","50","29550","28200"
"In post","2021","Dumfries and Galloway","AA/AO","Southern Scotland","250","230","23780","22920"
"In post","2021","Dumfries and Galloway","EO","Southern Scotland","220","200","30370","29190"
"In post","2021","Dumfries and Galloway","G6/G7","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Dumfries and Galloway","SEO/HEO","Southern Scotland","90","80","38720","37530"
"In post","2021","Durham CC","AA/AO","Tees Valley and Durham","3340","2940","23210","21430"
"In post","2021","Durham CC","EO","Tees Valley and Durham","1250","1130","27690","27130"
"In post","2021","Durham CC","G6/G7","Tees Valley and Durham","110","100","59670","56750"
"In post","2021","Durham CC","SCS","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Durham CC","SEO/HEO","Tees Valley and Durham","750","710","37130","36410"
"In post","2021","Durham CC","Unknown","Tees Valley and Durham","140","130","30430","30880"
"In post","2021","Ealing","AA/AO","Outer London - West and North West","70","60","24880","25110"
"In post","2021","Ealing","EO","Outer London - West and North West","350","330","31200","31060"
"In post","2021","Ealing","G6/G7","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Ealing","SEO/HEO","Outer London - West and North West","50","40","[c]","[c]"
"In post","2021","Ealing","Unknown","Outer London - West and North West","40","40","[c]","[c]"
"In post","2021","East Ayrshire and North Ayrshire mainland","AA/AO","Southern Scotland","300","250","21870","21010"
"In post","2021","East Ayrshire and North Ayrshire mainland","EO","Southern Scotland","470","430","25690","27570"
"In post","2021","East Ayrshire and North Ayrshire mainland","G6/G7","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","East Ayrshire and North Ayrshire mainland","SCS","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","East Ayrshire and North Ayrshire mainland","SEO/HEO","Southern Scotland","170","170","34410","33180"
"In post","2021","East Cumbria","AA/AO","Cumbria","340","310","21450","21050"
"In post","2021","East Cumbria","EO","Cumbria","300","280","25240","25740"
"In post","2021","East Cumbria","G6/G7","Cumbria","60","50","53310","51470"
"In post","2021","East Cumbria","SCS","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","East Cumbria","SEO/HEO","Cumbria","180","170","34470","33300"
"In post","2021","East Cumbria","Unknown","Cumbria","60","50","29900","28200"
"In post","2021","East Derbyshire","AA/AO","Derbyshire and Nottinghamshire","100","90","20350","20300"
"In post","2021","East Derbyshire","EO","Derbyshire and Nottinghamshire","200","180","27320","27570"
"In post","2021","East Derbyshire","G6/G7","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Derbyshire","SEO/HEO","Derbyshire and Nottinghamshire","40","30","[c]","[c]"
"In post","2021","East Derbyshire","Unknown","Derbyshire and Nottinghamshire","50","40","[c]","[c]"
"In post","2021","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","AA/AO","West Central Scotland","1370","1300","26510","22430"
"In post","2021","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","EO","West Central Scotland","620","590","30790","28210"
"In post","2021","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","G6/G7","West Central Scotland","50","40","[c]","[c]"
"In post","2021","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","SCS","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","SEO/HEO","West Central Scotland","320","310","40440","39500"
"In post","2021","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Unknown","West Central Scotland","70","70","39680","41960"
"In post","2021","East Kent","AA/AO","Kent","1010","930","22620","21440"
"In post","2021","East Kent","EO","Kent","2380","2150","27420","27370"
"In post","2021","East Kent","G6/G7","Kent","100","100","56720","52580"
"In post","2021","East Kent","SCS","Kent","[c]","[c]","[c]","[c]"
"In post","2021","East Kent","SEO/HEO","Kent","630","610","34730","33370"
"In post","2021","East Kent","Unknown","Kent","110","100","28990","25620"
"In post","2021","East Lancashire","AA/AO","Lancashire","160","130","20320","21010"
