"Status","Year","Function_of_post","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Department for Education","150","140","44060","42420"
"In post","2021","Analysis","Digital, Data and Technology","Department for Transport","40","40","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Competition and Markets Authority","90","90","62530","59510"
"In post","2021","Analysis","Economics","Department for Business, Energy and Industrial Strategy","210","210","41510","35640"
"In post","2021","Analysis","Economics","Department for Digital, Culture, Media and Sport","80","70","53810","59730"
"In post","2021","Analysis","Economics","Department for International Trade","150","150","43340","32330"
"In post","2021","Analysis","Economics","Department for Transport","170","170","47750","54110"
"In post","2021","Analysis","Economics","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","HM Revenue and Customs","100","100","45640","36160"
"In post","2021","Analysis","Economics","HM Treasury","90","80","48050","52530"
"In post","2021","Analysis","Economics","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","Analysis","Economics","Ministry of Housing, Communities and Local Government","80","70","43680","35060"
"In post","2021","Analysis","Economics","Ministry of Justice","50","40","[c]","[c]"
"In post","2021","Analysis","Economics","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","United Kingdom Statistics Authority","150","150","37150","32540"
"In post","2021","Analysis","Economics","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Department of Health and Social Care","230","230","53190","53360"
"In post","2021","Analysis","Intelligence Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","HM Revenue and Customs","30","30","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","United Kingdom Statistics Authority","450","420","30700","29540"
"In post","2021","Analysis","Operational Research","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Department for Transport","60","60","35520","33350"
"In post","2021","Analysis","Operational Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Foreign, Commonwealth and Development Office","70","60","58060","58370"
"In post","2021","Analysis","Operational Research","HM Revenue and Customs","110","100","43860","38630"
"In post","2021","Analysis","Operational Research","Ministry of Defence","250","240","41950","46080"
"In post","2021","Analysis","Operational Research","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Ministry of Justice","100","100","47440","41930"
"In post","2021","Analysis","Operational Research","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Chancellor's other departments","180","160","69320","65470"
"In post","2021","Analysis","Other","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Department for Education","260","250","44540","45250"
"In post","2021","Analysis","Policy","Department for International Trade","[c]","[c]","[c]","[c]"
