"Status","Year","Function_of_post","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Female","70","60","64330","65470"
"In post","2021","Analysis","Chancellor's other departments","Male","120","110","70090","59150"
"In post","2021","Analysis","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Female","60","50","57500","56360"
"In post","2021","Analysis","Competition and Markets Authority","Male","80","80","62080","56630"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Female","120","120","43070","35640"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Male","210","210","44140","38570"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Female","50","50","53780","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Male","90","90","51690","43280"
"In post","2021","Analysis","Department for Education","Female","220","200","43850","42580"
"In post","2021","Analysis","Department for Education","Male","190","190","44950","44430"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Female","260","240","32170","29270"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Male","330","320","35700","30400"
"In post","2021","Analysis","Department for International Trade","Female","100","100","41910","38160"
"In post","2021","Analysis","Department for International Trade","Male","150","150","44020","40330"
"In post","2021","Analysis","Department for Transport","Female","210","190","44920","42890"
"In post","2021","Analysis","Department for Transport","Male","280","270","42850","39770"
"In post","2021","Analysis","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Female","150","130","52140","53360"
"In post","2021","Analysis","Department of Health and Social Care","Male","140","140","51970","53360"
"In post","2021","Analysis","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Male","50","40","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Female","310","290","44340","38630"
"In post","2021","Analysis","HM Revenue and Customs","Male","380","380","44180","38630"
"In post","2021","Analysis","HM Treasury","Female","50","50","57500","54170"
"In post","2021","Analysis","HM Treasury","Male","110","100","51590","52530"
"In post","2021","Analysis","Ministry of Defence","Female","230","210","38680","37320"
"In post","2021","Analysis","Ministry of Defence","Male","430","410","41140","38500"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Female","80","70","46550","42980"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Male","130","130","46350","46240"
"In post","2021","Analysis","Ministry of Justice","Female","200","190","45030","40480"
"In post","2021","Analysis","Ministry of Justice","Male","210","210","45320","40830"
"In post","2021","Analysis","Office for Standards in Education","Female","80","80","40340","35010"
"In post","2021","Analysis","Office for Standards in Education","Male","70","70","39160","35010"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
