"Status","Year","Region_ITL3","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Crown Office and Procurator Fiscal Service","100","90","33070","29040"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Department for Business, Energy and Industrial Strategy (excl. agencies)","100","90","50000","45620"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Department for Work and Pensions (excl. agencies)","260","230","26500","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Food Standards Scotland","180","170","37410","33620"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Forestry and Land Scotland","70","60","30040","28120"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Health and Safety Executive","110","100","77580","90550"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Home Office (incl. agencies)","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Maritime and Coastguard Agency","50","50","34890","31760"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Met Office","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Ministry of Defence (excl. agencies)","110","100","38630","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Scottish Courts and Tribunals Service","80","70","24440","22820"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Scottish Government (excl. agencies)","370","340","36450","32630"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Scottish Prison Service","310","300","30160","28870"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scotland","Crown Office and Procurator Fiscal Service","90","80","35220","29040"
"In post","2021","Angus and Dundee City","Scotland","Department for Work and Pensions (excl. agencies)","960","870","23850","21010"
"In post","2021","Angus and Dundee City","Scotland","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scotland","Education Scotland","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Scotland","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scotland","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scotland","HM Revenue and Customs (excl. agencies)","300","270","23610","21400"
"In post","2021","Angus and Dundee City","Scotland","Ministry of Defence (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Angus and Dundee City","Scotland","Office of the Scottish Charity Regulator","50","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Scotland","Scottish Courts and Tribunals Service","70","60","24910","22820"
"In post","2021","Angus and Dundee City","Scotland","Scottish Government (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Scotland","Social Security Scotland","310","300","28360","24910"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Ministry of Defence (excl. agencies)","180","180","23500","20310"
"In post","2021","Ards and North Down","Northern Ireland","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","Maritime and Coastguard Agency","40","40","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","Ministry of Defence (excl. agencies)","180","180","23350","20310"
"In post","2021","Armagh City, Banbridge and Craigavon","Northern Ireland","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","Department for Work and Pensions (excl. agencies)","460","420","30980","31060"
"In post","2021","Barking & Dagenham and Havering","London","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","HM Courts and Tribunals Service","70","60","24820","22450"
"In post","2021","Barking & Dagenham and Havering","London","HM Prison and Probation Service","50","40","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","London","Department for Work and Pensions (excl. agencies)","300","280","30710","31060"
"In post","2021","Barnet","London","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","Barnet","London","HM Courts and Tribunals Service","40","40","[c]","[c]"
"In post","2021","Barnet","London","HM Prison and Probation Service","50","40","[c]","[c]"
"In post","2021","Barnet","London","Home Office (incl. agencies)","150","150","44640","42170"
"In post","2021","Barnet","London","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","London","Public Health England","1100","1040","43010","39110"
"In post","2021","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","Department for Work and Pensions (excl. agencies)","1360","1150","25090","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","Driver and Vehicle Standards Agency","60","50","27490","26780"
"In post","2021","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","HM Courts and Tribunals Service","80","70","22660","20100"
"In post","2021","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","HM Prison and Probation Service","1400","1310","28960","26810"
"In post","2021","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","Home Office (incl. agencies)","40","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","Defence Equipment and Support","8120","7830","38100","35650"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","Department for Work and Pensions (excl. agencies)","320","290","27410","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","Government Legal Department","40","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","HM Courts and Tribunals Service","90","80","25830","20100"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","HM Prison and Probation Service","630","570","30820","29750"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","Home Office (incl. agencies)","200","180","26800","25260"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","Ministry of Defence (excl. agencies)","2070","1990","38600","36840"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","National Crime Agency","410","400","35940","34140"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","Submarine Delivery Agency","1370","1340","41930","39860"
"In post","2021","Bedford","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
