"Status","Year","Responsibility_level","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Attorney General's Departments","East Midlands (England)","110","110","21360","21950"
"In post","2021","AA/AO","Attorney General's Departments","East of England","110","100","22440","23520"
"In post","2021","AA/AO","Attorney General's Departments","London","420","390","23220","23520"
"In post","2021","AA/AO","Attorney General's Departments","North East (England)","100","80","21860","21950"
"In post","2021","AA/AO","Attorney General's Departments","North West (England)","210","190","21970","21950"
"In post","2021","AA/AO","Attorney General's Departments","South East (England)","150","140","22760","23520"
"In post","2021","AA/AO","Attorney General's Departments","South West (England)","60","50","21750","21950"
"In post","2021","AA/AO","Attorney General's Departments","Wales","80","70","21970","21950"
"In post","2021","AA/AO","Attorney General's Departments","West Midlands (England)","130","120","21790","21950"
"In post","2021","AA/AO","Attorney General's Departments","Yorkshire and The Humber","180","160","21720","21950"
"In post","2021","AA/AO","Cabinet Office","East of England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","London","140","140","24470","24490"
"In post","2021","AA/AO","Cabinet Office","North East (England)","160","140","20800","20800"
"In post","2021","AA/AO","Cabinet Office","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","South East (England)","30","30","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Yorkshire and The Humber","170","160","20910","20920"
"In post","2021","AA/AO","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","East Midlands (England)","30","30","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","East of England","50","50","20980","20880"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","London","150","140","25280","25060"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","North West (England)","90","90","20760","20880"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Scotland","80","80","21320","20880"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","South East (England)","60","50","21560","20880"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","South West (England)","150","150","21830","20880"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Wales","630","560","21370","21140"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","West Midlands (England)","170","160","20570","20880"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","London","30","30","[c]","[c]"
"In post","2021","AA/AO","Department for Education","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
