"Status","Year","Disability","Region_ITL1","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Human Resources","50","50","35290","32620"
"In post","2021","Declared disabled","East Midlands (England)","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Legal","50","40","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Operational Delivery","1170","1080","27130","24460"
"In post","2021","Declared disabled","East Midlands (England)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Other","80","80","23860","21130"
"In post","2021","Declared disabled","East Midlands (England)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Project Delivery","30","30","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Property","40","40","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Science and Engineering","50","40","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Tax","110","100","33640","31810"
"In post","2021","Declared disabled","East Midlands (England)","Unknown","890","780","26020","27570"
"In post","2021","Declared disabled","East Midlands (England)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Corporate Finance","[c]","[c]","[c]","[c]"
