"Status","Year","Disability","Sexual_orientation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Heterosexual / straight","Bedfordshire and Hertfordshire","400","370","31420","29290"
"In post","2021","Declared disabled","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","770","730","31640","29290"
"In post","2021","Declared disabled","Heterosexual / straight","Cheshire","320","290","28890","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Cornwall and Isles of Scilly","160","140","26980","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Cumbria","160","140","28580","27280"
"In post","2021","Declared disabled","Heterosexual / straight","Derbyshire and Nottinghamshire","1140","1050","29710","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Devon","640","560","28150","27130"
"In post","2021","Declared disabled","Heterosexual / straight","Dorset and Somerset","440","410","28860","27570"
"In post","2021","Declared disabled","Heterosexual / straight","East Anglia","1060","970","29270","27570"
"In post","2021","Declared disabled","Heterosexual / straight","East Wales","1310","1200","31520","27570"
"In post","2021","Declared disabled","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","380","340","27260","27380"
"In post","2021","Declared disabled","Heterosexual / straight","Eastern Scotland","1300","1200","32940","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Essex","520","470","30550","29290"
"In post","2021","Declared disabled","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","2260","2130","34640","31950"
"In post","2021","Declared disabled","Heterosexual / straight","Greater Manchester","1530","1400","29960","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Hampshire and Isle of Wight","1280","1160","30890","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","330","300","27890","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Highlands and Islands","120","110","27480","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Inner London - East","1100","1030","37780","31880"
"In post","2021","Declared disabled","Heterosexual / straight","Inner London - West","3730","3600","44930","40000"
"In post","2021","Declared disabled","Heterosexual / straight","Kent","730","680","29380","29290"
"In post","2021","Declared disabled","Heterosexual / straight","Lancashire","1440","1290","27300","27130"
"In post","2021","Declared disabled","Heterosexual / straight","Leicestershire, Rutland and Northamptonshire","550","500","26210","24550"
"In post","2021","Declared disabled","Heterosexual / straight","Lincolnshire","300","280","28090","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Merseyside","1770","1570","28130","25600"
"In post","2021","Declared disabled","Heterosexual / straight","North Eastern Scotland","90","80","32860","27570"
"In post","2021","Declared disabled","Heterosexual / straight","North Yorkshire","350","320","32110","27570"
