"Status","Year","Profession_of_post","Sexual_orientation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Heterosexual / straight","Female","2070","1960","38920","36300"
"In post","2021","Commercial","Heterosexual / straight","Male","1700","1680","42790","40080"
"In post","2021","Commercial","LGBO","Female","60","60","35350","32850"
"In post","2021","Commercial","LGBO","Male","110","100","38190","34710"
"In post","2021","Commercial","Undeclared","Female","250","230","38420","36290"
"In post","2021","Commercial","Undeclared","Male","240","240","41620","39750"
"In post","2021","Commercial","Unknown","Female","480","460","38680","37300"
"In post","2021","Commercial","Unknown","Male","450","440","41890","39620"
"In post","2021","Communications","Heterosexual / straight","Female","1580","1500","41540","38540"
"In post","2021","Communications","Heterosexual / straight","Male","1000","990","41560","37660"
"In post","2021","Communications","LGBO","Female","80","70","39570","36780"
"In post","2021","Communications","LGBO","Male","130","130","43110","40960"
"In post","2021","Communications","Undeclared","Female","170","150","38970","37390"
"In post","2021","Communications","Undeclared","Male","140","140","38520","36660"
"In post","2021","Communications","Unknown","Female","510","490","42160","38640"
"In post","2021","Communications","Unknown","Male","370","360","42990","38970"
"In post","2021","Corporate Finance","Heterosexual / straight","Female","60","60","45090","41600"
"In post","2021","Corporate Finance","Heterosexual / straight","Male","60","60","52090","47140"
"In post","2021","Corporate Finance","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Heterosexual / straight","Female","280","250","34210","31070"
"In post","2021","Counter Fraud","Heterosexual / straight","Male","320","310","40380","37910"
"In post","2021","Counter Fraud","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Male","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Female","90","80","38890","35240"
"In post","2021","Counter Fraud","Unknown","Male","120","110","42130","39740"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","Female","2990","2830","40910","38000"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","Male","5290","5230","43090","39310"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","LGBO","Female","210","210","40070","37130"
"In post","2021","Digital, Data and Technology","LGBO","Male","280","270","42290","38040"
"In post","2021","Digital, Data and Technology","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Female","440","420","39980","37410"
"In post","2021","Digital, Data and Technology","Undeclared","Male","890","870","41570","38980"
"In post","2021","Digital, Data and Technology","Unknown","Female","980","940","40200","36890"
"In post","2021","Digital, Data and Technology","Unknown","Male","2210","2180","41030","38160"
"In post","2021","Economics","Heterosexual / straight","Female","530","510","47690","49100"
"In post","2021","Economics","Heterosexual / straight","Male","870","860","47940","46240"
"In post","2021","Economics","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","LGBO","Female","50","50","43250","36150"
"In post","2021","Economics","LGBO","Male","70","70","47610","40050"
"In post","2021","Economics","Undeclared","Female","50","50","[c]","[c]"
"In post","2021","Economics","Undeclared","Male","110","110","48310","48180"
"In post","2021","Economics","Unknown","Female","170","160","45120","40170"
"In post","2021","Economics","Unknown","Male","320","310","45390","37890"
"In post","2021","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Female","3720","3450","38490","33930"
"In post","2021","Finance","Heterosexual / straight","Male","2860","2820","43830","39910"
"In post","2021","Finance","LGBO","Female","100","100","39000","33930"
"In post","2021","Finance","LGBO","Male","140","140","47040","45070"
"In post","2021","Finance","Undeclared","Female","520","470","37710","33300"
"In post","2021","Finance","Undeclared","Male","380","380","44010","41800"
"In post","2021","Finance","Unknown","Female","790","730","35740","32790"
"In post","2021","Finance","Unknown","Male","640","620","40030","36180"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Heterosexual / straight","Female","4400","4110","38700","33900"
"In post","2021","Human Resources","Heterosexual / straight","Male","1610","1580","40000","35760"
"In post","2021","Human Resources","LGBO","Female","150","140","38280","32870"
"In post","2021","Human Resources","LGBO","Male","200","200","42860","39580"
"In post","2021","Human Resources","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Female","400","370","35880","32890"
