"Status","Year","Sex","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Accountant in Bankruptcy","Scotland","80","70","30250","29190"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","East Midlands (England)","60","60","29660","30950"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","London","110","110","40100","38670"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","North East (England)","90","80","29580","26380"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","North West (England)","80","70","29720","30950"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Scotland","50","50","28900","28660"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","South West (England)","30","30","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Wales","60","50","30560","30950"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","West Midlands (England)","60","50","30520","30950"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","East Midlands (England)","50","50","32490","29180"
"In post","2021","Female","Animal and Plant Health Agency","East of England","70","70","31020","28710"
"In post","2021","Female","Animal and Plant Health Agency","London","50","50","36390","31800"
"In post","2021","Female","Animal and Plant Health Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","North West (England)","180","170","27860","24920"
"In post","2021","Female","Animal and Plant Health Agency","Scotland","80","80","30110","26270"
"In post","2021","Female","Animal and Plant Health Agency","South East (England)","400","380","31540","28470"
"In post","2021","Female","Animal and Plant Health Agency","South West (England)","260","240","28670","24920"
"In post","2021","Female","Animal and Plant Health Agency","Wales","210","190","27290","24920"
"In post","2021","Female","Animal and Plant Health Agency","West Midlands (England)","160","150","27470","25100"
"In post","2021","Female","Animal and Plant Health Agency","Yorkshire and The Humber","110","100","27970","25320"
"In post","2021","Female","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","East of England","60","50","46960","38460"
"In post","2021","Female","Cabinet Office (excl. agencies)","London","3450","3380","47090","40600"
"In post","2021","Female","Cabinet Office (excl. agencies)","North East (England)","250","230","28400","24570"
"In post","2021","Female","Cabinet Office (excl. agencies)","North West (England)","250","240","45240","38890"
"In post","2021","Female","Cabinet Office (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","Scotland","40","40","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","South East (England)","110","100","39030","33300"
"In post","2021","Female","Cabinet Office (excl. agencies)","South West (England)","80","70","54100","49620"
"In post","2021","Female","Cabinet Office (excl. agencies)","Unknown","330","320","36050","32000"
"In post","2021","Female","Cabinet Office (excl. agencies)","Wales","40","40","[c]","[c]"
