"Status","Year","Region_ITL3","Disability","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","Female","80","70","29420","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","Male","50","50","39650","32400"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","Female","530","480","33730","28170"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","Male","520","510","43490","35110"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Male","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Female","300","280","30650","28410"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Male","330","310","33420","33650"
"In post","2021","Angus and Dundee City","Declared disabled","Female","180","160","24100","21150"
"In post","2021","Angus and Dundee City","Declared disabled","Male","80","80","23930","21010"
"In post","2021","Angus and Dundee City","Declared non-disabled","Female","710","640","26910","24910"
"In post","2021","Angus and Dundee City","Declared non-disabled","Male","450","440","26380","21440"
"In post","2021","Angus and Dundee City","Undeclared","Female","50","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Male","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Female","220","200","27410","22230"
"In post","2021","Angus and Dundee City","Unknown","Male","170","160","25810","21400"
"In post","2021","Antrim and Newtownabbey","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","Female","40","40","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","Male","90","90","24480","20310"
"In post","2021","Antrim and Newtownabbey","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared non-disabled","Female","40","30","[c]","[c]"
"In post","2021","Ards and North Down","Declared non-disabled","Male","100","100","26090","20310"
"In post","2021","Ards and North Down","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Male","40","40","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared non-disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared non-disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","Female","70","60","30790","31060"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","Male","30","30","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","Female","280","250","30080","31060"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","Male","160","150","31360","31060"
"In post","2021","Barking & Dagenham and Havering","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","Female","80","70","32650","31060"
"In post","2021","Barnet","Declared disabled","Male","50","40","[c]","[c]"
"In post","2021","Barnet","Declared non-disabled","Female","680","630","35310","31880"
"In post","2021","Barnet","Declared non-disabled","Male","410","400","39720","33950"
"In post","2021","Barnet","Undeclared","Female","40","30","[c]","[c]"
"In post","2021","Barnet","Undeclared","Male","40","40","[c]","[c]"
"In post","2021","Barnet","Unknown","Female","270","250","47450","40470"
"In post","2021","Barnet","Unknown","Male","130","130","50640","46000"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","Female","280","240","26320","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","Male","140","130","28080","26810"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","Female","1350","1140","26040","26120"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","Male","790","750","29050","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Female","120","110","28620","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Male","140","130","30840","31650"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Female","90","90","23900","22850"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Male","90","90","24670","24440"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Female","640","600","34130","32280"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Male","710","690","38750","37510"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Female","3830","3540","34540","32350"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Male","5720","5630","39960","38010"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Female","280","260","35860","33300"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Male","570","560","40940","39970"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Female","620","580","35770","33000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Male","990","970","38970","36650"
"In post","2021","Bedford","Declared disabled","Female","70","60","29260","27850"
"In post","2021","Bedford","Declared disabled","Male","40","40","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","Female","320","290","29350","27570"
"In post","2021","Bedford","Declared non-disabled","Male","250","250","32500","30400"
"In post","2021","Bedford","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","Male","30","30","[c]","[c]"
"In post","2021","Bedford","Unknown","Female","50","50","26100","22850"
"In post","2021","Bedford","Unknown","Male","50","50","29240","27850"
"In post","2021","Belfast","Declared disabled","Female","140","120","29400","26550"
"In post","2021","Belfast","Declared disabled","Male","100","90","26950","25560"
"In post","2021","Belfast","Declared non-disabled","Female","860","770","29580","25560"
"In post","2021","Belfast","Declared non-disabled","Male","790","760","29950","25560"
"In post","2021","Belfast","Undeclared","Female","80","70","29530","26750"
"In post","2021","Belfast","Undeclared","Male","60","60","31740","31320"
"In post","2021","Belfast","Unknown","Female","350","320","26400","21440"
"In post","2021","Belfast","Unknown","Male","430","420","27370","25560"
"In post","2021","Berkshire","Declared disabled","Female","180","160","32880","29290"
"In post","2021","Berkshire","Declared disabled","Male","150","140","33830","31880"
"In post","2021","Berkshire","Declared non-disabled","Female","910","840","32710","29290"
"In post","2021","Berkshire","Declared non-disabled","Male","950","940","36180","32120"
"In post","2021","Berkshire","Undeclared","Female","70","60","31430","29290"
"In post","2021","Berkshire","Undeclared","Male","110","100","36300","38850"
"In post","2021","Berkshire","Unknown","Female","210","200","33040","30540"
"In post","2021","Berkshire","Unknown","Male","380","370","35540","36200"
"In post","2021","Bexley and Greenwich","Declared disabled","Female","120","110","30020","30550"
"In post","2021","Bexley and Greenwich","Declared disabled","Male","70","60","32140","31590"
"In post","2021","Bexley and Greenwich","Declared non-disabled","Female","600","560","30950","31060"
"In post","2021","Bexley and Greenwich","Declared non-disabled","Male","540","530","33600","33180"
"In post","2021","Bexley and Greenwich","Undeclared","Female","90","90","30030","28880"
"In post","2021","Bexley and Greenwich","Undeclared","Male","110","110","34480","34750"
"In post","2021","Bexley and Greenwich","Unknown","Female","110","110","28910","29250"
"In post","2021","Bexley and Greenwich","Unknown","Male","120","120","31140","31590"
"In post","2021","Birmingham","Declared disabled","Female","800","710","28870","27570"
"In post","2021","Birmingham","Declared disabled","Male","470","450","30150","27570"
"In post","2021","Birmingham","Declared non-disabled","Female","4300","3840","30630","27570"
"In post","2021","Birmingham","Declared non-disabled","Male","3100","3020","32850","27570"
"In post","2021","Birmingham","Undeclared","Female","320","290","30560","27570"
"In post","2021","Birmingham","Undeclared","Male","300","290","32040","27570"
"In post","2021","Birmingham","Unknown","Female","1190","1110","29710","25560"
"In post","2021","Birmingham","Unknown","Male","1120","1100","32200","28130"
