"Status","Year","Disability","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Female","300","270","40640","37280"
"In post","2021","Declared disabled","Analysis","Male","280","270","41810","37320"
"In post","2021","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Female","340","320","37700","34800"
"In post","2021","Declared disabled","Commercial","Male","240","230","40860","39860"
"In post","2021","Declared disabled","Communications","Female","290","270","32980","29750"
"In post","2021","Declared disabled","Communications","Male","260","250","31110","27290"
"In post","2021","Declared disabled","Counter Fraud","Female","450","400","32180","29620"
"In post","2021","Declared disabled","Counter Fraud","Male","380","350","34430","31810"
"In post","2021","Declared disabled","Debt","Female","240","190","23150","21440"
"In post","2021","Declared disabled","Debt","Male","140","130","22900","20640"
"In post","2021","Declared disabled","Digital, Data & Technology","Female","460","440","37820","34160"
"In post","2021","Declared disabled","Digital, Data & Technology","Male","620","600","40250","36780"
"In post","2021","Declared disabled","Finance","Female","480","440","35710","31810"
"In post","2021","Declared disabled","Finance","Male","330","320","40260","36460"
"In post","2021","Declared disabled","Grants Management","Female","100","80","25850","21050"
"In post","2021","Declared disabled","Grants Management","Male","60","50","25140","21050"
"In post","2021","Declared disabled","Human Resources","Female","860","800","38460","33490"
"In post","2021","Declared disabled","Human Resources","Male","360","350","38880","34420"
"In post","2021","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Female","50","50","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Male","40","40","[c]","[c]"
"In post","2021","Declared disabled","Legal","Female","810","730","42950","38760"
"In post","2021","Declared disabled","Legal","Male","440","420","45710","46530"
"In post","2021","Declared disabled","No function","Female","10190","9180","30020","26780"
"In post","2021","Declared disabled","No function","Male","7320","6940","32730","30400"
"In post","2021","Declared disabled","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","Female","1350","1270","38510","34870"
"In post","2021","Declared disabled","Project Delivery","Male","1290","1260","40020","38500"
"In post","2021","Declared disabled","Property","Female","360","330","33730","31810"
"In post","2021","Declared disabled","Property","Male","380","360","35460","33250"
"In post","2021","Declared disabled","Security","Female","190","180","31260","28080"
"In post","2021","Declared disabled","Security","Male","470","450","32280","29540"
"In post","2021","Declared disabled","Unknown","Female","13630","11800","28280","27570"
"In post","2021","Declared disabled","Unknown","Male","7870","7440","29360","27570"
"In post","2021","Declared non-disabled","Analysis","Female","2050","1910","43290","38630"
"In post","2021","Declared non-disabled","Analysis","Male","2490","2450","45520","40960"
"In post","2021","Declared non-disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","Female","2040","1940","40230","35760"
"In post","2021","Declared non-disabled","Commercial","Male","1940","1920","46580","40580"
"In post","2021","Declared non-disabled","Communications","Female","2540","2390","36340","31810"
"In post","2021","Declared non-disabled","Communications","Male","2180","2150","34940","31810"
"In post","2021","Declared non-disabled","Counter Fraud","Female","2840","2600","32980","31810"
"In post","2021","Declared non-disabled","Counter Fraud","Male","3080","3000","35930","31810"
