"Status","Year","Organisation","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Unknown","Unknown","120","100","31670","29190"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Digital, Data & Technology","60","60","45550","43750"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","No function","850","790","30810","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Project Delivery","50","50","42760","39580"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","No function","1510","1430","27000","25100"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Project Delivery","40","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Project Delivery","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","No function","640","600","31720","28270"
"In post","2021","Animal and Plant Health Agency","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","No function","350","330","44450","38750"
"In post","2021","Attorney General's Office","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Intelligence Analysis","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Policy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Policy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Commercial","1400","1380","70770","64500"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Communications","340","340","47180","42190"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Counter Fraud","90","90","47100","49700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Digital, Data & Technology","970","950","51310","54700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Finance","90","90","46670","41820"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Human Resources","1090","1040","39230","35590"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Legal","60","50","79760","79760"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","No function","4120","4080","40640","32000"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Project Delivery","190","190","69400","62550"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Property","100","100","50780","52720"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Security","870","840","33080","33300"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","Project Delivery","60","60","33860","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","No function","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Analysis","480","450","33720","29750"
"In post","2021","Charity Commission","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Unknown","220","210","32810","29160"
"In post","2021","Companies House","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Digital, Data and Technology","Digital, Data & Technology","260","250","38840","38000"
"In post","2021","Companies House","Finance","Finance","60","50","30930","27460"
"In post","2021","Companies House","Human Resources","Human Resources","90","80","33040","27460"
"In post","2021","Companies House","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Operational Delivery","No function","580","520","24590","22490"
"In post","2021","Companies House","Other","No function","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Policy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Communications","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","Digital, Data & Technology","70","60","56530","54550"
"In post","2021","Competition and Markets Authority","Economics","Analysis","90","90","62530","59510"
"In post","2021","Competition and Markets Authority","Human Resources","Human Resources","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","Analysis","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Legal","130","120","70480","72430"
"In post","2021","Competition and Markets Authority","Policy","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","Project Delivery","380","360","60880","56360"
"In post","2021","Competition and Markets Authority","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Operational Delivery","No function","290","270","25500","22570"
"In post","2021","Criminal Injuries Compensation Authority","Policy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Commercial","Commercial","370","360","34050","34800"
"In post","2021","Crown Commercial Service","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Digital, Data and Technology","Digital, Data & Technology","120","110","41230","35760"
"In post","2021","Crown Commercial Service","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","Human Resources","30","30","[c]","[c]"
"In post","2021","Crown Commercial Service","Operational Delivery","No function","180","180","40500","35520"
"In post","2021","Crown Commercial Service","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","Digital, Data & Technology","50","50","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Human Resources","Human Resources","30","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Legal","Legal","600","560","54610","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","Operational Delivery","No function","1270","1170","26330","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Policy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","Communications","50","50","41310","39750"
"In post","2021","Crown Prosecution Service","Digital, Data and Technology","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Digital, Data and Technology","Digital, Data & Technology","100","100","40070","38180"
"In post","2021","Crown Prosecution Service","Digital, Data and Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Finance","Finance","90","90","32650","30130"
"In post","2021","Crown Prosecution Service","Human Resources","Human Resources","140","140","40720","35610"
"In post","2021","Crown Prosecution Service","Legal","Legal","3190","2960","54980","55610"
"In post","2021","Crown Prosecution Service","Operational Delivery","Legal","3050","2820","27280","25480"
"In post","2021","Crown Prosecution Service","Operational Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Policy","Unknown","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","Security","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Other","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Commercial","Security","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Digital, Data and Technology","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Digital, Data and Technology","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Debt Management Office","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Knowledge and Information Management","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Operational Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Operational Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Operational Delivery","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Operational Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Operational Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Operational Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Policy","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Policy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Knowledge and Information Management","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Medicine","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Operational Delivery","Project Delivery","60","60","30360","28110"
"In post","2021","Defence Electronics and Components Agency","Other","Project Delivery","30","30","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Science and Engineering","Project Delivery","240","230","26900","28750"
"In post","2021","Defence Electronics and Components Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Commercial","Commercial","60","60","48790","37530"
"In post","2021","Defence Equipment and Support","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Commercial","Project Delivery","800","760","38640","35080"
"In post","2021","Defence Equipment and Support","Commercial","Property","30","30","[c]","[c]"
"In post","2021","Defence Equipment and Support","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Communications","Property","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Digital, Data and Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Digital, Data and Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Digital, Data and Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Digital, Data and Technology","Project Delivery","320","310","41550","41570"
"In post","2021","Defence Equipment and Support","Digital, Data and Technology","Property","30","30","[c]","[c]"
"In post","2021","Defence Equipment and Support","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Finance","Finance","210","200","33300","25560"
"In post","2021","Defence Equipment and Support","Finance","Project Delivery","240","230","43400","39980"
"In post","2021","Defence Equipment and Support","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Human Resources","Human Resources","170","160","38940","33740"
"In post","2021","Defence Equipment and Support","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Knowledge and Information Management","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Knowledge and Information Management","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Knowledge and Information Management","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Knowledge and Information Management","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Knowledge and Information Management","Project Delivery","140","130","34950","33080"
"In post","2021","Defence Equipment and Support","Knowledge and Information Management","Property","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Other","Commercial","50","50","39920","39890"
"In post","2021","Defence Equipment and Support","Other","Communications","230","220","23990","20510"
"In post","2021","Defence Equipment and Support","Other","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Other","Finance","120","100","40450","32860"
"In post","2021","Defence Equipment and Support","Other","Human Resources","[c]","[c]","[c]","[c]"
