"Status","Year","Organisation","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Unknown","Heterosexual / straight","80","70","32700","29190"
"In post","2021","Accountant in Bankruptcy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Heterosexual / straight","540","490","33260","31160"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","LGBO","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Undeclared","110","100","33750","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Unknown","220","210","26670","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Heterosexual / straight","1120","1060","27130","25100"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","LGBO","100","90","26100","24920"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Undeclared","180","170","27600","25280"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Unknown","180","160","26660","25330"
"In post","2021","Animal and Plant Health Agency","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Heterosexual / straight","460","440","31430","28270"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Undeclared","90","80","35620","33700"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Unknown","80","70","29710","24370"
"In post","2021","Animal and Plant Health Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Heterosexual / straight","220","210","44310","40260"
"In post","2021","Animal and Plant Health Agency","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Undeclared","60","60","46910","46270"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Unknown","60","50","43380","37910"
"In post","2021","Attorney General's Office","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","LGBO","[c]","[c]","[c]","[c]"
