"Status","Year","Organisation","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Unknown","Unknown","120","100","31670","29190"
"In post","2021","Advisory, Conciliation and Arbitration Service","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","Digital, Data and Technology","60","60","45550","43750"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","Operational Delivery","850","790","30810","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Operational Delivery","50","50","42760","39580"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","Operational Delivery","1510","1430","27000","25100"
"In post","2021","Animal and Plant Health Agency","No function","Other","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","Science and Engineering","640","600","31720","28270"
"In post","2021","Animal and Plant Health Agency","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","Veterinarian","350","330","44450","38750"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Operational Delivery","40","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Project Delivery","30","30","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","No function","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Unknown","1400","1380","70770","64500"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Unknown","340","340","47180","42190"
"In post","2021","Cabinet Office (excl. agencies)","Counter Fraud","Unknown","90","90","47100","49700"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data & Technology","Unknown","970","950","51310","54700"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Unknown","90","90","46670","41820"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Other","[c]","[c]","[c]","[c]"
