"Status","Year","Organisation","Sex","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Female","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Declared disabled","70","70","31480","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Declared non-disabled","130","120","32890","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Unknown","410","370","31900","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Declared disabled","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Declared non-disabled","90","90","35540","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Unknown","300","290","34710","31540"
"In post","2021","Animal and Plant Health Agency","Female","Declared disabled","220","210","27140","24920"
"In post","2021","Animal and Plant Health Agency","Female","Declared non-disabled","1200","1110","30070","26520"
"In post","2021","Animal and Plant Health Agency","Female","Undeclared","70","60","29010","26190"
"In post","2021","Animal and Plant Health Agency","Female","Unknown","110","110","29290","25320"
"In post","2021","Animal and Plant Health Agency","Male","Declared disabled","130","120","30610","26520"
"In post","2021","Animal and Plant Health Agency","Male","Declared non-disabled","800","780","32690","29690"
"In post","2021","Animal and Plant Health Agency","Male","Undeclared","70","70","33900","30980"
"In post","2021","Animal and Plant Health Agency","Male","Unknown","70","70","29250","25630"
"In post","2021","Attorney General's Office","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Female","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Declared disabled","390","370","43210","38420"
"In post","2021","Cabinet Office (excl. agencies)","Female","Declared non-disabled","2390","2300","46490","40600"
"In post","2021","Cabinet Office (excl. agencies)","Female","Undeclared","140","140","42530","36200"
"In post","2021","Cabinet Office (excl. agencies)","Female","Unknown","2120","2090","42310","32000"
"In post","2021","Cabinet Office (excl. agencies)","Male","Declared disabled","320","310","44950","38340"
"In post","2021","Cabinet Office (excl. agencies)","Male","Declared non-disabled","2110","2090","51830","53500"
"In post","2021","Cabinet Office (excl. agencies)","Male","Undeclared","140","140","46710","40600"
"In post","2021","Cabinet Office (excl. agencies)","Male","Unknown","1840","1830","47370","34550"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Declared non-disabled","200","190","31220","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Unknown","70","60","33540","30220"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Declared non-disabled","200","190","34510","29750"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Unknown","110","100","40640","37280"
"In post","2021","Charity Commission","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Declared non-disabled","120","110","35790","29160"
"In post","2021","Charity Commission","Female","Unknown","120","110","33160","29160"
"In post","2021","Charity Commission","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Declared non-disabled","90","90","34520","29160"
"In post","2021","Charity Commission","Male","Unknown","80","80","36420","30370"
"In post","2021","Companies House","Female","Declared disabled","40","40","[c]","[c]"
"In post","2021","Companies House","Female","Declared non-disabled","390","350","29900","24900"
"In post","2021","Companies House","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Female","Unknown","150","120","26390","22490"
"In post","2021","Companies House","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Declared non-disabled","280","280","35020","32910"
"In post","2021","Companies House","Male","Undeclared","40","40","[c]","[c]"
"In post","2021","Companies House","Male","Unknown","150","140","29160","24900"
"In post","2021","Competition and Markets Authority","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Declared non-disabled","360","340","57760","55860"
"In post","2021","Competition and Markets Authority","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Unknown","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Declared non-disabled","350","340","61280","56630"
"In post","2021","Competition and Markets Authority","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Unknown","40","40","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Female","Declared non-disabled","90","80","28600","22710"
"In post","2021","Criminal Injuries Compensation Authority","Female","Undeclared","40","30","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Male","Declared non-disabled","70","70","26680","22910"
"In post","2021","Criminal Injuries Compensation Authority","Male","Undeclared","40","30","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","Declared non-disabled","120","120","38710","35290"
"In post","2021","Crown Commercial Service","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","Unknown","250","240","35340","34800"
"In post","2021","Crown Commercial Service","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","Declared non-disabled","80","80","45150","35470"
"In post","2021","Crown Commercial Service","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","Unknown","280","270","37070","34800"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Declared disabled","70","60","36130","32630"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Declared non-disabled","1310","1200","34780","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Undeclared","50","50","38950","34150"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Declared disabled","40","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Declared non-disabled","490","480","37560","31720"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Female","Declared disabled","490","440","41180","34480"
"In post","2021","Crown Prosecution Service","Female","Declared non-disabled","3000","2680","40780","34160"
"In post","2021","Crown Prosecution Service","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Female","Unknown","1000","940","35800","28810"
"In post","2021","Crown Prosecution Service","Male","Declared disabled","240","230","44290","45530"
"In post","2021","Crown Prosecution Service","Male","Declared non-disabled","1560","1520","46170","48830"
"In post","2021","Crown Prosecution Service","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Unknown","470","460","39900","38180"
"In post","2021","Crown Prosecution Service Inspectorate","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Female","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Male","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Unknown","40","40","[c]","[c]"
"In post","2021","Debt Management Office","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Unknown","70","70","63080","58110"
"In post","2021","Defence Electronics and Components Agency","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Declared non-disabled","170","170","29050","28750"
"In post","2021","Defence Electronics and Components Agency","Male","Undeclared","170","160","28200","28110"
"In post","2021","Defence Electronics and Components Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Female","Declared disabled","430","400","33890","32040"
"In post","2021","Defence Equipment and Support","Female","Declared non-disabled","2700","2530","34020","31600"
"In post","2021","Defence Equipment and Support","Female","Undeclared","200","190","35790","33560"
"In post","2021","Defence Equipment and Support","Female","Unknown","320","290","33990","32240"
"In post","2021","Defence Equipment and Support","Male","Declared disabled","660","640","36500","34450"
"In post","2021","Defence Equipment and Support","Male","Declared non-disabled","5140","5060","37910","35630"
"In post","2021","Defence Equipment and Support","Male","Undeclared","490","480","39680","38840"
"In post","2021","Defence Equipment and Support","Male","Unknown","760","740","34810","32300"
"In post","2021","Defence Science and Technology Laboratory","Female","Declared disabled","190","180","37050","37320"
"In post","2021","Defence Science and Technology Laboratory","Female","Declared non-disabled","1050","980","37890","37320"
"In post","2021","Defence Science and Technology Laboratory","Female","Undeclared","110","100","40460","39030"
"In post","2021","Defence Science and Technology Laboratory","Female","Unknown","190","170","35970","37320"
"In post","2021","Defence Science and Technology Laboratory","Male","Declared disabled","270","260","38620","37320"
"In post","2021","Defence Science and Technology Laboratory","Male","Declared non-disabled","1720","1680","42270","41820"
"In post","2021","Defence Science and Technology Laboratory","Male","Undeclared","300","300","43090","46080"
"In post","2021","Defence Science and Technology Laboratory","Male","Unknown","550","540","41630","38190"
