"Status","Year","Profession_of_post","Age","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Heterosexual / straight","560","560","30190","29550"
"In post","2021","Commercial","20-29","LGBO","50","50","30360","28350"
"In post","2021","Commercial","20-29","Undeclared","50","40","[c]","[c]"
"In post","2021","Commercial","20-29","Unknown","190","190","32320","30100"
"In post","2021","Commercial","30-39","Heterosexual / straight","920","880","38040","36360"
"In post","2021","Commercial","30-39","LGBO","50","50","[c]","[c]"
"In post","2021","Commercial","30-39","Undeclared","90","80","37070","38260"
"In post","2021","Commercial","30-39","Unknown","220","210","40530","38550"
"In post","2021","Commercial","40-49","Heterosexual / straight","940","910","43570","40310"
"In post","2021","Commercial","40-49","LGBO","40","30","[c]","[c]"
"In post","2021","Commercial","40-49","Undeclared","120","120","40900","39040"
"In post","2021","Commercial","40-49","Unknown","230","220","44460","40200"
"In post","2021","Commercial","50-59","Heterosexual / straight","1090","1070","44980","41700"
"In post","2021","Commercial","50-59","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Undeclared","180","170","42650","40580"
"In post","2021","Commercial","50-59","Unknown","220","210","42960","40140"
"In post","2021","Commercial","60-64","Heterosexual / straight","200","180","45030","41650"
"In post","2021","Commercial","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Undeclared","60","50","40890","35200"
"In post","2021","Commercial","60-64","Unknown","50","40","[c]","[c]"
"In post","2021","Commercial","65+","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Commercial","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Heterosexual / straight","490","490","34510","33190"
"In post","2021","Communications","20-29","LGBO","60","60","36030","34710"
"In post","2021","Communications","20-29","Undeclared","40","40","[c]","[c]"
"In post","2021","Communications","20-29","Unknown","250","250","33500","31670"
"In post","2021","Communications","30-39","Heterosexual / straight","760","730","42510","39850"
"In post","2021","Communications","30-39","LGBO","80","70","42510","39750"
"In post","2021","Communications","30-39","Undeclared","80","80","43730","41170"
"In post","2021","Communications","30-39","Unknown","250","250","44650","42490"
"In post","2021","Communications","40-49","Heterosexual / straight","710","670","45290","40960"
"In post","2021","Communications","40-49","LGBO","40","40","[c]","[c]"
"In post","2021","Communications","40-49","Undeclared","70","70","40510","40610"
"In post","2021","Communications","40-49","Unknown","220","210","49070","44910"
"In post","2021","Communications","50-59","Heterosexual / straight","480","470","42590","37410"
"In post","2021","Communications","50-59","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Undeclared","90","90","37590","34610"
"In post","2021","Communications","50-59","Unknown","130","130","44920","39650"
"In post","2021","Communications","60-64","Heterosexual / straight","100","100","38450","34610"
"In post","2021","Communications","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","20-29","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","20-29","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","30-39","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Corporate Finance","30-39","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","30-39","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","40-49","Heterosexual / straight","40","30","[c]","[c]"
"In post","2021","Corporate Finance","40-49","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","40-49","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","50-59","Heterosexual / straight","[c]","[c]","[c]","[c]"
