"Status","Year","Sexual_orientation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Declared disabled","37330","34180","31640","27570"
"In post","2021","Heterosexual / straight","Declared non-disabled","248750","233360","34320","29530"
"In post","2021","Heterosexual / straight","Undeclared","11910","11160","32410","29200"
"In post","2021","Heterosexual / straight","Unknown","19000","18060","36170","32960"
"In post","2021","LGBO","Declared disabled","4010","3850","32710","28380"
"In post","2021","LGBO","Declared non-disabled","12630","12280","34980","30210"
"In post","2021","LGBO","Undeclared","1020","990","33140","30200"
"In post","2021","LGBO","Unknown","1160","1140","35330","31870"
"In post","2021","Undeclared","Declared disabled","5320","4800","31190","27570"
"In post","2021","Undeclared","Declared non-disabled","23220","21300","33630","28820"
"In post","2021","Undeclared","Undeclared","10910","10280","34970","31650"
"In post","2021","Undeclared","Unknown","4220","3930","33840","29350"
"In post","2021","Unknown","Declared disabled","3890","3410","29970","27570"
"In post","2021","Unknown","Declared non-disabled","36320","32120","31770","27570"
"In post","2021","Unknown","Undeclared","4900","4460","33310","31650"
"In post","2021","Unknown","Unknown","60300","57500","33320","28410"
"In post","2022","Heterosexual / straight","Declared disabled","40660","37310","32410","27570"
"In post","2022","Heterosexual / straight","Declared non-disabled","264620","248930","34980","30520"
"In post","2022","Heterosexual / straight","Undeclared","12580","11780","33060","29720"
"In post","2022","Heterosexual / straight","Unknown","21390","20400","37380","33990"
"In post","2022","LGBO","Declared disabled","4880","4690","33310","29290"
"In post","2022","LGBO","Declared non-disabled","14540","14160","35420","30820"
"In post","2022","LGBO","Undeclared","1140","1110","33590","30350"
"In post","2022","LGBO","Unknown","1500","1470","36240","32790"
"In post","2022","Undeclared","Declared disabled","5550","5040","31920","27570"
"In post","2022","Undeclared","Declared non-disabled","23230","21400","34340","29730"
"In post","2022","Undeclared","Undeclared","10530","9920","35700","32320"
"In post","2022","Undeclared","Unknown","3940","3770","41720","37560"
"In post","2022","Unknown","Declared disabled","3530","3110","30600","27570"
"In post","2022","Unknown","Declared non-disabled","32310","28740","32630","27570"
"In post","2022","Unknown","Undeclared","3250","2900","31520","31650"
"In post","2022","Unknown","Unknown","66460","63360","33770","28920"
"Leaver CS","2021","Heterosexual / straight","Declared disabled","1660","1440","29750","26670"
"Leaver CS","2021","Heterosexual / straight","Declared non-disabled","9450","8510","33150","27570"
"Leaver CS","2021","Heterosexual / straight","Undeclared","540","480","31610","27570"
"Leaver CS","2021","Heterosexual / straight","Unknown","760","700","35670","31460"
"Leaver CS","2021","LGBO","Declared disabled","190","180","30600","27570"
"Leaver CS","2021","LGBO","Declared non-disabled","500","480","33480","27150"
