"Status","Year","Parent_department","Region_ITL2","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","30-39","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","40-49","50","40","45150","50520"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","50-59","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","30-39","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","50-59","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","20-29","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","30-39","60","60","38210","39330"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","40-49","70","60","40920","38660"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","50-59","80","80","43550","48080"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","40-49","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","50-59","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","30-39","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","40-49","90","80","41860","48080"
"In post","2021","Attorney General's Departments","East Wales","50-59","110","100","41710","34480"
"In post","2021","Attorney General's Departments","East Wales","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","50-59","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Essex","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Essex","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Essex","30-39","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Essex","40-49","60","50","41640","33710"
"In post","2021","Attorney General's Departments","Essex","50-59","60","50","44770","36240"
"In post","2021","Attorney General's Departments","Essex","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Essex","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","20-29","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","30-39","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","40-49","50","50","50240","50850"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","50-59","60","60","45680","49210"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Greater Manchester","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Greater Manchester","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Greater Manchester","30-39","70","60","38100","38090"
"In post","2021","Attorney General's Departments","Greater Manchester","40-49","140","130","43050","48080"
"In post","2021","Attorney General's Departments","Greater Manchester","50-59","110","100","42080","33310"
"In post","2021","Attorney General's Departments","Greater Manchester","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Greater Manchester","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","20-29","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","30-39","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","40-49","80","80","49400","51120"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","50-59","70","70","45990","48020"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","65+","[c]","[c]","[c]","[c]"
