"Status","Year","Disability","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","AA/AO","Commercial","30","30","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Finance","130","100","21290","21440"
"In post","2021","Declared disabled","AA/AO","Human Resources","130","120","21860","21440"
"In post","2021","Declared disabled","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Knowledge and Information Management","50","50","22140","21580"
"In post","2021","Declared disabled","AA/AO","Legal","40","30","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Operational Delivery","7900","6950","22410","21430"
"In post","2021","Declared disabled","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Other","820","760","21210","20950"
"In post","2021","Declared disabled","AA/AO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Policy","100","90","23870","23830"
"In post","2021","Declared disabled","AA/AO","Project Delivery","30","30","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Property","70","70","20530","20060"
"In post","2021","Declared disabled","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Science and Engineering","150","140","21760","21720"
"In post","2021","Declared disabled","AA/AO","Security","340","330","26850","21580"
"In post","2021","Declared disabled","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Tax","160","150","20600","20140"
"In post","2021","Declared disabled","AA/AO","Unknown","5490","4660","21220","21010"
"In post","2021","Declared disabled","AA/AO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Commercial","60","60","26590","26670"
"In post","2021","Declared disabled","EO","Communications","60","60","27510","26780"
"In post","2021","Declared disabled","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Digital, Data and Technology","250","230","27300","26670"
"In post","2021","Declared disabled","EO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Finance","150","140","26490","26670"
"In post","2021","Declared disabled","EO","Human Resources","160","150","27380","26780"
"In post","2021","Declared disabled","EO","Intelligence Analysis","160","150","28340","27380"
"In post","2021","Declared disabled","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Knowledge and Information Management","60","60","26980","26670"
"In post","2021","Declared disabled","EO","Legal","130","120","27560","27130"
"In post","2021","Declared disabled","EO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Operational Delivery","4010","3680","27630","27130"
"In post","2021","Declared disabled","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Other","510","480","26210","26670"
"In post","2021","Declared disabled","EO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Policy","300","290","28460","28400"
"In post","2021","Declared disabled","EO","Project Delivery","210","200","26390","26670"
"In post","2021","Declared disabled","EO","Property","130","120","27010","26670"
"In post","2021","Declared disabled","EO","Psychology","40","40","[c]","[c]"
"In post","2021","Declared disabled","EO","Science and Engineering","160","160","26340","26930"
"In post","2021","Declared disabled","EO","Security","100","100","32400","28480"
"In post","2021","Declared disabled","EO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Tax","310","280","27030","25560"
"In post","2021","Declared disabled","EO","Unknown","8790","7830","28040","27570"
"In post","2021","Declared disabled","EO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Commercial","80","70","59320","56490"
"In post","2021","Declared disabled","G6/G7","Communications","40","40","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Digital, Data and Technology","210","210","58530","57580"
"In post","2021","Declared disabled","G6/G7","Economics","50","50","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Finance","150","140","57750","57400"
"In post","2021","Declared disabled","G6/G7","Human Resources","220","210","58390","57680"
"In post","2021","Declared disabled","G6/G7","Inspector of Education and Training","30","30","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","International Trade","40","40","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Legal","480","440","59550","58040"
"In post","2021","Declared disabled","G6/G7","Medicine","40","30","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Operational Delivery","450","440","58480","56350"
"In post","2021","Declared disabled","G6/G7","Operational Research","50","50","53520","50880"
"In post","2021","Declared disabled","G6/G7","Other","100","90","60240","59420"
