"Status","Year","Sex","Parent_department","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Attorney General's Departments","Bedfordshire and Hertfordshire","120","100","38990","30110"
"In post","2021","Female","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","100","90","41740","36240"
"In post","2021","Female","Attorney General's Departments","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Cumbria","30","20","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Derbyshire and Nottinghamshire","180","160","36980","28430"
"In post","2021","Female","Attorney General's Departments","Devon","50","50","38720","36240"
"In post","2021","Female","Attorney General's Departments","East Anglia","80","70","32660","28430"
"In post","2021","Female","Attorney General's Departments","East Wales","190","170","38610","37890"
"In post","2021","Female","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","50","50","37270","28430"
"In post","2021","Female","Attorney General's Departments","Essex","130","120","40170","34140"
"In post","2021","Female","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","130","120","41310","40050"
"In post","2021","Female","Attorney General's Departments","Greater Manchester","240","220","39720","33900"
"In post","2021","Female","Attorney General's Departments","Hampshire and Isle of Wight","170","160","42130","36240"
"In post","2021","Female","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Inner London - West","2830","2600","50020","51250"
"In post","2021","Female","Attorney General's Departments","Kent","80","70","36790","30110"
"In post","2021","Female","Attorney General's Departments","Lancashire","110","100","38190","32890"
"In post","2021","Female","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","110","100","37620","34480"
"In post","2021","Female","Attorney General's Departments","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Merseyside","240","220","35850","28430"
"In post","2021","Female","Attorney General's Departments","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","North Yorkshire","190","170","45790","51470"
"In post","2021","Female","Attorney General's Departments","Northumberland and Tyne and Wear","160","140","36040","28430"
"In post","2021","Female","Attorney General's Departments","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Outer London - South","60","50","39340","31710"
"In post","2021","Female","Attorney General's Departments","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Shropshire and Staffordshire","50","50","39470","38760"
"In post","2021","Female","Attorney General's Departments","South Yorkshire","100","80","34320","28430"
"In post","2021","Female","Attorney General's Departments","Surrey, East and West Sussex","120","110","41010","33960"
"In post","2021","Female","Attorney General's Departments","Tees Valley and Durham","70","60","36990","28430"
"In post","2021","Female","Attorney General's Departments","West Midlands","330","300","38140","32170"
"In post","2021","Female","Attorney General's Departments","West Wales and The Valleys","50","50","38900","33310"
"In post","2021","Female","Attorney General's Departments","West Yorkshire","290","260","39000","34480"
"In post","2021","Female","Cabinet Office","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","60","60","33420","33000"
"In post","2021","Female","Cabinet Office","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","East Anglia","60","50","47860","40250"
"In post","2021","Female","Cabinet Office","East Wales","40","30","[c]","[c]"
"In post","2021","Female","Cabinet Office","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Gloucestershire, Wiltshire and Bath/Bristol area","70","70","56320","51230"
"In post","2021","Female","Cabinet Office","Greater Manchester","160","160","43420","37300"
"In post","2021","Female","Cabinet Office","Hampshire and Isle of Wight","40","40","[c]","[c]"
"In post","2021","Female","Cabinet Office","Inner London - East","450","440","49270","54700"
"In post","2021","Female","Cabinet Office","Inner London - West","2970","2910","46810","38580"
"In post","2021","Female","Cabinet Office","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Merseyside","60","60","47310","49700"
"In post","2021","Female","Cabinet Office","North Yorkshire","230","220","28570","26670"
"In post","2021","Female","Cabinet Office","Northern Ireland","[c]","[c]","[c]","[c]"
