"Status","Year","Responsibility_level","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Attorney General's Departments","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Legal","1480","1360","22300","21950"
"In post","2021","AA/AO","Attorney General's Departments","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Human Resources","170","150","21010","20800"
"In post","2021","AA/AO","Cabinet Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","No function","110","110","24160","24490"
"In post","2021","AA/AO","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Security","240","220","20930","20920"
"In post","2021","AA/AO","Chancellor's other departments","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chancellor's other departments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chancellor's other departments","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
