"Status","Year","Responsibility_level","Region_ITL2","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Crown Prosecution Service","40","30","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Department for Work and Pensions (excl. agencies)","200","170","23240","24180"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","HM Courts and Tribunals Service","210","180","20020","20100"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","HM Prison and Probation Service","510","500","27960","29400"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Ministry of Defence (excl. agencies)","200","200","21660","20970"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office (excl. agencies)","30","30","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Department for Work and Pensions (excl. agencies)","200","170","22540","22160"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","FCDO Services","100","100","23180","22850"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office (excl. agencies)","130","120","24800","24750"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","HM Courts and Tribunals Service","200","170","20100","20100"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","HM Prison and Probation Service","1270","1220","28130","29920"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs (excl. agencies)","130","120","20870","20140"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Home Office (incl. agencies)","40","40","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence (excl. agencies)","1310","1270","25670","21870"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Public Health England","50","40","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Rural Payments Agency","70","60","21050","21050"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Department for Work and Pensions (excl. agencies)","350","300","20800","21010"
"In post","2021","AA/AO","Cheshire","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","HM Courts and Tribunals Service","70","60","19190","19830"
"In post","2021","AA/AO","Cheshire","HM Prison and Probation Service","630","600","25330","24440"
"In post","2021","AA/AO","Cheshire","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","National Crime Agency","80","70","21780","20800"
"In post","2021","AA/AO","Cheshire","Rural Payments Agency","50","40","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Crown Prosecution Service","[c]","[c]","[c]","[c]"
