"Status","Year","Profession_of_post","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Female","130","120","41130","39650"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Male","120","120","45830","47140"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Female","200","190","39790","37100"
"In post","2021","Commercial","Department for Education","Male","190","190","41820","38000"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Female","100","100","36680","36520"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Male","60","60","42150","38600"
"In post","2021","Commercial","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Female","150","130","36710","32180"
"In post","2021","Commercial","Department for Transport","Male","140","140","40960","35430"
"In post","2021","Commercial","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Female","130","130","45170","40650"
"In post","2021","Commercial","Department of Health and Social Care","Male","110","100","50240","40650"
"In post","2021","Commercial","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Female","90","90","43040","39860"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Male","70","70","46250","43320"
"In post","2021","Commercial","HM Land Registry","Female","[c]","[c]","[c]","[c]"
