"Status","Year","Sexual_orientation","Ethnicity","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Asian","AA/AO","6110","5460","22230","21100"
"In post","2021","Heterosexual / straight","Asian","EO","7970","7510","28200","27570"
"In post","2021","Heterosexual / straight","Asian","G6/G7","2520","2460","58460","57410"
"In post","2021","Heterosexual / straight","Asian","SCS","250","240","91810","89930"
"In post","2021","Heterosexual / straight","Asian","SEO/HEO","6290","6100","36870","36160"
"In post","2021","Heterosexual / straight","Asian","Unknown","580","540","29940","28680"
"In post","2021","Heterosexual / straight","Black","AA/AO","3270","3060","24070","23500"
"In post","2021","Heterosexual / straight","Black","EO","4390","4230","29060","29290"
"In post","2021","Heterosexual / straight","Black","G6/G7","1080","1060","57830","56340"
"In post","2021","Heterosexual / straight","Black","SCS","80","70","92960","86320"
"In post","2021","Heterosexual / straight","Black","SEO/HEO","3380","3320","37310","36240"
"In post","2021","Heterosexual / straight","Black","Unknown","760","740","30930","28200"
"In post","2021","Heterosexual / straight","Chinese","AA/AO","200","180","22070","21160"
"In post","2021","Heterosexual / straight","Chinese","EO","240","230","27810","27570"
"In post","2021","Heterosexual / straight","Chinese","G6/G7","190","190","58540","56760"
"In post","2021","Heterosexual / straight","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","SEO/HEO","290","280","37530","36790"
"In post","2021","Heterosexual / straight","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","AA/AO","1460","1360","23100","21430"
"In post","2021","Heterosexual / straight","Mixed","EO","1700","1610","28110","27570"
"In post","2021","Heterosexual / straight","Mixed","G6/G7","1000","970","58290","56350"
"In post","2021","Heterosexual / straight","Mixed","SCS","110","110","82480","77840"
"In post","2021","Heterosexual / straight","Mixed","SEO/HEO","1780","1740","36820","36160"
"In post","2021","Heterosexual / straight","Mixed","Unknown","330","310","30590","30210"
"In post","2021","Heterosexual / straight","Other ethnicity","AA/AO","400","370","23290","21580"
"In post","2021","Heterosexual / straight","Other ethnicity","EO","520","500","28420","27650"
"In post","2021","Heterosexual / straight","Other ethnicity","G6/G7","290","270","59530","57460"
"In post","2021","Heterosexual / straight","Other ethnicity","SCS","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","SEO/HEO","520","500","37690","36650"
"In post","2021","Heterosexual / straight","Other ethnicity","Unknown","60","60","30190","31260"
"In post","2021","Heterosexual / straight","Undeclared","AA/AO","820","750","22840","21440"
"In post","2021","Heterosexual / straight","Undeclared","EO","940","880","28670","27570"
"In post","2021","Heterosexual / straight","Undeclared","G6/G7","320","310","59820","58040"
"In post","2021","Heterosexual / straight","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","SEO/HEO","690","670","37170","36470"
"In post","2021","Heterosexual / straight","Undeclared","Unknown","90","90","31410","30210"
"In post","2021","Heterosexual / straight","Unknown","AA/AO","1170","1040","23250","21440"
"In post","2021","Heterosexual / straight","Unknown","EO","740","690","27970","27570"
"In post","2021","Heterosexual / straight","Unknown","G6/G7","410","390","58580","56070"
"In post","2021","Heterosexual / straight","Unknown","SCS","50","50","93180","92350"
"In post","2021","Heterosexual / straight","Unknown","SEO/HEO","760","720","36980","36160"
