"Status","Year","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","90","90","43010","39750"
"In post","2021","Attorney General's Departments","Counter Fraud","250","240","45590","40000"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","170","170","39850","38180"
"In post","2021","Attorney General's Departments","Finance","150","140","36780","31330"
"In post","2021","Attorney General's Departments","Human Resources","220","210","39830","33930"
"In post","2021","Attorney General's Departments","Legal","8720","8090","45470","49580"
"In post","2021","Attorney General's Departments","No function","90","80","41110","38450"
"In post","2021","Attorney General's Departments","Project Delivery","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","50","50","56040","56150"
"In post","2021","Cabinet Office","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","1420","1390","70640","64500"
"In post","2021","Cabinet Office","Communications","340","340","47060","42150"
"In post","2021","Cabinet Office","Counter Fraud","90","90","47100","49700"
"In post","2021","Cabinet Office","Digital, Data & Technology","970","960","51340","54700"
"In post","2021","Cabinet Office","Finance","90","90","46340","41820"
"In post","2021","Cabinet Office","Human Resources","1120","1070","39180","35590"
"In post","2021","Cabinet Office","Legal","60","50","79760","79760"
"In post","2021","Cabinet Office","No function","4170","4130","40710","32000"
"In post","2021","Cabinet Office","Project Delivery","190","190","69400","62550"
"In post","2021","Cabinet Office","Property","100","100","50780","52720"
"In post","2021","Cabinet Office","Security","870","840","33080","33300"
"In post","2021","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Analysis","180","170","68040","65470"
"In post","2021","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","40","40","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","No function","110","110","53710","45130"
"In post","2021","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","30","30","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","50","50","[c]","[c]"
"In post","2021","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","250","230","32470","29160"
"In post","2021","Competition and Markets Authority","Analysis","130","130","60200","56360"
"In post","2021","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","40","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data & Technology","70","60","56530","54550"
"In post","2021","Competition and Markets Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","160","160","69080","72430"
"In post","2021","Competition and Markets Authority","Project Delivery","380","360","60880","56360"
"In post","2021","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Analysis","330","320","43760","37820"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","250","240","43130","41870"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","230","220","43730","39820"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","280","270","39210","39170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","1590","1530","41360","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","320","300","44650","41870"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","400","380","40040","38200"
"In post","2021","Department for Business, Energy and Industrial Strategy","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","90","80","51950","52960"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","8610","8250","40470","36730"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","900","880","44120","40220"
"In post","2021","Department for Business, Energy and Industrial Strategy","Property","80","80","33990","27690"
"In post","2021","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Analysis","140","140","52490","49720"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","70","70","57470","61730"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","60","60","49570","38540"
"In post","2021","Department for Digital, Culture, Media and Sport","No function","1190","1170","47990","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","210","210","48480","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Analysis","410","390","44360","42920"
