"Status","Year","Function_of_post","Sexual_orientation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Heterosexual / straight","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","East of England","150","140","34900","30660"
"In post","2021","Analysis","Heterosexual / straight","London","2290","2220","49320","45250"
"In post","2021","Analysis","Heterosexual / straight","North East (England)","50","40","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","North West (England)","240","230","39430","38630"
"In post","2021","Analysis","Heterosexual / straight","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Scotland","40","40","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","South East (England)","620","590","39430","37320"
"In post","2021","Analysis","Heterosexual / straight","South West (England)","290","280","38100","36770"
"In post","2021","Analysis","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Wales","650","620","37240","36030"
"In post","2021","Analysis","Heterosexual / straight","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Yorkshire and The Humber","250","240","42060","41990"
"In post","2021","Analysis","LGBO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","London","220","220","46140","42020"
"In post","2021","Analysis","LGBO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","South East (England)","50","50","[c]","[c]"
"In post","2021","Analysis","LGBO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Wales","60","50","36680","36530"
"In post","2021","Analysis","LGBO","West Midlands (England)","[c]","[c]","[c]","[c]"
