"Status","Year","Disability","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","AA/AO","15540","13630","21980","21010"
"In post","2021","Declared disabled","EO","15690","14230","27800","27570"
"In post","2021","Declared disabled","G6/G7","4630","4450","58350","56520"
"In post","2021","Declared disabled","SCS","430","420","88840","81200"
"In post","2021","Declared disabled","SEO/HEO","11810","11230","36600","35520"
"In post","2021","Declared disabled","Unknown","2470","2300","31340","30210"
"In post","2021","Declared non-disabled","AA/AO","88540","79400","22410","21030"
"In post","2021","Declared non-disabled","EO","87430","80690","27620","27570"
"In post","2021","Declared non-disabled","G6/G7","43200","41610","58900","57400"
"In post","2021","Declared non-disabled","SCS","5040","4860","90020","82500"
"In post","2021","Declared non-disabled","SEO/HEO","86190","82680","36890","36140"
"In post","2021","Declared non-disabled","Unknown","10510","9830","31970","30420"
"In post","2021","Undeclared","AA/AO","9580","8610","24380","21580"
"In post","2021","Undeclared","EO","7200","6760","28420","27570"
"In post","2021","Undeclared","G6/G7","3160","3060","58610","56730"
"In post","2021","Undeclared","SCS","290","280","89170","82040"
"In post","2021","Undeclared","SEO/HEO","7800","7510","37390","36590"
"In post","2021","Undeclared","Unknown","710","670","33070","32580"
"In post","2021","Unknown","AA/AO","27000","24960","22240","21100"
"In post","2021","Unknown","EO","18580","17780","28060","27570"
"In post","2021","Unknown","G6/G7","11450","11070","58670","56120"
"In post","2021","Unknown","SCS","1540","1490","92940","82760"
"In post","2021","Unknown","SEO/HEO","23240","22520","36320","35590"
"In post","2021","Unknown","Unknown","2880","2800","34690","32700"
"In post","2022","Declared disabled","AA/AO","15730","13800","22430","21260"
"In post","2022","Declared disabled","EO","16270","14780","27980","27570"
"In post","2022","Declared disabled","G6/G7","5390","5180","58590","56150"
"In post","2022","Declared disabled","SCS","490","480","88790","80000"
"In post","2022","Declared disabled","SEO/HEO","13220","12610","36940","35980"
"In post","2022","Declared disabled","Unknown","3520","3290","31270","28760"
"In post","2022","Declared non-disabled","AA/AO","86900","78250","22840","21300"
"In post","2022","Declared non-disabled","EO","87240","80780","27810","27570"
"In post","2022","Declared non-disabled","G6/G7","47700","45980","59060","57400"
"In post","2022","Declared non-disabled","SCS","5090","4920","89500","82110"
"In post","2022","Declared non-disabled","SEO/HEO","94430","90800","37240","36460"
"In post","2022","Declared non-disabled","Unknown","13340","12500","31680","29400"
"In post","2022","Undeclared","AA/AO","8800","7880","24550","21860"
"In post","2022","Undeclared","EO","6870","6420","28590","27570"
"In post","2022","Undeclared","G6/G7","2970","2890","59600","57460"
"In post","2022","Undeclared","SCS","260","250","86270","80770"
"In post","2022","Undeclared","SEO/HEO","7690","7410","37830","36960"
"In post","2022","Undeclared","Unknown","910","860","32880","31420"
"In post","2022","Unknown","AA/AO","25740","23860","22960","21680"
"In post","2022","Unknown","EO","20890","20020","28520","27270"
"In post","2022","Unknown","G6/G7","13390","13000","59390","56970"
"In post","2022","Unknown","SCS","1390","1350","96880","89830"
"In post","2022","Unknown","SEO/HEO","26180","25450","36880","36360"
"In post","2022","Unknown","Unknown","5680","5330","31430","28660"
"Leaver CS","2021","Declared disabled","AA/AO","1270","1050","21120","21010"
"Leaver CS","2021","Declared disabled","EO","800","670","27670","27570"
"Leaver CS","2021","Declared disabled","G6/G7","190","170","61610","57680"
"Leaver CS","2021","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","540","490","36640","35370"
"Leaver CS","2021","Declared disabled","Unknown","150","130","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","AA/AO","6520","5630","21270","21010"
"Leaver CS","2021","Declared non-disabled","EO","3500","2990","27320","27570"
"Leaver CS","2021","Declared non-disabled","G6/G7","1520","1360","60800","58930"
"Leaver CS","2021","Declared non-disabled","SCS","280","250","99680","95000"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","3220","2890","37430","36500"
"Leaver CS","2021","Declared non-disabled","Unknown","460","400","38120","36490"
"Leaver CS","2021","Undeclared","AA/AO","800","670","21760","21010"
"Leaver CS","2021","Undeclared","EO","340","300","27760","27570"
"Leaver CS","2021","Undeclared","G6/G7","140","130","58870","56950"
"Leaver CS","2021","Undeclared","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SEO/HEO","410","370","36910","35610"
"Leaver CS","2021","Undeclared","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","3320","3000","21150","21010"
"Leaver CS","2021","Unknown","EO","1530","1370","27350","27570"
"Leaver CS","2021","Unknown","G6/G7","650","570","60350","57680"
"Leaver CS","2021","Unknown","SCS","130","110","96760","89480"
"Leaver CS","2021","Unknown","SEO/HEO","1360","1240","36680","36470"
"Leaver CS","2021","Unknown","Unknown","620","580","34770","32400"
"Leaver CS","2022","Declared disabled","AA/AO","1800","1530","21560","21260"
"Leaver CS","2022","Declared disabled","EO","1270","1080","27730","27570"
"Leaver CS","2022","Declared disabled","G6/G7","290","260","59630","57490"
"Leaver CS","2022","Declared disabled","SCS","40","30","[c]","[c]"
"Leaver CS","2022","Declared disabled","SEO/HEO","810","720","37560","36330"
"Leaver CS","2022","Declared disabled","Unknown","260","240","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","10020","8860","21650","21260"
"Leaver CS","2022","Declared non-disabled","EO","6600","5820","27740","27570"
"Leaver CS","2022","Declared non-disabled","G6/G7","2690","2450","60150","58220"
"Leaver CS","2022","Declared non-disabled","SCS","460","410","96030","93000"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","5410","4930","37490","36710"
