"Status","Year","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Analysis","3260","3050","42130","37320"
"In post","2021","Female","Commercial","3530","3370","43090","38160"
"In post","2021","Female","Communications","4290","4050","35540","31810"
"In post","2021","Female","Counter Fraud","4520","4120","32380","31810"
"In post","2021","Female","Debt","2650","2280","23310","21440"
"In post","2021","Female","Digital, Data & Technology","4990","4750","40330","37100"
"In post","2021","Female","Finance","5280","4860","36830","32890"
"In post","2021","Female","Grants Management","1090","950","25070","21050"
"In post","2021","Female","Human Resources","6680","6240","37220","32840"
"In post","2021","Female","Internal Audit","390","370","43980","41340"
"In post","2021","Female","Legal","9710","8770","42680","39730"
"In post","2021","Female","No function","99360","90220","31550","27260"
"In post","2021","Female","Project Delivery","12620","11950","40070","36800"
"In post","2021","Female","Property","3880","3580","32370","29760"
"In post","2021","Female","Security","2060","1980","32040","29200"
"In post","2021","Female","Unknown","98370","87060","29790","27570"
"In post","2021","Male","Analysis","3920","3850","44170","38990"
"In post","2021","Male","Commercial","3450","3410","49110","42200"
"In post","2021","Male","Communications","3920","3860","33890","29830"
"In post","2021","Male","Counter Fraud","5100","4940","35110","31810"
"In post","2021","Male","Debt","2020","1940","23260","20140"
"In post","2021","Male","Digital, Data & Technology","8600","8460","42260","38630"
"In post","2021","Male","Finance","4120","4040","42150","38630"
"In post","2021","Male","Grants Management","800","780","26120","24920"
"In post","2021","Male","Human Resources","2900","2840","38390","33520"
"In post","2021","Male","Internal Audit","370","360","48250","45390"
"In post","2021","Male","Legal","5140","4970","46520","48080"
"In post","2021","Male","No function","85570","82360","34380","31650"
"In post","2021","Male","Project Delivery","15780","15480","42210","39650"
"In post","2021","Male","Property","5430","5300","35930","33300"
"In post","2021","Male","Security","6700","6590","31470","27680"
"In post","2021","Male","Unknown","68340","65990","32080","27570"
"In post","2021","Unknown","Analysis","40","30","[c]","[c]"
"In post","2021","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","Female","Analysis","3970","3730","42540","38340"
"In post","2022","Female","Commercial","3410","3260","44700","39990"
"In post","2022","Female","Communications","4570","4340","36770","33080"
"In post","2022","Female","Counter Fraud","8990","8040","31160","27570"
"In post","2022","Female","Debt","4180","3530","23690","21260"
"In post","2022","Female","Digital, Data & Technology","8250","7850","40090","36820"
"In post","2022","Female","Finance","6870","6340","37450","33370"
"In post","2022","Female","Grants Management","1350","1190","24850","21300"
"In post","2022","Female","Human Resources","8080","7550","37340","33300"
"In post","2022","Female","Internal Audit","410","390","44380","42210"
"In post","2022","Female","Legal","8070","7350","45420","48080"
"In post","2022","Female","No function","159670","143510","30770","27570"
"In post","2022","Female","Project Delivery","11840","11110","41030","38070"
"In post","2022","Female","Property","4130","3870","34730","31900"
"In post","2022","Female","Security","2760","2650","33210","31380"
"In post","2022","Female","Unknown","41520","38470","34330","29370"
"In post","2022","Male","Analysis","4470","4390","44540","39300"
"In post","2022","Male","Commercial","3210","3170","50330","42550"
"In post","2022","Male","Communications","3970","3920","35220","32330"
"In post","2022","Male","Counter Fraud","8030","7710","34060","31880"
"In post","2022","Male","Debt","2640","2520","23950","21260"
"In post","2022","Male","Digital, Data & Technology","13800","13580","42210","39040"
"In post","2022","Male","Finance","5510","5390","41700","37610"
"In post","2022","Male","Grants Management","970","940","25680","21300"
"In post","2022","Male","Human Resources","3640","3560","38510","33520"
"In post","2022","Male","Internal Audit","360","350","48290","45390"
"In post","2022","Male","Legal","4330","4210","49230","51250"
"In post","2022","Male","No function","114860","110540","33440","29180"
"In post","2022","Male","Project Delivery","14720","14410","43080","40520"
"In post","2022","Male","Property","5410","5280","38240","33900"
"In post","2022","Male","Security","7930","7790","32790","31180"
"In post","2022","Male","Unknown","38140","37120","35590","30820"
"In post","2022","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Analysis","120","110","34390","29050"
"Leaver CS","2021","Female","Commercial","120","110","45880","37430"
"Leaver CS","2021","Female","Communications","130","120","36410","34640"
"Leaver CS","2021","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Digital, Data & Technology","140","130","41110","37530"
"Leaver CS","2021","Female","Finance","120","110","39400","34030"
"Leaver CS","2021","Female","Grants Management","50","40","[c]","[c]"
"Leaver CS","2021","Female","Human Resources","200","190","38030","32430"
"Leaver CS","2021","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Legal","390","340","42640","40870"
"Leaver CS","2021","Female","No function","4630","4100","29730","22790"
"Leaver CS","2021","Female","Project Delivery","300","280","35240","31340"
"Leaver CS","2021","Female","Property","190","160","28600","24500"
"Leaver CS","2021","Female","Security","80","70","29090","24320"
"Leaver CS","2021","Female","Unknown","8120","6570","28680","26890"
"Leaver CS","2021","Male","Analysis","150","150","36680","31240"
"Leaver CS","2021","Male","Commercial","150","140","51610","42080"
"Leaver CS","2021","Male","Communications","110","110","38470","32620"
"Leaver CS","2021","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Digital, Data & Technology","280","280","42410","38700"
"Leaver CS","2021","Male","Finance","110","100","45510","44160"
"Leaver CS","2021","Male","Grants Management","40","40","[c]","[c]"
"Leaver CS","2021","Male","Human Resources","120","120","39370","33650"
"Leaver CS","2021","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Legal","280","250","45180","45190"
"Leaver CS","2021","Male","No function","4520","4150","34630","27490"
"Leaver CS","2021","Male","Project Delivery","540","520","39540","36880"
"Leaver CS","2021","Male","Property","360","330","32180","28870"
"Leaver CS","2021","Male","Security","350","340","30260","26840"
"Leaver CS","2021","Male","Unknown","6030","5400","31590","27570"
"Leaver CS","2021","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","100","90","46740","40230"
"Leaver CS","2022","Female","Analysis","230","190","35020","31850"
"Leaver CS","2022","Female","Commercial","240","190","49220","40580"
"Leaver CS","2022","Female","Communications","240","210","40230","36750"
"Leaver CS","2022","Female","Counter Fraud","190","140","27980","27570"
"Leaver CS","2022","Female","Debt","140","100","22420","21260"
"Leaver CS","2022","Female","Digital, Data & Technology","450","390","39960","35160"
